step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,vrba_attention_effective_sample_fraction,vrba_multiplier_mean,vrba_multiplier_min,vrba_multiplier_max,vrba_temperature,vrba_local_updates,kde_pairwise_distance_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.019106156000020746,0.8057152523957501,0.15486037453148946,0.5977776343855623,0.05300889728656591,nan,1.0,1.0000882281444936,1.000294391723459,nan,0.00038261986795262715,0.00038261986795262715,1,0.04789099904498942,0.004145564000134001,0.018619073358192562,1.0,1.0,0.0013020833333333333,192,1.0,1.0,1.0,1.0,0.9999992612558795,1.008487087537798,1.0072622449395867,1.009,0.3779696121135344,1,0,0,0,384,576,nan,nan
10,0.12778603800001065,0.5120522298336909,0.009729723847692457,0.39770845798264387,0.10399307605307198,nan,1.0,1.0008064392121274,1.0028871562046828,nan,0.00034138161529528865,0.003693595416810247,10,0.023897571546490956,0.01630680282484782,0.054765870022864885,1.0,1.0,0.0013020833333333333,1920,1.0,1.0,1.0,1.0,0.9998799604291609,1.058330954245048,1.0506624746814597,1.0722975922363782,0.07016790745648667,10,0,0,0,768,2688,nan,nan
20,0.22764579599999024,0.5669143205382715,0.010412290656517793,0.4323660044383314,0.1228783945214951,nan,1.0,1.0014349103801856,1.0051858136379526,nan,0.0002546206619766789,0.00662072401813818,20,0.032383726957601736,0.014311935908799927,0.15114813506678268,1.0,1.0,0.0013020833333333333,3840,1.0,1.0,1.0,1.0,0.9978590438961731,1.092351213337363,1.0655340375439415,1.1601427274821436,0.05209122707490855,20,0,0,0,1152,4992,nan,nan
30,0.35085468099998707,0.6242594871152575,0.003481186111749088,0.5646880347343173,0.05466542026888084,nan,1.0,1.0018542450750207,1.006910694020514,nan,0.00018455588860044614,0.008764939095534663,30,0.026696107902234922,0.005865817363369608,0.24799275698873555,1.0,1.0,0.0013020833333333333,5760,1.0,1.0,1.0,1.0,0.9967794021638464,1.1186832329730294,1.085604161024253,1.1994848600375583,0.03254575307719979,30,0,0,0,1536,7296,nan,nan
40,1.0613890700000184,0.6772680412870407,0.005780294354036934,0.5630393632243222,0.1064347307194087,nan,1.0,1.002022252406328,1.008221426185047,nan,0.00011530859647268521,0.010243678591375094,40,0.03824040851979421,0.010820290289062662,0.19121623000448928,1.0,1.0,0.0013020833333333333,7680,1.0,1.0,1.0,1.0,0.995429586955691,1.142240881531769,1.1024648334318705,1.2691553296579685,0.03081082300526693,40,0,0,0,1920,9600,0.8672071775774038,0.957990741479349
50,1.1572705309999947,0.7354511801010212,0.0068319611996088036,0.6244655446372946,0.10200950996735555,nan,1.0,1.0019536311242458,1.009059831510174,nan,8.122885641892452e-05,0.011159467157372926,50,0.037663800929104645,0.009646913942394818,0.2956104581953553,1.0,1.0,0.0013020833333333333,9600,1.0,1.0,1.0,1.0,0.9905219192786948,1.1711625674065467,1.1150212644391322,1.323954012944905,0.02934685118377832,50,0,0,0,2304,11904,0.8672071775774038,0.957990741479349
60,1.2620934139999918,0.795682216638552,0.008618655902793022,0.6854046457185369,0.0995848099559366,nan,1.0,1.0016485782908988,1.0094809825142064,nan,6.629235344157713e-05,0.011885670994752351,60,0.03657333173543241,0.009807951328713387,0.3843853900397555,1.0,1.0,0.0013020833333333333,11520,1.0,1.0,1.0,1.0,0.9873643607353025,1.1934176645137051,1.1256881835967099,1.3998765110078286,0.03475131963545011,60,0,0,0,2688,14208,0.8672071775774038,0.957990741479349
70,1.3501065760000301,0.8503088948481948,0.01427039134360361,0.7196082758043612,0.11453742350544915,nan,1.0,1.001112923934294,1.0095334335966646,nan,7.385268987691873e-05,0.012516889884792715,70,0.038202691966488726,0.012440989629178813,0.4081776336666877,1.0,1.0,0.0013020833333333333,13440,1.0,1.0,1.0,1.0,0.9816134351853516,1.2190612877352296,1.1364190286779945,1.4821752344225039,0.03643706100746443,70,0,0,0,3072,16512,0.8672071775774038,0.957990741479349
80,1.445172436000007,0.8992547149761504,0.021490947445350336,0.7646877254890461,0.11176129038805477,nan,1.0,1.00036621471371,1.0092582302301545,nan,0.00012406830173206096,0.013538802471886768,80,0.03591119376161022,0.01468708616534158,0.48670115137484,1.0,1.0,0.0013020833333333333,15360,1.0,1.0,1.0,1.0,0.9762169673438343,1.243804677713598,1.1468731773788463,1.5657475262828753,0.044144733439767506,80,0,0,0,3456,18816,0.8758410885581017,0.9903707204849537
90,1.538855796000007,0.9383035255746428,0.03379916823473451,0.7845225679675175,0.11938851405518607,nan,1.0,0.9994303825187213,1.008712337988359,nan,0.00016690429882748603,0.015020526908671061,90,0.03721474428318632,0.018253775912673853,0.5371021045522564,1.0,1.0,0.0013020833333333333,17280,1.0,1.0,1.0,1.0,0.9707630545970237,1.2693006054483218,1.1564697145704705,1.6470508155991699,0.04918434977151254,90,0,0,0,3840,21120,0.8758410885581017,0.9903707204849537
100,1.633582783999998,0.9591356462075342,0.0455030801995554,0.7962174251444324,0.11780826620197503,nan,1.0,0.9983311189886935,1.0079422848110011,nan,0.0002021999912863448,0.01688984361605661,100,0.036997644452788206,0.02054191294088362,0.6134772544624637,1.0,1.0,0.0013020833333333333,19200,1.0,1.0,1.0,1.0,0.9654449979786918,1.2961519618013788,1.1659813743262561,1.7221945998556196,0.053347707582969216,100,0,0,0,4224,23424,0.8758410885581017,0.9903707204849537
110,1.754377279000039,0.9327667372056647,0.045150425316852594,0.7705792060034578,0.118450286596446,nan,1.0,0.9970915690495725,1.0069902380584828,nan,0.0002326052383209154,0.019081440307695985,110,0.033523100023495275,0.02067289231139585,0.7016518603568929,1.0,1.0,0.0013020833333333333,21120,1.0,1.0,1.0,1.0,0.9620642609700208,1.3250252659656565,1.1752476676574097,1.7608589599314235,0.05109178177586919,110,0,0,0,4608,25728,0.8758410885581017,0.9903707204849537
120,1.8528220580000152,0.835176491674487,0.036212678049180796,0.6888460962388514,0.11240310515193322,nan,1.0,0.9957236228769238,1.0058750861099885,nan,0.00026096168763778405,0.021564538428838875,120,0.02792456535200579,0.025030736419795842,0.7044368289493789,1.0,1.0,0.0013020833333333333,23040,1.0,1.0,1.0,1.0,0.9638887801215691,1.3476603487964158,1.1842731274287612,1.7662843014133263,0.05757605699100632,120,0,0,0,4992,28032,0.7615083978157695,1.0172709289855508
