step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,vrba_attention_effective_sample_fraction,vrba_multiplier_mean,vrba_multiplier_min,vrba_multiplier_max,vrba_temperature,vrba_local_updates,kde_pairwise_distance_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.015283592000002955,0.5011219534442682,0.10272504146825485,0.3244540639891884,0.07392969701838031,nan,1.0,1.0000232647254534,1.0000757832636906,nan,9.904798914406321e-05,9.904798914406321e-05,1,0.0355485946465805,0.020221630811449842,0.04776669948046739,1.0,1.0,0.0013020833333333333,192,1.0,1.0,1.0,1.0,0.9999929538308653,1.0066438402043143,1.0040634730591882,1.009,0.30964591647000717,1,0,0,0,384,576,nan,nan
10,0.09040961699997752,0.4154993540376462,0.023947571180589145,0.3474384217948451,0.04402301451018874,nan,1.0,1.0001767977506761,1.0006569341257798,nan,6.70526898269852e-05,0.0008337318764559676,10,0.12405373713054309,0.02904440289141173,0.12427032542430158,1.0,1.0,0.0013020833333333333,1920,1.0,1.0,1.0,1.0,0.9998846743110601,1.0573508279681179,1.0396465598869193,1.066595976492003,0.14203706842196476,10,0,0,0,768,2688,nan,nan
20,0.18863888199996381,0.44364819717666415,0.0035471379170688706,0.3680943492268495,0.07184682358644352,nan,1.0,1.000212698895815,1.0011356547247738,nan,4.1894835069999914e-05,0.0013632607853715228,20,0.09273344118082522,0.020288776273775223,0.10330116228974401,1.0,1.0,0.0013020833333333333,3840,1.0,1.0,1.0,1.0,0.9988108073404525,1.1188112743293435,1.0785941162880226,1.1495120791895144,0.04719935098484752,20,0,0,0,1152,4992,nan,nan
30,0.2820463769999719,0.4897474239847023,0.003283843027197276,0.41836827674052657,0.06798660036008715,nan,1.0,1.0000420956077798,1.0013398579944233,nan,3.47804597895518e-05,0.0017380673430562599,30,0.08874433507610441,0.018634727822179026,0.4657495750820629,1.0,1.0,0.0013020833333333333,5760,1.0,1.0,1.0,1.0,0.9986044732718024,1.1680494435463185,1.1147835310237688,1.2078646694617656,0.043746768224725015,30,0,0,0,1536,7296,nan,nan
40,0.9475163600000087,0.5257025753107893,0.006490690964515634,0.45163248177281046,0.06765378564250982,nan,1.0,0.999646311694678,1.0012616301844668,nan,6.802962537511004e-05,0.0022231991828099984,40,0.10195011341875748,0.021304685056747454,0.6706231364628652,1.0,1.0,0.0013020833333333333,7680,1.0,1.0,1.0,1.0,0.996522910434002,1.2209788672105315,1.1327571284048887,1.2936663873256251,0.05510621914367168,40,0,0,0,1920,9600,0.8728282786831549,1.0607046807339577
50,1.159651800000006,0.5427022724673685,0.004977393050293061,0.4644114222334703,0.07369504395989948,nan,1.0,0.9990324420563071,1.0009194401792636,nan,0.00011878520582975227,0.003179258826384035,50,0.0817024131665633,0.020839764972482362,0.20132385061964292,1.0,1.0,0.0013020833333333333,9600,1.0,1.0,1.0,1.0,0.9946884790399456,1.2762015311317865,1.1605462815401926,1.3583300302947703,0.04950959771483986,50,0,0,0,2304,11904,0.8728282786831549,1.0607046807339577
60,1.2631830119999563,0.5308218634892822,0.007154031780384519,0.45545748916466505,0.06901410977329492,nan,1.0,0.9981889586979044,1.0003055186139895,nan,0.00016689926499313668,0.004636663750060888,60,0.08975137476090056,0.02495313571237357,0.5471351421119186,1.0,1.0,0.0013020833333333333,11520,1.0,1.0,1.0,1.0,0.993802821797109,1.3270898410762375,1.189335491401909,1.4023610290624973,0.05723146900254369,60,0,0,0,2688,14208,0.8728282786831549,1.0607046807339577
70,1.350592722999977,0.4870996392223471,0.014208029068224005,0.4123717421059093,0.06173409282519348,nan,1.0,0.997137167836778,0.9994545365626365,nan,0.00020788282588934948,0.00653943666254031,70,0.08366937871257026,0.026299378169847315,0.44184259789532104,1.0,1.0,0.0013020833333333333,13440,1.0,1.0,1.0,1.0,0.9934847145248128,1.3640560734010385,1.2032831159958695,1.4450347118196891,0.0631183973508969,70,0,0,0,3072,16512,0.8728282786831549,1.0607046807339577
80,1.45297723799996,0.43383582178125946,0.03474027134058449,0.35365297854392264,0.0469603515054194,nan,1.0,0.9959174880171634,0.998424477593888,nan,0.0002366422172983551,0.008789175450903408,80,0.07924517987363652,0.027471054502889836,0.5701669405329006,1.0,1.0,0.0013020833333333333,15360,1.0,1.0,1.0,1.0,0.9931161428455805,1.395392309264346,1.2135185401481232,1.5040946986205468,0.10241489605157748,80,0,0,0,3456,18816,0.6946550913189699,1.132460116351873
90,1.6363150329999598,0.4103386189891676,0.0780636446134711,0.3037615020106079,0.030236132257933063,nan,1.0,0.9945964028025907,0.9973126492765045,nan,0.00024532519494024907,0.01122208898285959,90,0.06736737545866821,0.024691302811056175,0.6379714605342496,1.0,1.0,0.0013020833333333333,17280,1.0,1.0,1.0,1.0,0.9924145279332142,1.4270343548893873,1.236099448451849,1.5706543870131282,0.15180515035906975,90,0,0,0,3840,21120,0.6946550913189699,1.132460116351873
100,1.744873140999971,0.41565434024843256,0.11523353654440176,0.28167195958130853,0.02072600916299258,nan,1.0,0.9932567018036931,0.9962478534741606,nan,0.0002342830639084914,0.013626585784101142,100,0.055576907160074976,0.018741950613111718,0.710210112159513,1.0,1.0,0.0013020833333333333,19200,1.0,1.0,1.0,1.0,0.9910650592923718,1.4571417644512588,1.2729641838541528,1.6374265069840543,0.1729761777359358,100,0,0,0,4224,23424,0.6946550913189699,1.132460116351873
110,1.8742432880000024,0.4248663411695029,0.12633414472609703,0.2804193516152936,0.020467595085462316,nan,1.0,0.9919450088037018,0.9953108878489907,nan,0.00021727417541184124,0.015875244409262246,110,0.05180031350498848,0.02025044165515265,0.8065150999843433,1.0,1.0,0.0013020833333333333,21120,1.0,1.0,1.0,1.0,0.9886280478373098,1.4841810313411026,1.317562869395366,1.7000976587647167,0.16320870121238937,110,0,0,0,4608,25728,0.6946550913189699,1.132460116351873
120,1.9721748970000021,0.4397803653930571,0.14130274468953927,0.27923227342139195,0.021973092012173404,nan,1.0,0.9906634800904692,0.9945075071911452,nan,0.00020127792085933294,0.017960153780340327,120,0.04946738384965145,0.022498833055192763,0.8739524948528525,1.0,1.0,0.0013020833333333333,23040,1.0,1.0,1.0,1.0,0.984814566799626,1.5097179418413365,1.345689028775297,1.768314011328247,0.16275537575765345,120,0,0,0,4992,28032,0.5484541339248236,0.9598350994692822
