step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,vrba_attention_effective_sample_fraction,vrba_multiplier_mean,vrba_multiplier_min,vrba_multiplier_max,vrba_temperature,vrba_local_updates,kde_pairwise_distance_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.029017126999974607,0.4210556558522204,0.005519052270157972,0.41083328565460303,0.004788587604867463,nan,1.0,0.999792335048174,1.000009605560078,nan,0.0002172705119040108,0.0002172705119040108,1,0.003279646690288969,0.0006819983574281206,0.016226028495048707,1.0,1.0,0.0013020833333333333,192,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,384,576,nan,nan
10,0.15162273199996434,0.34099091784624885,0.002587790608551825,0.27838581437942855,0.060612781478970715,nan,1.0,0.9979209355008296,0.9997247023392399,nan,0.0002718043491370947,0.002384315696776884,10,0.04414947570378097,0.007593215368094252,0.045635939123043326,1.0,1.0,0.0013020833333333333,1920,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,768,2688,nan,nan
20,0.2629556229999821,0.32540310741811207,0.004667258790055441,0.26859338020425,0.05331569828113179,nan,1.0,0.9958437369969764,0.9989330510495201,nan,0.00029818711158524636,0.005253165490349931,20,0.04495997920708979,0.012502859735472037,0.06292635627903888,1.0,1.0,0.0013020833333333333,3840,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,1152,4992,nan,nan
30,0.3463361209999789,0.30662621658050654,0.002604015691751859,0.27001097562380827,0.03577183825037522,nan,1.0,0.9937660487568083,0.9978369093664763,nan,0.00033039298739878653,0.008426995413561844,30,0.022881663474208214,0.00485302415830857,0.06600318660905943,1.0,1.0,0.0013020833333333333,5760,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,1536,7296,nan,nan
40,1.0376617499999838,0.2827968013043179,0.004196181179627726,0.235965627732555,0.044754532692670344,nan,1.0,0.9916787012092819,0.996514323836102,nan,0.00034945828399590706,0.011836928491462562,40,0.03998985229951275,0.010330113265773468,0.03742733190240084,1.0,1.0,0.0013020833333333333,7680,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,1920,9600,0.8265485462285417,1.0978098393795366
50,1.1537094429999684,0.25712540479097645,0.006046001903101547,0.2151070087190184,0.03840392344750371,nan,1.0,0.9895838625978419,0.9950279788489919,nan,0.0003642299733026544,0.015418112090012648,50,0.036250794808243655,0.010117660692894314,0.06671381421379032,1.0,1.0,0.0013020833333333333,9600,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,2304,11904,0.8265485462285417,1.0978098393795366
60,1.2906158159999563,0.2308344656673329,0.007602049890206557,0.1934797577025749,0.03238717385687019,nan,1.0,0.9874837624120811,0.9934271150857096,nan,0.0003742199890972575,0.019119076039055716,60,0.03561275602184574,0.009064622349056077,0.08072458311726895,1.0,1.0,0.0013020833333333333,11520,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,2688,14208,0.8265485462285417,1.0978098393795366
70,1.3984438729999624,0.20640994534020027,0.01157562753278634,0.1701879134176045,0.02735954872362466,nan,1.0,0.9853838829684143,0.9917521346487961,nan,0.0003793731265923084,0.022893935919636066,70,0.03294800671256959,0.0093638745531846,0.09261782344593206,1.0,1.0,0.0013020833333333333,13440,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,3072,16512,0.8265485462285417,1.0978098393795366
80,1.4863311599999633,0.18590634313023013,0.018057401968913086,0.14826529247859188,0.022282309090161143,nan,1.0,0.9832945638157327,0.9900448367045094,nan,0.000378982504701586,0.02669055301660439,80,0.03148099850146624,0.01582821394564108,0.0903711126193498,1.0,1.0,0.0013020833333333333,15360,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,3456,18816,0.6707615465504368,1.0450195418672181
90,1.5776162189999923,0.1708677933392056,0.02671416555942195,0.12969682728303028,0.01709016161261139,nan,1.0,0.9812310174235184,0.9883509805892665,nan,0.00037204644334265513,0.030447955524061543,90,0.028584656528154048,0.0244761818533902,0.09018637661502603,1.0,1.0,0.0013020833333333333,17280,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,3840,21120,0.6707615465504368,1.0450195418672181
