step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,vrba_attention_effective_sample_fraction,vrba_multiplier_mean,vrba_multiplier_min,vrba_multiplier_max,vrba_temperature,vrba_local_updates,kde_pairwise_distance_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.01861362800002553,0.5012598058818083,0.10275027079702602,0.3245490342951384,0.07396050078964386,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.03554712568489113,0.02023433064424858,0.04749570023790482,1.0,1.0,0.0013020833333333333,192,1.0,1.0,1.0,1.0,0.9999955369790915,1.0068856980049528,1.0050613904754382,1.009,0.3995178450592795,1,0,0,0,384,576,nan,nan
10,0.17157231900000625,0.4107217351857988,0.023622308913142615,0.34371099585065745,0.04338843042199873,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.12429885804186439,0.02925496694488852,0.1142440874495091,1.0,1.0,0.0013020833333333333,1920,1.0,1.0,1.0,1.0,0.9998556701476574,1.052110893849057,1.035528722097,1.0631255098149657,0.07484019973040262,10,0,0,0,768,2688,nan,nan
20,0.2654478570000265,0.4280359691123776,0.003475826914984634,0.35545298632716343,0.06910715587022956,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.09346820938624753,0.02042132489655005,0.08560826541462523,1.0,1.0,0.0013020833333333333,3840,1.0,1.0,1.0,1.0,0.9981342598141683,1.099770915896548,1.0607756254606049,1.1501665090173476,0.029956322725357355,20,0,0,0,1152,4992,nan,nan
30,0.3300395420000086,0.46279374508888893,0.0031246305125735264,0.3963093125282777,0.06335980204803772,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.08534786909139248,0.018988832039407724,0.24591964490301588,1.0,1.0,0.0013020833333333333,5760,1.0,1.0,1.0,1.0,0.998061151569856,1.1341934869764694,1.0802837609379707,1.1832648843011038,0.02199039883827089,30,0,0,0,1536,7296,nan,nan
40,1.079816816999994,0.48588220696288853,0.006175986809053033,0.4172676551754003,0.062438564978435196,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.10139867690613395,0.021640418330651313,0.5731129229257103,1.0,1.0,0.0013020833333333333,7680,1.0,1.0,1.0,1.0,0.9948140054115756,1.1717139459481272,1.092653650773557,1.2668907129719236,0.02650441669604933,40,0,0,0,1920,9600,0.8709902150642934,1.0474961173273043
50,1.1937392770000201,0.49279453245692173,0.004524293461096416,0.4204955133916544,0.06777472560417089,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.07891816349093707,0.0197234062874573,0.0545244554271537,1.0,1.0,0.0013020833333333333,9600,1.0,1.0,1.0,1.0,0.9923562796963287,1.2065690351404998,1.1068497348179978,1.3135935862789547,0.024454051638678618,50,0,0,0,2304,11904,0.8709902150642934,1.0474961173273043
60,1.3006642400000032,0.47717119537882413,0.005924071722518319,0.40779941315231455,0.06344771050399127,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.08352100809757297,0.022669281052062625,0.4046486088846639,1.0,1.0,0.0013020833333333333,11520,1.0,1.0,1.0,1.0,0.9920341999763237,1.2334672360112833,1.1236504599227548,1.3288952857104057,0.025306548856298575,60,0,0,0,2688,14208,0.8709902150642934,1.0474961173273043
70,1.392516967000006,0.4359308161000662,0.010599718744484718,0.368950843282728,0.056380254072853485,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.07700034827345761,0.021947238093949904,0.25570594404159275,1.0,1.0,0.0013020833333333333,13440,1.0,1.0,1.0,1.0,0.9913742862127416,1.2545590016031951,1.135965812280728,1.3654120782146608,0.0451736049248657,70,0,0,0,3072,16512,0.8709902150642934,1.0474961173273043
80,1.4732322209999893,0.3836418587852045,0.023526974667000766,0.3143235519221167,0.04579133219608705,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.0719402827987824,0.021539920486455817,0.369135511363123,1.0,1.0,0.0013020833333333333,15360,1.0,1.0,1.0,1.0,0.9907667913816773,1.271007659446808,1.1460954032691444,1.40429699612113,0.06620326847953993,80,0,0,0,3456,18816,0.6976745792374236,1.1021578140816113
90,1.5371715930000391,0.34891897869271715,0.05249665410299866,0.26564617438407023,0.030776150205648264,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.06277350376614642,0.016375350480883878,0.40338363767814417,1.0,1.0,0.0013020833333333333,17280,1.0,1.0,1.0,1.0,0.9905212522656713,1.2865270425481439,1.1572598131001948,1.4495405998085042,0.0970352326315017,90,0,0,0,3840,21120,0.6976745792374236,1.1021578140816113
100,1.6153715099999886,0.3413677203915557,0.08462254576862277,0.2365605925003878,0.02018458212254517,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.05556247638142413,0.013609986668316188,0.43624439326214054,1.0,1.0,0.0013020833333333333,19200,1.0,1.0,1.0,1.0,0.9906817266592299,1.3013105388544493,1.1711345862062807,1.4932610759323122,0.11995323877149591,100,0,0,0,4224,23424,0.6976745792374236,1.1021578140816113
110,1.7065077149999865,0.3411395753260302,0.0980885134717752,0.22610460606340754,0.01694645579084743,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.052933348410833164,0.017887646963942093,0.4917340389327925,1.0,1.0,0.0013020833333333333,21120,1.0,1.0,1.0,1.0,0.9906410176724384,1.315110504160863,1.1852520350121147,1.5261921698243333,0.1304645572601113,110,0,0,0,4608,25728,0.6976745792374236,1.1021578140816113
120,1.80337911700002,0.3452443554284368,0.10620135134020027,0.22101776190834213,0.018025242179894367,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.052821418906019074,0.01875757679811621,0.5449445875978045,1.0,1.0,0.0013020833333333333,23040,1.0,1.0,1.0,1.0,0.9899211998178464,1.3286004335735904,1.196018112574789,1.5665447255353553,0.1305279643600051,120,0,0,0,4992,28032,0.5376669602978922,0.9189265240127753
