step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,vrba_attention_effective_sample_fraction,vrba_multiplier_mean,vrba_multiplier_min,vrba_multiplier_max,vrba_temperature,vrba_local_updates,kde_pairwise_distance_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.03046257699998023,0.792995774866189,0.1522501422531126,0.5884638213681257,0.05228181124495068,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.04769397729208348,0.004227132920143768,0.0015829432302391134,1.0,1.0,0.0013020833333333333,192,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,384,576,nan,nan
10,0.08769346199994743,0.44909032479003697,0.00826704141298276,0.3498092823436472,0.09101400103340701,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.02843739773447969,0.011533290079093091,0.062647633240814,1.0,1.0,0.0013020833333333333,1920,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,768,2688,nan,nan
20,0.1979483379999465,0.44693948126737426,0.010433444021032709,0.33275999205094464,0.1037460451953969,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.036280152758414,0.010452205259562907,0.06559753405782272,1.0,1.0,0.0013020833333333333,3840,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,1152,4992,nan,nan
30,0.28043102899999894,0.43881304437626456,0.002388786496198899,0.3961673622505606,0.040256895629505074,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.029819738602844294,0.004742983804700751,0.053922548400379085,1.0,1.0,0.0013020833333333333,5760,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,1536,7296,nan,nan
40,0.94304084099997,0.43074643671081053,0.003221296754631339,0.366421931210943,0.06110320874523616,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.02847521507258554,0.008561738932431878,0.12282844952029653,1.0,1.0,0.0013020833333333333,7680,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,1920,9600,0.8716598420952508,0.9556177392021784
50,1.008846172999995,0.42879061694513193,0.005520348872297707,0.353607370354566,0.06966289771826822,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.029308706680989977,0.010007917411275043,0.12297714662813987,1.0,1.0,0.0013020833333333333,9600,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,2304,11904,0.8716598420952508,0.9556177392021784
60,1.0707595689999607,0.42488891040697496,0.004562098492631034,0.36463637262832216,0.055690439286021805,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.026487693126244084,0.008581299412547384,0.023202978972471554,1.0,1.0,0.0013020833333333333,11520,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,2688,14208,0.8716598420952508,0.9556177392021784
70,1.1358705809999492,0.4209188032157553,0.006194763458554631,0.35667465230275125,0.05804938745444942,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.024786010151170212,0.009884372131450964,0.10852730613251681,1.0,1.0,0.0013020833333333333,13440,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,3072,16512,0.8716598420952508,0.9556177392021784
80,1.2282489829999577,0.41650056411668906,0.008118868724890097,0.350570956585983,0.05781073880581601,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.023360295775468696,0.01016373362370819,0.0987485684758029,1.0,1.0,0.0013020833333333333,15360,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,3456,18816,0.8720199755453225,0.9748551198411651
90,1.3230788089999805,0.4112894756379879,0.010047781389606858,0.34781027017970095,0.05343142406868007,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.023150230601887117,0.010084387520205546,0.05023902027617654,1.0,1.0,0.0013020833333333333,17280,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,3840,21120,0.8720199755453225,0.9748551198411651
100,1.4133381629999917,0.40529466688950533,0.013189524095632663,0.3391694855416107,0.052935657252261965,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.022968730625071404,0.010142137918481939,0.053153418732576826,1.0,1.0,0.0013020833333333333,19200,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,4224,23424,0.8720199755453225,0.9748551198411651
110,1.4884282459999554,0.39836996571463323,0.01630619169519791,0.33191155443480436,0.05015221958463094,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.02412159625581687,0.009402102355318645,0.02530655532016399,1.0,1.0,0.0013020833333333333,21120,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,4608,25728,0.8720199755453225,0.9748551198411651
120,1.5939421989999687,0.3895849945316223,0.019078869105220178,0.32180482328678994,0.048701302139612185,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.02594447267019069,0.00813908769676094,0.007446436509007175,1.0,1.0,0.0013020833333333333,23040,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,4992,28032,0.8693163753560754,1.036582427484632
