id,problem,variant,seed,status,relative_l2,max_abs_error,q95_abs_error,q99_abs_error,dense_relative_l2,dense_max_abs_error,dense_q95_abs_error,dense_q99_abs_error,refined_relative_l2,refined_max_abs_error,refined_q95_abs_error,refined_q99_abs_error,physics_rms_independent,physics_max_independent,peak_coord_0,peak_coord_1,elapsed_seconds,process_cpu_seconds,process_peak_rss_bytes,controller_weight_tv,controller_updates
burgers__global_only__11,burgers,global_only,11,succeeded,0.23754255246030107,1.3905006870525511,0.31971372984234386,0.6397981837028975,0.2372700836993124,1.3905006870525511,0.32237341580173895,0.6319809482893518,0.24408343799843157,1.424469331101561,0.3310073395413321,0.659500863080356,0.8229435684268923,18.125064888162655,1.0,-0.018749999999999947,39.29651501100011,42.680068166000005,890413056,3.49407752168987,2500
burgers__full_quad__11,burgers,full_quad,11,succeeded,0.31363765862497667,1.8675832087504007,0.06814417536669704,1.3816756663571608,0.3137250079727819,1.867662182977187,0.06845867215485846,1.3897486291571914,0.3200785731233292,1.8985676259838025,0.0690000228841354,1.4563503723678992,0.7158958271072651,19.52116504652578,0.625,-0.024999999999999946,40.464242557000034,43.745802748,881516544,6.715643781460377,2500
burgers__full_exp__11,burgers,full_exp,11,succeeded,0.6841781414961097,1.9572006005719664,1.3736807588090996,1.8499886468297368,0.6846543894697402,1.9572006005719664,1.3831782826539416,1.8507722353602114,0.6869521527031056,1.9701607807838246,1.4169773859149617,1.8611129682507992,0.41001274795104015,9.166582704060856,0.53125,-0.031249999999999944,42.480252873999916,43.727491154999996,883269632,9.011358782941652,2500
burgers__neither__11,burgers,neither,11,succeeded,0.3678876392007263,1.5045484489034322,0.4217059283147665,1.171142784651335,0.36816415235067085,1.5100198112603143,0.42156526429814334,1.131665077142681,0.3751302117945578,1.5323458439307218,0.4288171978058941,1.1825516112294114,0.25286079994576216,7.489370954965399,0.8875,-0.024999999999999946,24.87451932299996,26.11923867,884457472,0.0,0
burgers__local_only__11,burgers,local_only,11,succeeded,0.11118246892556084,0.8092431763391915,0.09322743398480027,0.2983182111088686,0.11232193567292315,1.0426898244694252,0.09325687140988526,0.3046811564915415,0.11811612979579149,1.144732062749802,0.09742649037239648,0.31071919789273594,0.826982038022112,17.054077659159073,0.75625,0.006249999999999945,25.355367570999988,26.905426712,886374400,0.0,0
burgers__full_quad__22,burgers,full_quad,22,succeeded,0.4643786321772912,1.7840460567687106,0.27726364805344195,1.5929091054415492,0.4646332487560186,1.7840460567687106,0.2822763543668486,1.6056690125998427,0.4689614729546396,1.7986415031351157,0.28504354126667114,1.634081337718831,0.39515515515352095,5.637255348960384,0.55625,0.031249999999999944,42.20709137099993,43.664817191,888545280,12.736529835852924,2500
burgers__local_only__22,burgers,local_only,22,succeeded,0.3756284413053795,1.6138197175902114,0.42147438416243904,1.4021279808211775,0.37578491934362723,1.6329506050438871,0.4276020652804824,1.3803009408059546,0.38166453212954315,1.702604295666802,0.42369873997937335,1.4247221517178972,0.8156028895433513,14.450306434517724,0.575,0.018749999999999947,28.510786928000016,29.633267417,890077184,0.0,0
burgers__global_only__22,burgers,global_only,22,succeeded,0.5172470351937525,1.802630958943916,0.5536445340804561,1.6763760450151313,0.5177736660322018,1.802630958943916,0.5304732975206536,1.6851154534079331,0.5218137705954944,1.8175974708600293,0.5321578944063752,1.7032682726894215,0.5419842711814461,12.324899536989939,0.5625,0.031249999999999944,38.804087939000055,40.070258521,887435264,5.517370880866034,2500
burgers__full_exp__22,burgers,full_exp,22,succeeded,0.3740432567284849,1.6907095607870846,0.3959655165974888,1.3848145934727614,0.37432499577960204,1.6907095607870846,0.39921985678450067,1.3626136985009436,0.38031775732421164,1.7512835359235543,0.3965512498244729,1.4170797222294695,0.7126483990176384,8.364955072343687,0.625,0.018749999999999947,39.14841837900008,40.232352552,887808000,12.127440415904097,2500
burgers__neither__22,burgers,neither,22,succeeded,0.5160164440282546,1.8106925239523972,0.555471287372394,1.6813183352824226,0.5166428889887762,1.8109071674053885,0.5306167182773597,1.6898165453991865,0.5207045762669273,1.8268013098434812,0.5289517711357599,1.7087212977021677,0.5303046655871643,12.600945581884343,0.56875,0.031249999999999944,22.60152417800009,23.557672642,885542912,0.0,0
