problem,metric,contrast,n_pairs,median_difference,mean_difference,ci95_low,ci95_high,n_negative,n_zero,n_positive,p_sign,p_holm_16
burgers,relative_l2,full_exp-local_only,10,0.016920329288519026,0.07322772298605587,-0.029539727084592612,0.08986949347008899,4,0,6,0.75390625,1.0
burgers,relative_l2,full_exp-global_only,10,-0.03756399934577656,0.022740744457143462,-0.10078885497431217,0.16522696482129282,6,0,4,0.75390625,1.0
burgers,relative_l2,full_exp-full_quad,10,0.013373937190391039,0.0429761407284411,-0.04886263501992494,0.10203189080075595,4,0,6,0.75390625,1.0
burgers,relative_l2,interaction,10,0.03203337472544476,0.10635714782107646,-0.010116464175964915,0.14315172636148218,4,0,6,0.75390625,1.0
allen_cahn,relative_l2,full_exp-local_only,10,-0.0014578046330823834,0.0005213422904602121,-0.003554465666947823,0.00402990534964285,6,0,4,0.75390625,1.0
allen_cahn,relative_l2,full_exp-global_only,10,-0.02534556573116973,-0.026175220798241573,-0.04054191353669409,-0.01202759084120987,9,0,1,0.021484375,0.236328125
allen_cahn,relative_l2,full_exp-full_quad,10,-0.00010052236267085041,0.00023718525926769846,-0.0029912891716025146,0.007384681523870472,6,0,4,0.75390625,1.0
allen_cahn,relative_l2,interaction,10,0.011627433280321557,0.012213458024539988,0.0033193322071897527,0.021187147010647812,1,0,9,0.021484375,0.236328125
helmholtz,relative_l2,full_exp-local_only,10,-0.06625845167599512,-0.06477392543959049,-0.07500656463789712,-0.05676960630847339,10,0,0,0.001953125,0.03125
helmholtz,relative_l2,full_exp-global_only,10,-0.06178817010694032,-0.05822498946194206,-0.07324447709488971,-0.044235385326642715,10,0,0,0.001953125,0.03125
helmholtz,relative_l2,full_exp-full_quad,10,0.010694284292418315,0.004045200313549563,-0.008352262013402108,0.023123282488486732,5,0,5,1.0,1.0
helmholtz,relative_l2,interaction,10,-0.04704261129700378,-0.04631091863774241,-0.059410967642356344,-0.03654026736121318,10,0,0,0.001953125,0.03125
wave,relative_l2,full_exp-local_only,10,0.007394648574204729,0.006446034674658105,0.0007193882523359729,0.01142110404951166,2,0,8,0.109375,0.984375
wave,relative_l2,full_exp-global_only,10,-0.10973141865066437,-0.12181358114941528,-0.15761482578837396,-0.07640484212449675,10,0,0,0.001953125,0.03125
wave,relative_l2,full_exp-full_quad,10,0.027513437009646702,0.030201045233846514,0.01838234771525886,0.03959941080605006,0,0,10,0.001953125,0.03125
wave,relative_l2,interaction,10,0.003980035477511065,0.0027955974138748644,-0.0017991222431257836,0.006657036087584056,3,0,7,0.34375,1.0
burgers,max_abs_error,full_exp-local_only,10,0.12406268096817374,0.1940041651822106,-0.1276549898402679,0.38204546248435656,4,0,6,0.75390625,1.0
burgers,max_abs_error,full_exp-global_only,10,0.2997687807409091,0.2710108408107111,0.05629822495605663,0.5560502628191837,2,0,8,0.109375,0.984375
burgers,max_abs_error,full_exp-full_quad,10,0.06766154039140837,0.10253592679385728,-0.029863990479934044,0.21890139219817706,2,0,8,0.109375,0.984375
burgers,max_abs_error,interaction,10,0.28023635081013254,0.3105182065400049,-0.09359734426068722,0.6463448786009892,3,0,7,0.34375,1.0
allen_cahn,max_abs_error,full_exp-local_only,10,-0.005655206237150656,-0.001902706305024561,-0.009562418218934138,0.006590403677318779,7,0,3,0.34375,1.0
allen_cahn,max_abs_error,full_exp-global_only,10,-0.06669703615154243,-0.059663279917092193,-0.07864405658994199,-0.037306675047904234,10,0,0,0.001953125,0.03125
allen_cahn,max_abs_error,full_exp-full_quad,10,-0.0004529395265538694,0.0006443913517285169,-0.009544371317294298,0.009374536387248555,5,0,5,1.0,1.0
allen_cahn,max_abs_error,interaction,10,0.010406699215682907,0.015784944206462745,0.0037681823882530496,0.030122380620539402,2,0,8,0.109375,0.984375
helmholtz,max_abs_error,full_exp-local_only,10,-0.08785265180484515,-0.08158450942701334,-0.09367666768293308,-0.07588446628469275,10,0,0,0.001953125,0.03125
helmholtz,max_abs_error,full_exp-global_only,10,-0.14368551869758472,-0.139992165759309,-0.1628526694110262,-0.12611962077592384,10,0,0,0.001953125,0.03125
helmholtz,max_abs_error,full_exp-full_quad,10,-0.006354785780556042,-0.006623971154084323,-0.03160643321671575,0.012123964933332142,6,0,4,0.75390625,1.0
helmholtz,max_abs_error,interaction,10,-0.039619554763947934,-0.04021476518064338,-0.0655175255028638,-0.013579295376120737,9,0,1,0.021484375,0.2578125
wave,max_abs_error,full_exp-local_only,10,0.006388765551486514,0.0077212268166312326,0.001296555400526339,0.013953457435819397,1,0,9,0.021484375,0.2578125
wave,max_abs_error,full_exp-global_only,10,-0.2680150681033022,-0.25960921750506305,-0.30057659486364807,-0.20986481886813174,10,0,0,0.001953125,0.03125
wave,max_abs_error,full_exp-full_quad,10,0.029964003035789333,0.03019145617977819,0.016374157517583615,0.04486099466328208,1,0,9,0.021484375,0.2578125
wave,max_abs_error,interaction,10,0.002862053567235831,0.0035650981266471425,-0.0021287189711827748,0.008472899434068981,3,0,7,0.34375,1.0
