problem,variant,n_success,n_expected,median_relative_l2,median_max_abs_error,median_q95_abs_error,median_q99_abs_error,median_dense_max_abs_error,median_refined_max_abs_error,median_refined_relative_l2,median_physics_rms_independent,median_process_cpu_seconds,median_process_peak_rss_bytes
burgers,neither,10,10,0.2946860694530752,1.5137047153276622,0.3752828659909499,0.7828871023170636,1.5528138816988974,1.6129609928319026,0.30122447152786536,0.7256799348583278,25.230642066500003,885084160.0
burgers,global_only,10,10,0.2514898121082272,1.4245416713242207,0.3105523226485838,0.7160917435107661,1.4286322910701243,1.4549937501443435,0.25870514442257453,0.8494765013495472,40.296428469999995,885297152.0
burgers,local_only,10,10,0.20906545518165032,1.5507919277263693,0.14481033433467966,0.7074327814495568,1.5706510529166742,1.6684264965937396,0.21777688498883102,0.753619630206857,26.082457382,886927360.0
burgers,full_exp,10,10,0.25074977980481095,1.7208948421120112,0.1026625272720458,0.8588380410299137,1.72101584135723,1.7662338052820428,0.2577838123542768,0.7744972472686265,40.92855001,884326400.0
burgers,full_quad,10,10,0.248982829461773,1.6988601504131349,0.11624082175054784,0.9323946910808116,1.6990681703169366,1.7399523262747334,0.25703942624211124,0.9582509152819314,43.458328798,884887552.0
allen_cahn,neither,10,10,0.07197237453189043,0.1360896804136325,0.07361690453112721,0.10732784934487687,0.13610818329571217,0.13610818329571217,0.07092934209996177,0.11033240756766627,3.894981487,841064448.0
allen_cahn,global_only,10,10,0.06146798045813938,0.12641822123917995,0.06221499700247668,0.09082469238595514,0.1265003955174589,0.1265003955174589,0.06064294083262995,0.10253082650706734,5.114614518,840835072.0
allen_cahn,local_only,10,10,0.0387511706130281,0.06878148837219716,0.03747917225547569,0.05682711980803928,0.06878148837219716,0.06878148837219716,0.03827312926867063,0.0672039889605941,3.9888421065000004,840349696.0
allen_cahn,full_exp,10,10,0.04007792311425318,0.06905067697637765,0.03830518060326825,0.05398929262829097,0.06905067697637765,0.06905067697637765,0.03961214557554339,0.0646080872778535,5.511687533,840953856.0
allen_cahn,full_quad,10,10,0.03811891926582111,0.06504959354120529,0.036587009501042767,0.051028967812569534,0.06505798349648256,0.06505798349648256,0.03780171374166276,0.05946667616163711,5.3787302305,840912896.0
helmholtz,neither,10,10,0.11227637953718485,0.23486383510446646,0.09959208493126132,0.14881982199020968,0.23486383510446646,0.23486383510446646,0.11056894082586896,0.055969174664525445,21.3918369365,878206976.0
helmholtz,global_only,10,10,0.09347790718300827,0.18809979433659868,0.08218447114570973,0.12170124257138758,0.18809979433659868,0.18809979433659868,0.0921487344760619,0.06330734544790977,32.338189976500004,876345344.0
helmholtz,local_only,10,10,0.10468724570936003,0.13929428249055553,0.07945514158785653,0.09376836397825866,0.13929428249055553,0.13929428249055553,0.10374280950316248,0.05265604851916757,22.085422265,875120640.0
helmholtz,full_exp,10,10,0.03877311325281968,0.05236942882232297,0.02952050291984453,0.035609042552015226,0.05236942882232297,0.05236942882232297,0.03842828938148232,0.08018109782948613,32.2789068525,877873152.0
helmholtz,full_quad,10,10,0.03377194021744753,0.05079674680533783,0.026706691743090892,0.03189209030709986,0.05079674680533783,0.05079674680533783,0.0334863098394404,0.1517528395095965,34.4590600825,878350336.0
wave,neither,10,10,0.2773735812757866,0.5111900775664608,0.27514408489818787,0.321639134535002,0.5111900775664608,0.5111900775664608,0.2771192555800851,0.036882307754505225,4.981171071,843663360.0
wave,global_only,10,10,0.2797930280592353,0.5200544810371204,0.27477992404393625,0.32430413598688335,0.5200544810371204,0.5200544810371204,0.2795558612849466,0.033743734446882716,6.9161316175,843716608.0
wave,local_only,10,10,0.17097477711817077,0.2428624076984024,0.17630695506449434,0.2198343636345922,0.2428624076984024,0.2428624076984024,0.17087248880137829,0.04161960367316386,6.0031620905,843481088.0
wave,full_exp,10,10,0.17447208329890548,0.24275669419989324,0.175237439140633,0.22086797421246177,0.24278542102651887,0.24278542102651887,0.17432942469384516,0.04059855448849381,7.7759837945,843628544.0
wave,full_quad,10,10,0.15106714752797734,0.21452297711413276,0.15282094000429808,0.19310121727397894,0.2145800578020774,0.2145800578020774,0.15088858318735449,0.0401795923145164,6.631169284,843886592.0
