step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,vrba_attention_effective_sample_fraction,vrba_multiplier_mean,vrba_multiplier_min,vrba_multiplier_max,vrba_temperature,vrba_local_updates,kde_pairwise_distance_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.01469117700003153,3.6727476678853175,3.2138852385311507,0.4401444048514555,0.017229055994096937,nan,1.0,1.0030781653917742,1.0077851760574397,nan,0.01086334144921386,0.01086334144921386,1,0.006851661846878274,0.0009509458742795488,0.06095550043061131,1.0,1.0,0.0009765625,256,1.0,1.0,1.0,1.0,0.9999902180999156,1.0063580686314708,1.0036771341134292,1.009,2.456230604854457,1,0,0,0,512,768,nan,nan
25,0.1877843350000603,1.9788534519410248,0.4862592712798512,0.19497032047572804,1.128945883735641,nan,1.0,1.0749213318604256,1.1364729191949354,nan,0.005750130828168443,0.21139425105536103,25,0.05227459427620107,0.05744278855364675,0.13409518996711392,1.0,1.0,0.0009765625,6400,1.0,1.0,1.0,1.0,0.9975129097333528,1.07924893388314,1.0460633807497128,1.222048783225345,0.4476993329267387,25,0,0,0,1024,7424,nan,nan
50,0.34277898400000595,2.371734613487747,1.1965418385844857,0.30927258564305804,0.6954618115657962,nan,1.0,1.1475504545032962,1.1794851493518057,nan,0.003948095134191032,0.3270356038551019,50,0.1142569271263325,0.06418649121650606,0.19941457602898266,1.0,1.0,0.0009765625,12800,1.0,1.0,1.0,1.0,0.9902147171891409,1.131905041634543,1.075507384250988,1.391956196509678,0.49693310484670244,50,0,0,0,1536,14336,nan,nan
75,0.48432199700005185,2.6896209496441026,1.4294248879381015,0.4046426142858278,0.6412872435921407,nan,1.0,1.210409144790866,1.2013539154262913,nan,0.002895760837721806,0.41176306021715736,75,0.16849910335679674,0.08464786716570297,0.2127877500796885,1.0,1.0,0.0009765625,19200,1.0,1.0,1.0,1.0,0.9788588318555512,1.1820394981176887,1.1016525304229612,1.5488112367009945,0.4553837782076375,75,0,0,0,2048,21248,nan,nan
100,0.6426318450000963,2.3337510812394786,1.2107226035484073,0.4353836310255364,0.4740055142716123,nan,1.0,1.258066149518896,1.213671681282532,nan,0.001954512347830617,0.47173783080142817,100,0.21192852234092835,0.10888360470102514,0.20956616389725266,1.0,1.0,0.0009765625,25600,1.0,1.0,1.0,1.0,0.9664165106373771,1.2264476083307778,1.1262109262522129,1.7136052369765675,0.3901943409542106,100,0,0,0,2560,28160,nan,nan
125,0.7736626630000956,1.0690465373652915,0.4638817577994417,0.3136378398517028,0.16462428959868072,nan,1.0,1.2888172490320007,1.2206152695066776,nan,0.0011273173632448952,0.5094325185386783,125,0.2252072833296869,0.12383632772410172,0.13116623666434735,1.0,1.0,0.0009765625,32000,1.0,1.0,1.0,1.0,0.9566815274436135,1.262336148975063,1.1503472527841858,1.912802352551407,0.24663732416134965,125,0,0,0,3072,35072,nan,nan
150,0.9036748280000211,0.6804305237016491,0.3470498759382623,0.1907604970924599,0.06886214258585262,nan,1.0,1.3056383469685118,1.2244235294824861,nan,0.0005945111014833415,0.5300618764509979,150,0.12633992519350107,0.08855478234065492,0.2548435276560601,1.0,1.0,0.0009765625,38400,1.0,1.0,1.0,1.0,0.9553302212302817,1.2985983557734087,1.1732456723359366,2.001427526432956,0.21438991413465683,150,0,0,0,3584,41984,nan,nan
175,1.039139003999935,0.5799863757974705,0.30259312227443885,0.16533678591239542,0.04899413630680285,nan,1.0,1.3144290845529958,1.2260604615439725,nan,0.00027690054881324144,0.5404895460969683,175,0.10244394368315107,0.10796581184105306,0.5046265108658734,1.0,1.0,0.0009765625,44800,1.0,1.0,1.0,1.0,0.9560004187705432,1.331455425820454,1.1949615069577684,2.036213295051938,0.1745825107545271,175,0,0,0,4096,48896,nan,nan
200,1.1776475379999738,0.385414059567662,0.16356421860455134,0.12579563070547517,0.04566428201657203,nan,1.0,1.318493797684583,1.2261023195722713,nan,0.00012167173395938313,0.5449001479443272,200,0.15663209251011193,0.12434514810106892,0.21369439808407245,1.0,1.0,0.0009765625,51200,1.0,1.0,1.0,1.0,0.9524104149757268,1.3605674311476699,1.2160399287973223,2.1859400386839485,0.16759225915820547,200,0,0,0,4608,55808,0.2052448779030037,0.31772480279005255
225,1.312233032999984,0.2798094732487188,0.12608717456905438,0.0785107627046118,0.040909543166617365,nan,1.0,1.3197004540549777,1.2249369123016078,nan,7.480579590501968e-05,0.5472722115853854,225,0.22452189443297152,0.13252488353262573,0.030637048101658706,1.0,1.0,0.0009765625,57600,1.0,1.0,1.0,1.0,0.949754131196382,1.3810674904677995,1.2367680464348383,2.378989083168644,0.17991155868136077,225,0,0,0,5120,62720,0.2052448779030037,0.31772480279005255
250,1.4445979700001317,0.22261247585544658,0.09908896730533844,0.06661234309168798,0.029152611432310245,nan,1.0,1.3191515857739415,1.2229343711238425,nan,0.00014158831373012326,0.5498492113186833,250,0.22492429869911848,0.14555400249571226,0.059436655375054465,1.0,1.0,0.0009765625,64000,1.0,1.0,1.0,1.0,0.9460124396989029,1.4003269207021076,1.25703822009896,2.5672744197971546,0.15547788785946742,250,0,0,0,5632,69632,0.2052448779030037,0.31772480279005255
275,1.5726557739999407,0.18430053554815476,0.08236654570490068,0.05734612795676137,0.021626911088699668,nan,1.0,1.317313341798294,1.2202931004386437,nan,0.00021074517926367164,0.5543287259795295,275,0.26812314381881086,0.163299979040481,0.00619008562280324,1.0,1.0,0.0009765625,70400,1.0,1.0,1.0,1.0,0.9409624455492024,1.4187648050720156,1.2767686698072311,2.7509141325874746,0.13537168798958918,275,0,0,0,6144,76544,0.2052448779030037,0.31772480279005255
300,1.707256111000106,0.15146524249782126,0.06854060692613181,0.04773706396444735,0.016575617260930813,nan,1.0,1.3144886113235452,1.2171376989955223,nan,0.00026270811885975576,0.5603088578973998,300,0.2713424787934642,0.17552959917676736,0.18810210540117558,1.0,1.0,0.0009765625,76800,1.0,1.0,1.0,1.0,0.9347322848314742,1.4365396915753124,1.29582727222133,2.9300233727747744,0.12196266299471374,300,0,0,0,6656,83456,0.2052448779030037,0.31772480279005255
325,1.875391749000073,0.12230189492243879,0.056486904027345186,0.03817609401146663,0.012990892372912476,nan,1.0,1.3109925209253066,1.2136515887695505,nan,0.000283653795445149,0.5672910585216102,325,0.16616011966771,0.17428941217874439,1.1209563721175748,1.0,1.0,0.0009765625,83200,1.0,1.0,1.0,1.0,0.9274491708921745,1.4537134833731429,1.3142629724465225,3.104714431792388,0.1103361188951915,325,0,0,0,7168,90368,0.2052448779030037,0.31772480279005255
350,2.0491415860001325,0.0985369497553548,0.04637743497072183,0.03163155405813968,0.008930875062918835,nan,1.0,1.307281852651075,1.2102014771375742,nan,0.0002923270184997939,0.5744518384278181,350,0.1496540484082855,0.19042467947457292,1.2017493103807104,1.0,1.0,0.0009765625,89600,1.0,1.0,1.0,1.0,0.9191456498245745,1.4703729286653027,1.3321645312245411,3.275096812433189,0.09548620182562534,350,0,0,0,7680,97280,0.2052448779030037,0.31772480279005255
375,2.205124855000122,0.07678484726787467,0.0380264973131319,0.02380195704356567,0.006410610925534426,nan,1.0,1.3033433803828258,1.2067846406089833,nan,0.0002932195968985418,0.5818071472246582,375,0.39896803178018714,0.2023345050296697,0.28344952999354234,1.0,1.0,0.0009765625,96000,1.0,1.0,1.0,1.0,0.9099205113780493,1.4867215924214874,1.349516377445815,3.4382236797917685,0.08490372534360834,375,0,0,0,8192,104192,0.2052448779030037,0.31772480279005255
