step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,vrba_attention_effective_sample_fraction,vrba_multiplier_mean,vrba_multiplier_min,vrba_multiplier_max,vrba_temperature,vrba_local_updates,kde_pairwise_distance_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.024887597000088135,4.551143942268596,4.030754234490294,0.48592628514593966,0.03289671109984155,nan,1.0,1.0028381491517988,1.0057020976330515,nan,0.008540246784850325,0.008540246784850325,1,0.002821467724422499,0.0051778901474906595,0.1071939497706101,1.0,1.0,0.0009765625,256,1.0,1.0,1.0,1.0,0.9999830772059625,1.0054303232692994,1.0011957518414947,1.009,1.8066168989609745,1,0,0,0,512,768,nan,nan
25,0.17362166499992782,2.0237692787348593,0.5649302160649596,0.20480631167598806,1.1187884957032588,nan,1.0,1.0694813210690768,1.1081652543415295,nan,0.005323447678120319,0.17764657541060624,25,0.04258052941436863,0.03280421403049236,0.20554055857832088,1.0,1.0,0.0009765625,6400,1.0,1.0,1.0,1.0,0.9958196127608352,1.1024837254241393,1.0347281707367175,1.2109079373914367,0.5579958738577063,25,0,0,0,1024,7424,nan,nan
50,0.3228160060000391,2.5660909098085547,1.3575462836252283,0.3105304442090093,0.742374343714189,nan,1.0,1.1389506614574054,1.151529250151367,nan,0.003973771621040623,0.2904799116087724,50,0.06452224723916715,0.05059163407156694,0.3966473087978614,1.0,1.0,0.0009765625,12800,1.0,1.0,1.0,1.0,0.9842971102390011,1.1976810641056146,1.0673024608777122,1.3944173136835727,0.7977471236603038,50,0,0,0,1536,14336,nan,nan
75,0.4720626660000562,3.239602155009162,1.705731562460811,0.39485114774884833,0.9007588868053282,nan,1.0,1.2037927846991991,1.175177559016261,nan,0.003175098516142283,0.3789703437154601,75,0.08232792337288344,0.05930881466351713,0.5894189707572879,1.0,1.0,0.0009765625,19200,1.0,1.0,1.0,1.0,0.9677580254544728,1.2977264056331124,1.0953248945943728,1.600595737068278,0.805973808956481,75,0,0,0,2048,21248,nan,nan
100,0.6849066929999026,3.8791815429601932,2.156575322594107,0.4977756786478712,0.921153267953607,nan,1.0,1.2608246486404453,1.18872549588379,nan,0.002509129258110976,0.44955014452423536,100,0.10547852691259652,0.06146996622358368,0.7112815000016619,1.0,1.0,0.0009765625,25600,1.0,1.0,1.0,1.0,0.9498126776161637,1.3979075718252245,1.1199770581136526,1.8080875710716393,0.8352336703603456,100,0,0,0,2560,28160,nan,nan
125,0.841073612999935,4.268768925807682,2.4249153692208445,0.5679520517827389,0.9201561222217974,nan,1.0,1.307894081035876,1.1965713243199132,nan,0.0019204431489470153,0.5044654053557891,125,0.1286480195790014,0.06501622221383475,0.808119083793838,1.0,1.0,0.0009765625,32000,1.0,1.0,1.0,1.0,0.9327321002685067,1.4981285814293297,1.1452614198996118,1.997214167287291,0.8224107776958054,125,0,0,0,3072,35072,nan,nan
150,0.9953970229998959,3.4628091566820114,1.962503431903194,0.5559951483242911,0.6267544315801039,nan,1.0,1.344600490139169,1.2009717648574352,nan,0.0013853074685536981,0.5455722549966042,150,0.15906838560929826,0.06033716862804507,0.8268908261992555,1.0,1.0,0.0009765625,38400,1.0,1.0,1.0,1.0,0.9204095664099637,1.5873339536940685,1.1713436638689119,2.1400889273694252,0.6915677180232319,150,0,0,0,3584,41984,nan,nan
175,1.1385774549999041,0.8110117208931523,0.3762960164842072,0.2386972095494549,0.08967363731921309,nan,1.0,1.3691598437358328,1.20326411984312,nan,0.0008051587912745184,0.5724239635789528,175,0.3316243902380578,0.08385826391087664,0.07189495576891013,1.0,1.0,0.0009765625,44800,1.0,1.0,1.0,1.0,0.9159369092480117,1.655469644805616,1.1997619772778247,2.2988367954006916,0.2879671827695038,175,0,0,0,4096,48896,nan,nan
200,1.2794425469999169,0.4046976082692726,0.2654987304394172,0.0667895652741173,0.03885383054407642,nan,1.0,1.3834341431415227,1.2045121978635172,nan,0.0005112541188390107,0.5879463410050398,200,0.08016126236976844,0.09305508789682639,1.2319650614226834,1.0,1.0,0.0009765625,51200,1.0,1.0,1.0,1.0,0.9200222543605495,1.7133104926074638,1.237398986223549,2.4417412915819168,0.2322221947606899,200,0,0,0,4608,55808,0.29603314886637594,0.5043234888313255
225,1.4202463760000228,0.35685514279904407,0.22289874710862745,0.06842115070927211,0.03203365097273991,nan,1.0,1.3931936181853273,1.2059969438462648,nan,0.00039293622426161967,0.599190562031592,225,0.1521856726658099,0.09417516703413187,2.000306215752888,1.0,1.0,0.0009765625,57600,1.0,1.0,1.0,1.0,0.9236024836239706,1.7622967352029437,1.2776252491054947,2.5608608267397015,0.19828577912116108,225,0,0,0,5120,62720,0.29603314886637594,0.5043234888313255
