step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,vrba_attention_effective_sample_fraction,vrba_multiplier_mean,vrba_multiplier_min,vrba_multiplier_max,vrba_temperature,vrba_local_updates,kde_pairwise_distance_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.014356166000197845,4.735723241271398,4.234316162628177,0.4946819619877869,0.0049676632708566424,nan,1.0,1.003332990551638,1.0218781091390812,nan,0.025211099690719108,0.025211099690719108,1,0.0021028715275142234,0.006747474229592067,0.0038046964047491845,1.0,1.0,0.0009765625,256,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,512,768,nan,nan
25,0.13098072200000388,1.5628764423842743,0.39604314384893036,0.16042262285992387,0.7507644909563725,nan,1.0,1.0820149170252236,1.3229896186317014,nan,0.008827158195262585,0.40500453565692496,25,0.04308410919548153,0.029625132329074662,0.06673043218540839,1.0,1.0,0.0009765625,6400,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,1024,7424,nan,nan
50,0.25262673000020186,1.4930313225722398,0.7554565958421388,0.17384716927457924,0.3781567549544196,nan,1.0,1.1641678389336239,1.4152528980620587,nan,0.005951103717155792,0.5794207369956825,50,0.03768641508903921,0.02611137604458838,0.1520145924830988,1.0,1.0,0.0009765625,12800,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,1536,14336,nan,nan
75,0.3738772470001095,1.478100671220653,0.7751130912923738,0.176308545279189,0.3293460980181487,nan,1.0,1.2432633502243204,1.468939908997006,nan,0.004806638133463714,0.7122032592213265,75,0.04210050112545489,0.024943967120311925,0.1857746512972698,1.0,1.0,0.0009765625,19200,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,2048,21248,nan,nan
100,0.49782505900020624,1.4158613229072712,0.7525436161894234,0.17247661187175287,0.289873854426128,nan,1.0,1.3170038705251874,1.5046729280609608,nan,0.004018246052965857,0.8216767985861482,100,0.03926357297718328,0.024991694283610547,0.17884387039992436,1.0,1.0,0.0009765625,25600,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,2560,28160,nan,nan
125,0.6339227660000688,1.256085701828134,0.6817538046499563,0.16398782310061694,0.22712925212573365,nan,1.0,1.3839700766972534,1.5294272041713979,nan,0.0033555773156481727,0.9133972808686512,125,0.03723401100702412,0.025009061798757642,0.18210800974849736,1.0,1.0,0.0009765625,32000,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,3072,35072,nan,nan
150,0.7572079160001977,0.9344273863689019,0.5073508010027267,0.14407328101587133,0.14178131352202314,nan,1.0,1.4418307459051205,1.5470818663278347,nan,0.002708152069956782,0.9889126122329552,150,0.034956998367052045,0.02538005217244252,0.19123039934227137,1.0,1.0,0.0009765625,38400,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,3584,41984,nan,nan
175,0.9215199210000264,0.5282307204689444,0.26552693797161075,0.10811350537411071,0.06527311520467038,nan,1.0,1.4879959953588084,1.560080580452635,nan,0.0020566025014179257,1.0480765758114434,175,0.01961213860954293,0.024447092315043203,0.12432617117069146,1.0,1.0,0.0009765625,44800,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,4096,48896,nan,nan
200,1.0928877820001617,0.29243178601695535,0.13983422539957974,0.07089822998307804,0.02846776553360177,nan,1.0,1.5219882233110555,1.5698910220677822,nan,0.0014922857033443648,1.0918792453788377,200,0.005023715301331652,0.019331044367910777,0.044088035936918284,1.0,1.0,0.0009765625,51200,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,4608,55808,0.2735734240688378,0.4324426897968714
225,1.2624205320000783,0.18823559091668807,0.0926543952504319,0.0465435107779458,0.014974249487192885,nan,1.0,1.5461387274017153,1.5772724478402287,nan,0.0010706501343937802,1.123411175241944,225,0.12037192524285532,0.0047098068965586715,0.8280357722239313,1.0,1.0,0.0009765625,57600,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,5120,62720,0.2735734240688378,0.4324426897968714
250,1.3999730200000613,0.13094447958671995,0.06500691554398101,0.03137065076818566,0.010673853375971558,nan,1.0,1.5633569788076107,1.582749700552431,nan,0.0007746484522446195,1.1461066793600416,250,0.24749985392799076,0.02507294709658902,1.5324099455706461,1.0,1.0,0.0009765625,64000,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,5632,69632,0.2735734240688378,0.4324426897968714
