step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,vrba_attention_effective_sample_fraction,vrba_multiplier_mean,vrba_multiplier_min,vrba_multiplier_max,vrba_temperature,vrba_local_updates,kde_pairwise_distance_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.0164428069999758,4.925932744874667,4.422888609457308,0.48907807497197164,0.01396606044538756,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.006546863488252362,0.004934397557367663,0.030712765716760678,1.0,1.0,0.0009765625,256,1.0,1.0,1.0,1.0,0.9999916614172393,1.0068410897914608,1.0036876675682165,1.009,2.614552208154683,1,0,0,0,512,768,nan,nan
25,0.11423421700010294,1.87469857471286,0.48699844989014157,0.24280296551407016,1.144897159308648,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.04199029324922306,0.012567657105306468,0.30902239687558,1.0,1.0,0.0009765625,6400,1.0,1.0,1.0,1.0,0.997328374815056,1.0862190057260617,1.0448030534587796,1.198529018218812,0.4135396140697772,25,0,0,0,1024,7424,nan,nan
50,0.24267495200001576,2.085140804465334,1.1597751238890732,0.2583837011862728,0.6669819793899878,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.07900789635174063,0.020925442250863395,0.31295163235622897,1.0,1.0,0.0009765625,12800,1.0,1.0,1.0,1.0,0.9902875236709267,1.1382737832204302,1.0743467369714694,1.3568835503168197,0.4972360352686331,50,0,0,0,1536,14336,nan,nan
75,0.4109965180000472,2.2361445842801824,1.315141608327489,0.3064126348882245,0.614590341064469,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.10568722697420446,0.024203061168784262,0.32043343987404455,1.0,1.0,0.0009765625,19200,1.0,1.0,1.0,1.0,0.9767416696108943,1.1911508714013022,1.100644401790058,1.5601104307789635,0.4129757870535247,75,0,0,0,2048,21248,nan,nan
100,0.5568847440001718,2.072430166149888,1.1849677920589585,0.315055077565796,0.5724072965251336,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.11936133981080432,0.027521042579857602,0.3527881323786757,1.0,1.0,0.0009765625,25600,1.0,1.0,1.0,1.0,0.9629168633261767,1.2370820599412702,1.1253873560851133,1.6848364632459691,0.3688993387297468,100,0,0,0,2560,28160,nan,nan
125,0.653979186000015,1.445955835152859,0.8603741615319676,0.3000738680656304,0.2855078055552611,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.2080673375072074,0.023154454737965346,0.06929317954265145,1.0,1.0,0.0009765625,32000,1.0,1.0,1.0,1.0,0.9519415379055219,1.276118978346134,1.1491376055468423,1.8494507965624651,0.31531571249043205,125,0,0,0,3072,35072,nan,nan
150,0.8132360110000718,0.6000186468263481,0.343760508220777,0.18858401328419183,0.06767412532137931,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.28024237014769704,0.044873094453256185,0.3906660542507849,1.0,1.0,0.0009765625,38400,1.0,1.0,1.0,1.0,0.9431434512760156,1.3129944385603445,1.1720362932624908,1.9482425287617269,0.17303480375943486,150,0,0,0,3584,41984,nan,nan
175,0.9845922070001052,0.26496504284684236,0.1563306628119841,0.08429123737121624,0.02434314266364203,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.3663417324995195,0.07868596153188875,0.9340837610363164,1.0,1.0,0.0009765625,44800,1.0,1.0,1.0,1.0,0.9431225706233938,1.3495103638036876,1.1941438146911525,2.0185910146105397,0.12691367510616955,175,0,0,0,4096,48896,nan,nan
200,1.135212202000048,0.17120589327515323,0.10113304293136352,0.046920881563388514,0.023151968780401225,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.5139504448683768,0.09700982217760437,1.3212925244702656,1.0,1.0,0.0009765625,51200,1.0,1.0,1.0,1.0,0.9414873628117048,1.3758240852662242,1.2153866241841842,2.1619541172209202,0.1260140943657021,200,0,0,0,4608,55808,0.16764934918083066,0.24744216239356498
225,1.2469262040001468,0.12203537094717481,0.06929916505687035,0.03806748690642155,0.014668718983882922,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.45745693011162647,0.07385551831704507,1.0736875991608155,1.0,1.0,0.0009765625,57600,1.0,1.0,1.0,1.0,0.9391242361434712,1.398344414934733,1.235816882358957,2.3527006575468765,0.10940966022927794,225,0,0,0,5120,62720,0.16764934918083066,0.24744216239356498
250,1.3489732350001304,0.09685385478387822,0.055876175927362645,0.03082066427242234,0.01015701458409323,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.39417434547203983,0.07411832880643103,0.6993197860061519,1.0,1.0,0.0009765625,64000,1.0,1.0,1.0,1.0,0.9364139497442368,1.4193671986234466,1.2557186942251632,2.50498123837185,0.09108608333953841,250,0,0,0,5632,69632,0.16764934918083066,0.24744216239356498
275,1.4952941579999788,0.08013302622169607,0.04631899983711439,0.026168482284709287,0.007645544099872399,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.2787677585157569,0.08611497260248586,0.13101729579213944,1.0,1.0,0.0009765625,70400,1.0,1.0,1.0,1.0,0.9324338237024885,1.4402835056108705,1.2751155630203241,2.6564057697703123,0.07621096336514117,275,0,0,0,6144,76544,0.16764934918083066,0.24744216239356498
300,1.5971393970000918,0.06507605442019637,0.036533404936455016,0.022378988769789124,0.006163660713952231,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.23673034501739315,0.1049812569404942,0.2515614944259072,1.0,1.0,0.0009765625,76800,1.0,1.0,1.0,1.0,0.925928985874378,1.461397395514796,1.293829769923459,2.8359249949229257,0.06244122856817268,300,0,0,0,6656,83456,0.16764934918083066,0.24744216239356498
325,1.6950722730000507,0.05220307296076565,0.028526322363976033,0.018657326403459254,0.005019424193330364,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.11822232213462,0.1283787990981216,0.9321256135926248,1.0,1.0,0.0009765625,83200,1.0,1.0,1.0,1.0,0.9189812907987677,1.4816098642370732,1.3120013085986348,3.012939066891379,0.053688185868661226,325,0,0,0,7168,90368,0.16764934918083066,0.24744216239356498
350,1.837210629000083,0.042914319552566964,0.022946318830414876,0.01567059934349403,0.004297401378658065,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.18271724845867632,0.15085556349665863,0.9522102453259758,1.0,1.0,0.0009765625,89600,1.0,1.0,1.0,1.0,0.9114896654890638,1.501508262793678,1.3298905163688086,3.176995478020464,0.04126477308474654,350,0,0,0,7680,97280,0.16764934918083066,0.24744216239356498
