step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,vrba_attention_effective_sample_fraction,vrba_multiplier_mean,vrba_multiplier_min,vrba_multiplier_max,vrba_temperature,vrba_local_updates,kde_pairwise_distance_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.019608898999877056,4.125601016651079,3.5387260577065,0.5697773551195974,0.01709760382498172,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.007238243181641282,0.03326878808594024,0.13296506843655587,1.0,1.0,0.0009765625,256,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,512,768,nan,nan
25,0.16427206100001968,1.35767702301737,0.3552957341855705,0.15689711698569092,0.8454841718461086,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.05052263738942281,0.021583272775042836,0.27530753879534176,1.0,1.0,0.0009765625,6400,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,1024,7424,nan,nan
50,0.34017056699985915,1.2783689886345004,0.4993985019180265,0.17096099229931044,0.6080094944171635,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.04139072267773273,0.0160457756612101,0.05635586752507802,1.0,1.0,0.0009765625,12800,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,1536,14336,nan,nan
75,0.4609741300000678,1.2332757313040026,0.43033220374972025,0.1562802372724022,0.6466632902818801,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.031911900584953266,0.01391782392164792,0.052589876019952804,1.0,1.0,0.0009765625,19200,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,2048,21248,nan,nan
100,0.6271044549998805,1.1672433085432083,0.4331916684049318,0.14593285628783065,0.5881187838504458,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.03839582050884617,0.007539981629945902,0.04762647864285355,1.0,1.0,0.0009765625,25600,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,2560,28160,nan,nan
125,0.7466828259998692,1.0683028160559496,0.4558556057888848,0.13504330930880884,0.477403900958256,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.05024925183512231,0.003854471996358369,0.09530775936808132,1.0,1.0,0.0009765625,32000,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,3072,35072,nan,nan
150,0.8717795689999548,0.8427487583726967,0.5100639755220188,0.19335956051436592,0.13932522233631192,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.1323841136720213,0.05061076558106023,0.410765311676262,1.0,1.0,0.0009765625,38400,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,3584,41984,nan,nan
175,1.03979761100004,0.5641195412229955,0.31692903795188926,0.15620028484030582,0.09099021843080035,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.12867781165070197,0.05511731309067151,0.4485642744913744,1.0,1.0,0.0009765625,44800,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,4096,48896,nan,nan
200,1.2241708829999425,0.3811205124093924,0.20020026005013308,0.12058415684557149,0.060336095513687814,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.09695016778810879,0.0599007168113838,0.29297153550789307,1.0,1.0,0.0009765625,51200,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,4608,55808,0.32352514164323093,0.4881349454222971
225,1.3917744099999254,0.27603992626523977,0.1410967760314402,0.09514425291396261,0.03979889731983696,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.08931377735713429,0.06719360170155678,0.11281350460797636,1.0,1.0,0.0009765625,57600,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,5120,62720,0.32352514164323093,0.4881349454222971
250,1.4933292539999456,0.19653818344655566,0.09770165707076868,0.07334038594021496,0.025496140435572016,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.10179522977465882,0.08040690130961978,0.19571155219145997,1.0,1.0,0.0009765625,64000,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,5632,69632,0.32352514164323093,0.4881349454222971
275,1.5939798249999058,0.1414105252877402,0.0729163424639526,0.053851721463680904,0.014642461360106695,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.13383253065508272,0.10348617480049727,0.4781655137698971,1.0,1.0,0.0009765625,70400,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,6144,76544,0.32352514164323093,0.4881349454222971
300,1.6990088219999961,0.11112749685147602,0.062386227356656346,0.04031619458346415,0.00842507491135552,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.1748791517068519,0.11469336870201577,0.6459437281267097,1.0,1.0,0.0009765625,76800,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,6656,83456,0.32352514164323093,0.4881349454222971
325,1.8094449939999322,0.09409858243032122,0.05558012455202419,0.03253861084241125,0.005979847035885786,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.1891978726628314,0.11378276495833375,0.6158780199034899,1.0,1.0,0.0009765625,83200,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,7168,90368,0.32352514164323093,0.4881349454222971
350,1.9103097749998597,0.08053983689897223,0.04776732683338583,0.027956463373026555,0.004816046692559844,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.1865489770058318,0.11464754005974759,0.5388273368752347,1.0,1.0,0.0009765625,89600,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,7680,97280,0.32352514164323093,0.4881349454222971
375,2.0296982429999844,0.06868035982467546,0.04052720844444851,0.024226317939009166,0.003926833441217787,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.1800712118058077,0.11672222042981209,0.4563476629236467,1.0,1.0,0.0009765625,96000,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,8192,104192,0.32352514164323093,0.4881349454222971
400,2.154017096999951,0.05808370518844954,0.03420683212234213,0.02073315022247625,0.0031437228436311574,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.17396585559491184,0.11856579539814077,0.3830422285100459,1.0,1.0,0.0009765625,102400,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,8704,111104,0.13503161006435396,0.22628628340612145
