step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,vrba_attention_effective_sample_fraction,vrba_multiplier_mean,vrba_multiplier_min,vrba_multiplier_max,vrba_temperature,vrba_local_updates,kde_pairwise_distance_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.04597989100011546,0.4494352898936631,0.02802931539942862,0.33945931612620706,0.0819841954200687,nan,1.0,0.9999161003747437,0.9998895330669278,nan,0.00019436655832849592,0.00019436655832849592,1,0.03800665000323983,0.0172976595659333,0.0983484683555376,1.0,1.0,0.00048828125,512,1.0,1.0,1.0,1.0,0.9999935848135408,1.0063233439084938,1.0040147121009055,1.009,0.23573503293254308,1,0,0,0,1024,1536,nan,nan
50,0.9691590200000064,0.2805007289393537,0.08133170474515905,0.19627874903971348,0.004036894561657856,nan,1.0,0.9942901194879129,0.9935863563680895,nan,0.0002688690951793138,0.012123524143997644,50,0.03800665000323983,0.0172976595659333,0.0983484683555376,1.0,1.0,0.00048828125,25600,1.0,1.0,1.0,1.0,0.9965255859520866,1.1802097834233987,1.0973399056430717,1.2499546011134184,0.1448902409677332,50,0,0,0,1024,26624,nan,nan
100,1.7533316040000955,0.3075302099522798,0.13595918476442265,0.163292041706333,0.010150406195777098,nan,1.0,0.98908261606278,0.9912613545368065,nan,0.0001201181207077795,0.019986919701477146,100,0.03944146309424153,0.04709114717061954,0.5621339955818272,1.0,1.0,0.00048828125,51200,1.0,1.0,1.0,1.0,0.9883288959054107,1.2568228229212173,1.1512874871980072,1.6702433571367385,0.17087495314464157,100,0,0,0,2048,53248,nan,nan
150,2.721850126000163,0.3779427161952721,0.17752263874176427,0.18945886888424868,0.013795935918897525,nan,1.0,0.9852280861386525,0.9973863854961434,nan,0.0002806914171948893,0.029966480584941557,150,0.03944146309424153,0.04709114717061954,0.5621339955818272,1.0,1.0,0.00048828125,76800,1.0,1.0,1.0,1.0,0.9747510202037453,1.3169266164299953,1.196129049271591,2.076711551425641,0.15999193459150415,150,0,0,0,2048,78848,nan,nan
200,3.6730150990001675,0.440369998277184,0.21233457446528908,0.21451428263661643,0.017143653436857288,nan,1.0,0.9821055925312554,1.0126048814846917,nan,0.00044558410828299255,0.04830747018088699,200,0.08201593583451935,0.09176331037829848,0.8705329160566873,1.0,1.0,0.00048828125,102400,1.0,1.0,1.0,1.0,0.954554612217705,1.3736341282748818,1.2384037319854007,2.4633622695173383,0.14777906714655564,200,0,0,0,3072,105472,nan,nan
250,4.497286040000063,0.4530620857154247,0.22214159939509312,0.2186857435820872,0.016148634285542154,nan,1.0,0.9794379903796777,1.0360852073160254,nan,0.0006087112854443744,0.07445539816379831,250,0.08201593583451935,0.09176331037829848,0.8705329160566873,1.0,1.0,0.00048828125,128000,1.0,1.0,1.0,1.0,0.9336824516103206,1.4250439952975245,1.2799121255414678,2.7396069677655284,0.15197124434721562,250,0,0,0,3072,131072,nan,nan
300,5.317474427999969,0.44329532379847314,0.2386073003624235,0.1986475766964136,0.0098463825344517,nan,1.0,0.9773273847586219,1.0708812884135148,nan,0.0008960121513265085,0.11136208488234356,300,0.117656040643164,0.12044603818395028,1.0249628167843803,1.0,1.0,0.00048828125,153600,1.0,1.0,1.0,1.0,0.9268028356030862,1.4687619633323339,1.3178716090136244,2.8136662314191456,0.1719476484847129,300,0,0,0,4096,157696,nan,nan
350,6.268170536000071,0.45991684079141587,0.24642999259767612,0.20926378164449877,0.008300182284542011,nan,1.0,0.9757378524895399,1.1204880771615093,nan,0.001152438785961829,0.16255840589942006,350,0.117656040643164,0.12044603818395028,1.0249628167843803,1.0,1.0,0.00048828125,179200,1.0,1.0,1.0,1.0,0.9254660411714685,1.5085083408012658,1.3576247368656342,2.8699637015569253,0.16827929308256898,350,0,0,0,4096,183296,nan,nan
400,7.045008478999989,0.4739460841868218,0.2889701438325773,0.17417986972375887,0.012931372804212513,nan,1.0,0.9743996422763412,1.1796997762453074,nan,0.001167869471269345,0.22310831519641683,400,0.15616863210183818,0.14700043735310442,1.0577307575499115,1.0,1.0,0.00048828125,204800,1.0,1.0,1.0,1.0,0.9255551218751629,1.5433933528763686,1.3905262222587402,2.92562496753482,0.1616903462811036,400,0,0,0,5120,209920,nan,nan
450,7.77784677700015,0.4787975250029483,0.25410286258826426,0.22281352833742252,0.006317333232394228,nan,1.0,0.9731486106290017,1.244826985451769,nan,0.001421927899507902,0.289486556050218,450,0.15616863210183818,0.14700043735310442,1.0577307575499115,1.0,1.0,0.00048828125,230400,1.0,1.0,1.0,1.0,0.9264441318922327,1.5756327833364507,1.4217478303497362,2.9398511700812415,0.16780692566104016,450,0,0,0,5120,235520,nan,nan
