step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,vrba_attention_effective_sample_fraction,vrba_multiplier_mean,vrba_multiplier_min,vrba_multiplier_max,vrba_temperature,vrba_local_updates,kde_pairwise_distance_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.03727393799999845,0.49297955600892734,0.011816701288181495,0.476034772183795,0.005216389013131567,nan,1.0,0.9998131874537162,1.000119391350809,nan,0.00030620389709290485,0.00030620389709290485,1,0.033758298525611144,0.0014371489857715716,0.0010467507444953013,1.0,1.0,0.00048828125,512,1.0,1.0,1.0,1.0,0.9999982850499695,1.0079887706231956,1.0063587665892395,1.009,0.10735237110371955,1,0,0,0,1024,1536,nan,nan
50,0.6492515160000494,0.37204554912007326,0.06288229528844987,0.2707117662461202,0.041182525663981534,nan,1.0,0.9903539686921313,0.9970923612884547,nan,0.00033732150089671453,0.013827419347064884,50,0.033758298525611144,0.0014371489857715716,0.0010467507444953013,1.0,1.0,0.00048828125,25600,1.0,1.0,1.0,1.0,0.9949415003126173,1.2450309207898553,1.1056998856778009,1.338428686037209,0.15695137858529873,50,0,0,0,1024,26624,nan,nan
100,1.3148346660000243,0.41273780818922035,0.16620459886331296,0.22953110676652277,0.021304526820767257,nan,1.0,0.9819016226155097,0.9930398045969352,nan,0.00016848004069025535,0.026332322115205975,100,0.10580684091238267,0.09605473786722377,0.7987486406858338,1.0,1.0,0.00048828125,51200,1.0,1.0,1.0,1.0,0.9738490748616933,1.3777112372752967,1.2103723189962945,1.7545219642096057,0.20135395426086108,100,0,0,0,2048,53248,nan,nan
150,2.1276405520000026,0.5059285464329315,0.18439481346021663,0.2962743511067056,0.032633960091625974,nan,1.0,0.9756460454008391,0.995123909895663,nan,0.00021250919211313057,0.03485767432702347,150,0.10580684091238267,0.09605473786722377,0.7987486406858338,1.0,1.0,0.00048828125,76800,1.0,1.0,1.0,1.0,0.9387361513209184,1.5289267919055916,1.273340979038217,2.125772618435411,0.207839765924192,150,0,0,0,2048,78848,nan,nan
200,2.8712995549999505,0.550847016043906,0.2303015309208405,0.3044405248925527,0.024795496100925365,nan,1.0,0.9710618340862639,1.0048159774382788,nan,0.0003732393088344832,0.04913395318421443,200,0.1112679458061183,0.05707257077387399,1.3506436373163448,1.0,1.0,0.00048828125,102400,1.0,1.0,1.0,1.0,0.9109304359759809,1.6807688266422656,1.3409072180825967,2.435669883975322,0.18753211160531152,200,0,0,0,3072,105472,nan,nan
250,3.676365322000038,0.5337562021672215,0.25454506891915796,0.2753515064483659,0.01239759382883365,nan,1.0,0.9678206433541621,1.026026606798833,nan,0.0005964981838646466,0.07358577327687055,250,0.1112679458061183,0.05707257077387399,1.3506436373163448,1.0,1.0,0.00048828125,128000,1.0,1.0,1.0,1.0,0.890417476658003,1.7867022211262684,1.3859372532243115,2.651457649001732,0.17014341086467158,250,0,0,0,3072,131072,nan,nan
300,4.593232030000081,0.547786623246645,0.27862885123431436,0.2737114421232302,0.0045843788403406175,nan,1.0,0.9655755448910593,1.0620189366621329,nan,0.0009391470625945697,0.11182320160327308,300,0.1789198415855406,0.12982264041161692,1.373194959867955,1.0,1.0,0.00048828125,153600,1.0,1.0,1.0,1.0,0.8821518891647498,1.85759720157391,1.435552918022235,2.7592071791329866,0.168902248205932,300,0,0,0,4096,157696,nan,nan
350,5.222936274999938,0.5668881377257101,0.28445534698518204,0.2879299113375565,0.004311187974496057,nan,1.0,0.9641429763909606,1.1196888328941685,nan,0.0013084249916684998,0.1709256663354075,350,0.1789198415855406,0.12982264041161692,1.373194959867955,1.0,1.0,0.00048828125,179200,1.0,1.0,1.0,1.0,0.8726180767139596,1.923373745392922,1.4768183179040864,2.873090843179561,0.16065020193120355,350,0,0,0,4096,183296,nan,nan
400,5.8612850740000795,0.5524110533289649,0.2635312593654632,0.29770605123076077,0.0017822980547562892,nan,1.0,0.963158040365032,1.201716542053484,nan,0.0020496608181664877,0.2539383115206516,400,0.18049984163556052,0.2009763808387207,1.4846794464959066,1.0,1.0,0.00048828125,204800,1.0,1.0,1.0,1.0,0.8622318833139375,1.9828400417373415,1.525554364727636,2.985450231673852,0.14141198521498471,400,0,0,0,5120,209920,nan,nan
450,6.5857735590000175,0.5918908863927297,0.3005775261072285,0.29553963284580853,0.005263186981341749,nan,1.0,0.9625759399572936,1.2984567009571486,nan,0.0019201626829465912,0.35126057083205453,450,0.18049984163556052,0.2009763808387207,1.4846794464959066,1.0,1.0,0.00048828125,230400,1.0,1.0,1.0,1.0,0.8559989250469386,2.0298807738396794,1.5663151580512473,3.1270899014248545,0.14454819379184433,450,0,0,0,5120,235520,nan,nan
