step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,vrba_attention_effective_sample_fraction,vrba_multiplier_mean,vrba_multiplier_min,vrba_multiplier_max,vrba_temperature,vrba_local_updates,kde_pairwise_distance_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.038628774000017074,0.4854385391356174,0.011627349257637847,0.4687529482584078,0.005145246954656584,nan,1.0,0.9998130898143416,1.0001184327025456,nan,0.0003053428882040521,0.0003053428882040521,1,0.03248782463972275,0.0009821453316589592,0.017586458347130095,1.0,1.0,0.00048828125,512,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,1024,1536,nan,nan
50,0.8017824809999183,0.22186649422186394,0.019785940433410202,0.17305829535683234,0.030746957139582098,nan,1.0,0.9904243595567751,0.9978028819047172,nan,0.0003197466996385234,0.013108451926097331,50,0.03248782463972275,0.0009821453316589592,0.017586458347130095,1.0,1.0,0.00048828125,25600,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,1024,26624,nan,nan
100,1.5460528769999655,0.16064123838462843,0.05875145195949749,0.09673486723816904,0.006999299386043514,nan,1.0,0.9814360344241094,0.9930568116887806,nan,0.0002245283309602053,0.026842847274699655,100,0.058983454980638866,0.057442627574387506,0.1352683809746284,1.0,1.0,0.00048828125,51200,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,2048,53248,nan,nan
150,2.33736614999998,0.14691594383506748,0.05545186827107719,0.08631849030435515,0.007448063351994777,nan,1.0,0.9740128501512111,0.9920373193276841,nan,0.00015245760241089368,0.0355043656765448,150,0.058983454980638866,0.057442627574387506,0.1352683809746284,1.0,1.0,0.00048828125,76800,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,2048,78848,nan,nan
200,3.2584303219998674,0.13615421798714858,0.049818619715593926,0.08145548691768088,0.00753818628039839,nan,1.0,0.9678503461063078,0.9947853219704574,nan,0.00020450617252032455,0.04441487236422137,200,0.04786044746992453,0.020286602791987,0.08025676175537617,1.0,1.0,0.00048828125,102400,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,3072,105472,nan,nan
250,3.9451630189998923,0.12075268397800729,0.04375186937921604,0.07523550456923529,0.004562643697046397,nan,1.0,0.962724782418345,1.001553076607316,nan,0.00027433018910860696,0.05630819068904269,250,0.04786044746992453,0.020286602791987,0.08025676175537617,1.0,1.0,0.00048828125,128000,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,3072,131072,nan,nan
300,4.681022871999858,0.10374850254637068,0.03934847251341626,0.06480929653544179,0.0022498734838116846,nan,1.0,0.958503543177145,1.0134301725501107,nan,0.00037224291490178807,0.07240652587303742,300,0.059559748552086456,0.025778508344706984,0.17156037699588617,1.0,1.0,0.00048828125,153600,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,4096,157696,nan,nan
350,5.374364802999935,0.08942556571634919,0.03459486709486682,0.05640111022745606,0.0009350048543355883,nan,1.0,0.9550569804208068,1.0314648002040823,nan,0.0004935614122011378,0.09388771628334724,350,0.059559748552086456,0.025778508344706984,0.17156037699588617,1.0,1.0,0.00048828125,179200,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,4096,183296,nan,nan
400,6.131769233999876,0.08290910302000529,0.03207308328436492,0.052557926973377085,0.0007435026563553549,nan,1.0,0.9522803149146598,1.0573472461077795,nan,0.0006495564232691375,0.12254682769319147,400,0.06281110810175272,0.017618769395264546,0.273906895568711,1.0,1.0,0.00048828125,204800,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,5120,209920,nan,nan
450,6.813445576000049,0.0779375227166855,0.029404289085951572,0.050454003212212155,0.0005529881968135882,nan,1.0,0.9499857539501597,1.0898050859843886,nan,0.0007687081046062749,0.15729922853430067,450,0.06281110810175272,0.017618769395264546,0.273906895568711,1.0,1.0,0.00048828125,230400,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,5120,235520,nan,nan
