step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,vrba_attention_effective_sample_fraction,vrba_multiplier_mean,vrba_multiplier_min,vrba_multiplier_max,vrba_temperature,vrba_local_updates,kde_pairwise_distance_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.03608883600008994,0.5081621715353316,0.010256478514212165,0.49555935953109437,0.0023463334900251055,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.0009743147038465856,0.0029264221950175257,0.003334579028799231,1.0,1.0,0.00048828125,512,1.0,1.0,1.0,1.0,0.9999971003830096,1.007400754175291,1.0055451544297007,1.009,0.11458545564211889,1,0,0,0,1024,1536,nan,nan
50,0.48753416300019126,0.44440705843475525,0.017058002518555812,0.3613169538350216,0.06603210208117781,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.0009743147038465856,0.0029264221950175257,0.003334579028799231,1.0,1.0,0.00048828125,25600,1.0,1.0,1.0,1.0,0.9918101626015228,1.153889558322259,1.0822221703426202,1.3249873852546536,0.07467058130584517,50,0,0,0,1024,26624,nan,nan
100,1.0609685179999815,0.30232375210946716,0.13710324792388684,0.15135894425801974,0.013861559927560567,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.13006376415149745,0.1278163944742289,0.3070652199940126,1.0,1.0,0.00048828125,51200,1.0,1.0,1.0,1.0,0.9902657787115963,1.2256074853840435,1.1349165634046563,1.583218710423628,0.1943106368150097,100,0,0,0,2048,53248,nan,nan
150,1.6121950040001138,0.3484118743396198,0.1573011776124949,0.17169486249384092,0.01941583423328396,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.13006376415149745,0.1278163944742289,0.3070652199940126,1.0,1.0,0.00048828125,76800,1.0,1.0,1.0,1.0,0.9739810584181756,1.2910374338848951,1.1808403365931301,1.9634791023459657,0.14440344018226356,150,0,0,0,2048,78848,nan,nan
200,2.2753033200001482,0.3170030405546234,0.15960350453162742,0.14271488472116559,0.014684651301830443,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.20438843693064013,0.16620078672362013,0.5180683629359981,1.0,1.0,0.00048828125,102400,1.0,1.0,1.0,1.0,0.9643208500862823,1.3456149971669564,1.2246753102512389,2.051142962058636,0.20360464828627783,200,0,0,0,3072,105472,nan,nan
250,2.853481464000197,0.2949295995184309,0.16765234698912618,0.12332718273257609,0.003950069796728638,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.20438843693064013,0.16620078672362013,0.5180683629359981,1.0,1.0,0.00048828125,128000,1.0,1.0,1.0,1.0,0.9652459445543378,1.389752309437449,1.2668137314801182,2.0515620075563175,0.1763799177176983,250,0,0,0,3072,131072,nan,nan
300,3.4792004519999864,0.31430906592650293,0.1849187964387102,0.1271028910329643,0.0022873784548284575,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.22389319971568833,0.17104479228079697,0.5009551085280303,1.0,1.0,0.00048828125,153600,1.0,1.0,1.0,1.0,0.9597067587146932,1.4322877761451327,1.3071947316350365,2.280843663741191,0.16869814500127048,300,0,0,0,4096,157696,nan,nan
350,4.137333995000063,0.3084165783172395,0.17366103568775004,0.1328955261333848,0.0018600164961046686,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.22389319971568833,0.17104479228079697,0.5009551085280303,1.0,1.0,0.00048828125,179200,1.0,1.0,1.0,1.0,0.9524326644244838,1.4690589354140666,1.3437985886412465,2.6575733741620824,0.17298666446825325,350,0,0,0,4096,183296,nan,nan
400,4.716158653000093,0.2908684714913608,0.15557305352286308,0.13335824067680196,0.0019371772916957977,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.2566709556491341,0.24171926229940596,0.362598024964963,1.0,1.0,0.00048828125,204800,1.0,1.0,1.0,1.0,0.9480282869934925,1.502258046880368,1.3785089145707694,2.8342614803954396,0.14384723035135785,400,0,0,0,5120,209920,nan,nan
450,5.3544381280000835,0.2810334142564137,0.15465149577250803,0.12394893487544575,0.0024329836084599184,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.2566709556491341,0.24171926229940596,0.362598024964963,1.0,1.0,0.00048828125,230400,1.0,1.0,1.0,1.0,0.9434685083280328,1.533917581168328,1.4112226464529174,2.8379465437291813,0.1571739626974565,450,0,0,0,5120,235520,nan,nan
500,6.976659530000006,0.27993243030824394,0.14255136594522666,0.13572187519246562,0.0016591891705516624,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.3316845419037116,0.34538381970198995,0.16853976653291028,1.0,1.0,0.00048828125,256000,1.0,1.0,1.0,1.0,0.9347095274233623,1.5654152033982385,1.441339814680671,3.055181076959959,0.1349230573752811,500,0,0,0,6144,262144,0.41367453308761487,1.3825683058811937
550,7.5088231000002,0.28729905345314194,0.14038938800943385,0.14596867693767696,0.000940988506031127,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.3316845419037116,0.34538381970198995,0.16853976653291028,1.0,1.0,0.00048828125,281600,1.0,1.0,1.0,1.0,0.9226053991419452,1.5957106169946775,1.4697152914031808,3.3498259834934005,0.11359306609837679,550,0,0,0,6144,287744,0.41367453308761487,1.3825683058811937
600,8.120938985000066,0.28436311970103856,0.1745614156782978,0.10876295922249957,0.0010387448002411649,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.39689331273263484,0.38502408594156384,0.14377196663575365,1.0,1.0,0.00048828125,307200,1.0,1.0,1.0,1.0,0.9170453541999474,1.6223101219992255,1.4968355635126753,3.507506648767102,0.19243274813363445,600,0,0,0,7168,314368,0.41367453308761487,1.3825683058811937
