step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,vrba_attention_effective_sample_fraction,vrba_multiplier_mean,vrba_multiplier_min,vrba_multiplier_max,vrba_temperature,vrba_local_updates,kde_pairwise_distance_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.030116395000050034,0.5644466889398494,0.09677694615286062,0.3695717219135342,0.09809802087345451,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.009084670494382274,0.0046882828417891195,0.004005929834231399,1.0,1.0,0.00048828125,512,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,1024,1536,nan,nan
50,0.36070958000004794,0.22441328319799203,0.026883336862964964,0.1711795977176918,0.026350348617335265,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.009084670494382274,0.0046882828417891195,0.004005929834231399,1.0,1.0,0.00048828125,25600,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,1024,26624,nan,nan
100,0.7310529659998792,0.17082385861504043,0.062460792708831155,0.10064919854577604,0.007713867360433231,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.01663080153114979,0.013894442636236085,0.0018386844621025565,1.0,1.0,0.00048828125,51200,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,2048,53248,nan,nan
150,1.0884152179999091,0.15802827370520423,0.06179746853190256,0.09246043236400214,0.003770372809299551,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.01663080153114979,0.013894442636236085,0.0018386844621025565,1.0,1.0,0.00048828125,76800,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,2048,78848,nan,nan
200,1.4840724460000274,0.14619657474510322,0.06272964109550219,0.07844248995495764,0.005024443694643397,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.028567269664621427,0.027573833461914762,0.05331258989735156,1.0,1.0,0.00048828125,102400,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,3072,105472,nan,nan
250,1.8438816599998518,0.12832764017611947,0.0549210914399796,0.06907820004581194,0.004328348690327923,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.028567269664621427,0.027573833461914762,0.05331258989735156,1.0,1.0,0.00048828125,128000,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,3072,131072,nan,nan
300,2.303963997999972,0.11977602357025326,0.0519754174285726,0.06357486743556211,0.004225738706118548,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.05257562219468506,0.05179697150188106,0.14056785002778197,1.0,1.0,0.00048828125,153600,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,4096,157696,nan,nan
350,2.675359495999828,0.11353664424081153,0.04933507832124745,0.060698872883260445,0.0035026930363036344,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.05257562219468506,0.05179697150188106,0.14056785002778197,1.0,1.0,0.00048828125,179200,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,4096,183296,nan,nan
400,3.1176565749999554,0.10803428849430591,0.04568640893361067,0.05997738755316796,0.0023704920075272706,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.04408983160875534,0.05672856872173264,0.12118348978989744,1.0,1.0,0.00048828125,204800,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,5120,209920,nan,nan
450,3.705157409999856,0.10355171583389526,0.043759406241807366,0.05795647793388986,0.0018358316581980351,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.04408983160875534,0.05672856872173264,0.12118348978989744,1.0,1.0,0.00048828125,230400,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,5120,235520,nan,nan
500,4.973335763000023,0.09947710480254816,0.0471924690618831,0.05016688555620817,0.0021177501844569005,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.05506120855351504,0.06727151819573421,0.13838298049272574,1.0,1.0,0.00048828125,256000,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,6144,262144,0.4500970068379183,0.9463960483122131
550,5.418832534999865,0.09517104768385694,0.04562485515960939,0.047809484955845194,0.0017367075684023505,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.05506120855351504,0.06727151819573421,0.13838298049272574,1.0,1.0,0.00048828125,281600,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,6144,287744,0.4500970068379183,0.9463960483122131
