step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,vrba_attention_effective_sample_fraction,vrba_multiplier_mean,vrba_multiplier_min,vrba_multiplier_max,vrba_temperature,vrba_local_updates,kde_pairwise_distance_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.049381103999849074,90.4370938847771,90.42299337561336,nan,0.013738320651874636,nan,1.0,nan,1.026363375920644,nan,0.026363375920644083,0.026363375920644083,1,0.003079620653391119,6.372447299233222e-05,0.0021901670855028967,1.0,1.0,0.00048828125,512,1.0,1.0,1.0,1.0,0.9999907990306399,1.0054070270159863,1.003667856627704,1.009,17.00166904720665,1,0,0,0,1024,1536,nan,nan
50,1.1313065079998523,20.083567377942835,13.276365114363234,nan,4.775975562896766,nan,1.0,nan,1.4253008990378584,nan,0.0016737865218421355,0.4253008990378584,50,0.06792450084415216,0.05964249740599874,0.11586123062462146,1.0,1.0,0.00048828125,25600,1.0,1.0,1.0,1.0,0.9839417708114676,1.1358238279423767,1.076948442670174,1.3759385781820872,2.581620775969919,50,0,0,0,3072,28672,nan,nan
100,2.2096916089999468,8.473157103270577,7.792237384487224,nan,0.462383157760491,nan,1.0,nan,1.4726308849165746,nan,0.0006467171123947235,0.47263088491657457,100,0.18921653110680647,0.02056746430239505,0.09180252599789741,1.0,1.0,0.00048828125,51200,1.0,1.0,1.0,1.0,0.9822774532534216,1.208946288811493,1.130201376018115,1.4892593058869044,1.463340343331615,100,0,0,0,5120,56320,nan,nan
150,3.220706949000032,3.1973579583622893,2.648779046147213,nan,0.3656047415528154,nan,1.0,nan,1.5004699060661078,nan,0.0004211690246949118,0.5004699060661078,150,0.10942688079108362,0.020513193862862718,0.40096709671416975,1.0,1.0,0.00048828125,76800,1.0,1.0,1.0,1.0,0.9792648492256321,1.263446010889265,1.17808100513796,1.7921453724949108,0.770705160577344,150,0,0,0,7168,83968,nan,nan
200,4.303454600999885,0.8823302105824602,0.7690947826204755,nan,0.0746048247895879,nan,1.0,nan,1.5178030145013923,nan,0.00029553378136215613,0.5178030145013923,200,0.23784223797626478,0.010117948419952158,0.24342777613944494,1.0,1.0,0.00048828125,102400,1.0,1.0,1.0,1.0,0.9716036865011286,1.3156826441294731,1.2217526201258824,1.9302609522513159,0.36403219096563766,200,0,0,0,9216,111616,nan,nan
250,5.338700625999991,0.4123700187923906,0.37152333316674,nan,0.02666816631445162,nan,1.0,nan,1.531664575059873,nan,0.00026569007468402184,0.531664575059873,250,0.2291051940594503,0.02365138252746605,0.9280330435037625,1.0,1.0,0.00048828125,128000,1.0,1.0,1.0,1.0,0.9642156078625638,1.3671918186033407,1.2622351735453978,2.050044562439703,0.23420228454542286,250,0,0,0,11264,139264,nan,nan
300,6.38876340999991,0.16797813461357997,0.13277217189944607,nan,0.022792017927584562,nan,1.0,nan,1.5446619437555402,nan,0.0002555596646336422,0.5446619437555402,300,0.19150512735260833,0.0544801597949017,1.3210071588129337,1.0,1.0,0.00048828125,153600,1.0,1.0,1.0,1.0,0.9622257983850424,1.4081455248633779,1.2999084885097414,2.125567691469058,0.18074668303654629,300,0,0,0,13312,166912,nan,nan
350,7.495745924999937,0.10489107751821207,0.06627077838530405,nan,0.02480022255593275,nan,1.0,nan,1.5572561514642216,nan,0.0002544561272248558,0.5572561514642216,350,0.0856032796371674,0.08284728739715017,1.139127410434289,1.0,1.0,0.00048828125,179200,1.0,1.0,1.0,1.0,0.9613899751767117,1.4431793526561019,1.3358787076715821,2.3763415385470794,0.11512763846422616,350,0,0,0,15360,194560,nan,nan
400,8.69316438099986,0.08613995604098144,0.042817190541657474,nan,0.02710714697214233,nan,1.0,nan,1.5982045452384281,nan,0.0010931112344694238,0.5982045452384281,400,0.06034773528548025,0.08251588362520151,0.4871979044405355,1.0,1.0,0.00048828125,204800,1.0,1.0,1.0,1.0,0.9599697625316808,1.4805388651719904,1.3711801325904485,2.5742857397235444,0.0851125677143551,400,0,0,0,17408,222208,nan,nan
450,9.887882446000049,0.08067971493938145,0.03327666022883207,nan,0.028661161598273116,nan,1.0,nan,1.65391254461248,nan,0.0010838176583101156,0.65391254461248,450,0.03355274818769789,0.0772759252811765,0.5436949213481138,1.0,1.0,0.00048828125,230400,1.0,1.0,1.0,1.0,0.9595323765050718,1.5125141902258061,1.4032428686108882,2.6001153758448625,0.06922019997536034,450,0,0,0,19456,249856,nan,nan
500,11.102375359000007,0.07928569148228545,0.029457386095191128,nan,0.02923356534151267,nan,1.0,nan,1.7044895073518935,nan,0.0009350995363279768,0.7044895073518935,500,0.1152038139125183,0.06125890203798651,0.8006780450358719,1.0,1.0,0.00048828125,256000,1.0,1.0,1.0,1.0,0.9565306965830969,1.5435288822762316,1.433360441289921,2.685195959000927,0.05867065099243452,500,0,0,0,21504,277504,0.13613606246717141,0.3363120098354342
550,12.072960966999972,0.20500001283149782,0.14835212196028633,nan,0.03223117234708635,nan,1.0,nan,1.7575498111328356,nan,0.0023255278832092774,0.7575498111328356,550,0.003952910791409737,0.041094351630365705,0.9705650362993135,1.0,1.0,0.00048828125,281600,1.0,1.0,1.0,1.0,0.9519297013366168,1.574878830232379,1.4630026362270814,2.8491091091929506,0.10664354090672862,550,0,0,0,23552,305152,0.13613606246717141,0.3363120098354342
600,13.071809725999856,0.08064009701939179,0.02565798156032342,nan,0.028763021363281394,nan,1.0,nan,1.9115556312612563,nan,0.0032443689547201338,0.9115556312612563,600,0.05974045847747825,0.03495276752999532,0.5296359089934455,1.0,1.0,0.00048828125,307200,1.0,1.0,1.0,1.0,0.9458449332102302,1.6045056615792477,1.4918182641739255,3.0774112413130084,0.0489611402265105,600,0,0,0,25600,332800,0.13613606246717141,0.3363120098354342
650,14.018222581999908,0.07995865368215507,0.022064238527606424,nan,0.028115433876896627,nan,1.0,nan,2.0591684769311844,nan,0.002606699385856004,1.0591684769311844,650,0.12656448595928524,0.02365349072133721,0.5677554836176184,1.0,1.0,0.00048828125,332800,1.0,1.0,1.0,1.0,0.9347765140392605,1.6311300984141124,1.5176453443763989,3.40071370957455,0.0427178286892195,650,0,0,0,27648,360448,0.13613606246717141,0.3363120098354342
700,14.964771709999923,0.1420153640989843,0.07763583004594361,nan,0.02963252058667616,nan,1.0,nan,2.172597294405931,nan,0.0024554254181978763,1.1725972944059309,700,0.007134106040815028,0.003098322888580904,1.0262300850704746,1.0,1.0,0.00048828125,358400,1.0,1.0,1.0,1.0,0.9221282285357767,1.6569995475475372,1.5419898286747993,3.696184112498069,0.06778732057441915,700,0,0,0,29696,388096,0.13613606246717141,0.3363120098354342
750,15.88559575499994,0.08168789120312372,0.017716033218432695,nan,0.026805199859397034,nan,1.0,nan,2.386546577538931,nan,0.004573502633791637,1.386546577538931,750,0.004486894520869124,0.00572615915839797,1.0336875896942925,1.0,1.0,0.00048828125,384000,1.0,1.0,1.0,1.0,0.919322594161399,1.6848841819427047,1.5652048872842148,3.8084277166266536,0.03455926508295675,750,0,0,0,31744,415744,0.13613606246717141,0.3363120098354342
800,16.83521189699991,0.08317251836754727,0.014581487541342815,nan,0.026476509002852727,nan,1.0,nan,2.5906372633497146,nan,0.003494125755862054,1.5906372633497146,800,0.18681819087815196,0.026886100888667608,0.3615696026761041,1.0,1.0,0.00048828125,409600,1.0,1.0,1.0,1.0,0.9083652034677981,1.707693270850347,1.5874629302725425,4.110840577176939,0.031525928964756415,800,0,0,0,33792,443392,0.13613606246717141,0.3363120098354342
850,17.946502810999846,0.09312806127116749,0.021520565363622117,nan,0.026077258650342355,nan,1.0,nan,2.7459748307019716,nan,0.0040769801522615445,1.7459748307019716,850,0.00972669725973699,0.014609306951060469,1.1804043345889974,1.0,1.0,0.00048828125,435200,1.0,1.0,1.0,1.0,0.9021469169827709,1.7322209017573413,1.6093928333607717,4.310389805612903,0.03159636263066929,850,0,0,0,35840,471040,0.13613606246717141,0.3363120098354342
900,19.005146809000053,0.09194048955043788,0.013971531586440662,nan,0.026145157998250058,nan,1.0,nan,2.98215669491138,nan,0.004607838490107596,1.9821566949113798,900,0.0197955906120122,0.053437647409010997,1.2389436809491987,1.0,1.0,0.00048828125,460800,1.0,1.0,1.0,1.0,0.9039094478393045,1.7580556369111615,1.6300771758098977,4.33754085046389,0.028835800915203505,900,0,0,0,37888,498688,0.13613606246717141,0.3363120098354342
950,19.996194539000044,0.09401444538478299,0.013263673430225614,nan,0.025401499216662946,nan,1.0,nan,3.178976613379822,nan,0.0032462715970695832,2.178976613379822,950,0.1394889230299851,0.08240872044387318,0.3272724359866865,1.0,1.0,0.00048828125,486400,1.0,1.0,1.0,1.0,0.901399188491225,1.7785518870989403,1.6490276349511659,4.378170782496183,0.0278707341396754,950,0,0,0,39936,526336,0.13613606246717141,0.3363120098354342
1000,20.975636626999858,0.13540745328934095,0.05210478294864883,nan,0.024906320637554394,nan,1.0,nan,3.344639762449946,nan,0.004558973318231185,2.344639762449946,1000,0.01272468209568935,0.032832817120704794,1.4338640523662833,1.0,1.0,0.00048828125,512000,1.0,1.0,1.0,1.0,0.9054919011825927,1.802734627453023,1.6672675813337332,4.310571132378273,0.04276080040739883,1000,0,0,0,41984,553984,0.1017140933670933,0.15853441295575083
