step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,vrba_attention_effective_sample_fraction,vrba_multiplier_mean,vrba_multiplier_min,vrba_multiplier_max,vrba_temperature,vrba_local_updates,kde_pairwise_distance_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.08314982499996404,83.06763738196983,83.02835727335554,nan,0.039005178003016575,nan,1.0,nan,1.0070485670198583,nan,0.007048567019858343,0.007048567019858343,1,0.009037927214802278,0.0001795814002251556,0.04370421889980473,1.0,1.0,0.00048828125,512,1.0,1.0,1.0,1.0,0.999978676826514,1.0041331351931737,1.00100114927839,1.009,7.27731576629186,1,0,0,0,1024,1536,nan,nan
50,1.1350870080000277,33.828610959703184,28.911607802186634,nan,4.30977930590188,nan,1.0,nan,1.140894419067614,nan,0.0005474420725288809,0.14089441906761402,50,0.16636442844796925,0.00692445383952367,0.7190533536181827,1.0,1.0,0.00048828125,25600,1.0,1.0,1.0,1.0,0.9680713186546956,1.1878595549620508,1.0737332828088468,1.4380009094373514,3.430878104726854,50,0,0,0,3072,28672,nan,nan
100,2.1509579349999512,16.044743886840696,13.329233735844078,nan,2.3411936276159335,nan,1.0,nan,1.159882770466044,nan,0.0002896331904356231,0.15988277046604393,100,0.05062642270535611,0.012339209105584961,0.6539095343388611,1.0,1.0,0.00048828125,51200,1.0,1.0,1.0,1.0,0.965227598228675,1.3375988502230374,1.1418542664614653,1.6751781256119227,2.0972110828269424,100,0,0,0,5120,56320,nan,nan
150,3.3285505169999396,2.9371144987747524,2.237016842000979,nan,0.5967854089214251,nan,1.0,nan,1.1731145673267473,nan,0.00024943202804594833,0.17311456732674735,150,0.0789548845673422,0.038307477838300574,0.6393447506707017,1.0,1.0,0.00048828125,76800,1.0,1.0,1.0,1.0,0.9581395248008137,1.4603254419462368,1.2321797883597472,1.8233170796698746,0.7644231644301631,150,0,0,0,7168,83968,nan,nan
200,4.317142704999924,0.5548542984289937,0.44829384873071404,nan,0.08999773198119854,nan,1.0,nan,1.1840348345727336,nan,0.0002013659616038055,0.18403483457273362,200,0.25028749330962313,0.059292039134873534,0.07030549161519861,1.0,1.0,0.00048828125,102400,1.0,1.0,1.0,1.0,0.9551904292586773,1.5821247606316482,1.3013741221604154,2.1876904798794143,0.3227446130320727,200,0,0,0,9216,111616,nan,nan
250,5.472383706000073,0.31376115838561536,0.21896664597596277,nan,0.07934658262842616,nan,1.0,nan,1.1946892893115246,nan,0.0003279981043409208,0.19468928931152463,250,0.05009394115793863,0.09711000211445979,1.3347778020976124,1.0,1.0,0.00048828125,128000,1.0,1.0,1.0,1.0,0.9529859879199,1.700674568269045,1.4041600385155708,2.5323415850777184,0.20069383922382705,250,0,0,0,11264,139264,nan,nan
300,6.758259861999704,0.21937772105651415,0.1231086245105216,nan,0.07913560207449263,nan,1.0,nan,1.216508044702455,nan,0.00047930117121142146,0.216508044702455,300,0.08989265588246535,0.11623454213747131,1.3387173740279157,1.0,1.0,0.00048828125,153600,1.0,1.0,1.0,1.0,0.947669336273753,1.8200235752050997,1.4697113146924832,2.8646586465236084,0.15106033086083143,300,0,0,0,13312,166912,nan,nan
350,8.113605809000092,0.21020730404409882,0.10409737817458736,nan,0.08557659561838428,nan,1.0,nan,1.2399409570192816,nan,0.00047925909111778964,0.23994095701928164,350,0.011071959533930413,0.13491762826231593,1.1303720265527375,1.0,1.0,0.00048828125,179200,1.0,1.0,1.0,1.0,0.9391525627692053,1.9453349208811677,1.5418025741479198,3.2118911978761955,0.12654608443215018,350,0,0,0,15360,194560,nan,nan
400,9.26301111399971,0.19009563661029466,0.07537767020435923,nan,0.08918949578482444,nan,1.0,nan,1.2862273230325254,nan,0.001089574787773051,0.2862273230325254,400,0.15238261858139723,0.13432381103358138,0.6350385772903154,1.0,1.0,0.00048828125,204800,1.0,1.0,1.0,1.0,0.9348545806469863,2.0569624065478083,1.5983797964304791,3.4787267989945123,0.10202639321962241,400,0,0,0,17408,222208,nan,nan
450,10.478664281999954,0.23367655530192635,0.10703974472050823,nan,0.09426747983631002,nan,1.0,nan,1.3433774913821346,nan,0.0015199304192248242,0.3433774913821346,450,0.03560737289732789,0.11446337773306159,1.5538548145648197,1.0,1.0,0.00048828125,230400,1.0,1.0,1.0,1.0,0.9310638965864205,2.152892605645695,1.662404844265402,3.706964981170363,0.11273356198317724,450,0,0,0,19456,249856,nan,nan
