step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,vrba_attention_effective_sample_fraction,vrba_multiplier_mean,vrba_multiplier_min,vrba_multiplier_max,vrba_temperature,vrba_local_updates,kde_pairwise_distance_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.04988626399995155,96.17619525486307,96.15717876947068,nan,0.01856919329151344,nan,1.0,nan,1.0240878585229107,nan,0.024087858522910732,0.024087858522910732,1,0.00298650937957636,8.074970806507448e-05,0.05992413682448862,1.0,1.0,0.00048828125,512,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,1024,1536,nan,nan
50,0.9538915329999327,17.914466488279913,13.685570746922988,nan,3.227262150759712,nan,1.0,nan,1.3103663550732703,nan,0.0011452877739888123,0.31036635507327026,50,0.00569731642864299,0.0005938805015124199,0.12458505827795475,1.0,1.0,0.00048828125,25600,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,3072,28672,nan,nan
100,1.9715719690000242,7.485604803673141,5.756551141793091,nan,1.2825630013081581,nan,1.0,nan,1.3481237647713917,nan,0.0005553714010095856,0.34812376477139173,100,0.10149583709367602,0.0010009924852545926,0.33201356750734334,1.0,1.0,0.00048828125,51200,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,5120,56320,nan,nan
150,2.909290300000066,3.494096827411356,3.0929262304501774,nan,0.2925384821290663,nan,1.0,nan,1.3713429906434829,nan,0.00040037737712417254,0.37134299064348286,150,0.09604223534705175,0.006717570883569897,0.32329569745409475,1.0,1.0,0.00048828125,76800,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,7168,83968,nan,nan
200,3.8702695970000605,1.0419091650540508,0.8681907380034419,nan,0.1250798413232535,nan,1.0,nan,1.388860308845892,nan,0.0003038557149408483,0.38886030884589196,200,0.020702865389749997,0.010720327205799074,0.2523620326288844,1.0,1.0,0.00048828125,102400,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,9216,111616,nan,nan
250,4.781617946000097,0.4801622989851962,0.40556872127820254,nan,0.053180768208045376,nan,1.0,nan,1.4026419741659333,nan,0.0002526103851647754,0.4026419741659333,250,0.10502886757430605,0.013227335400439237,0.6274868910622654,1.0,1.0,0.00048828125,128000,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,11264,139264,nan,nan
300,5.672759116999941,0.2636227653504289,0.2169928923700084,nan,0.032968905547634986,nan,1.0,nan,1.4143591425274191,nan,0.00021853941377014685,0.4143591425274191,300,0.15912478191842447,0.006390741451495277,1.0055937904435865,1.0,1.0,0.00048828125,153600,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,13312,166912,nan,nan
350,6.562473640000007,0.16148891685069316,0.12797705546672827,nan,0.023524753370789915,nan,1.0,nan,1.4245361409644246,nan,0.00018986744025140112,0.4245361409644246,350,0.16340189680766215,0.0034828846137967967,1.058253456629272,1.0,1.0,0.00048828125,179200,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,15360,194560,nan,nan
400,7.446545530000094,0.10453905470529794,0.07929492618817072,nan,0.017611329556469407,nan,1.0,nan,1.433402767019027,nan,0.00016600175190650823,0.433402767019027,400,0.17915229724982296,0.007041641169972607,1.203342353295731,1.0,1.0,0.00048828125,204800,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,17408,222208,nan,nan
450,8.476698497999905,0.07895652451103315,0.05693012689683658,nan,0.015283447404158768,nan,1.0,nan,1.4411930130503785,nan,0.00014673685885790988,0.4411930130503785,450,0.20404817277978465,0.02274036045219692,1.4907117656342228,1.0,1.0,0.00048828125,230400,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,19456,249856,nan,nan
