step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,vrba_attention_effective_sample_fraction,vrba_multiplier_mean,vrba_multiplier_min,vrba_multiplier_max,vrba_temperature,vrba_local_updates,kde_pairwise_distance_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.056640861000005316,90.43673169626523,90.42299337561336,nan,0.013738320651874636,nan,1.0,nan,1.0,nan,0.0,0.0,0,0.0030796208219981552,6.372447656265773e-05,0.0021901670910757657,1.0,1.0,0.00048828125,512,1.0,1.0,1.0,1.0,0.9999907990306399,1.0054070270159863,1.003667856627704,1.009,17.00166904720665,1,0,0,0,1024,1536,nan,nan
50,0.7711352799999531,19.35591190013008,13.770163579544585,nan,5.585748320585495,nan,1.0,nan,1.0,nan,0.0,0.0,0,0.05953928737585275,0.0638960983785468,0.15822758829965292,1.0,1.0,0.00048828125,25600,1.0,1.0,1.0,1.0,0.9838132478432341,1.135977318697938,1.0776734581296241,1.376993546814603,2.632062440498097,50,0,0,0,3072,28672,nan,nan
100,1.5970916720000332,10.347037441307425,8.678218580535463,nan,1.668818860771963,nan,1.0,nan,1.0,nan,0.0,0.0,0,0.25107745959250877,0.0562574477553577,0.1701475859947362,1.0,1.0,0.00048828125,51200,1.0,1.0,1.0,1.0,0.9810998872827762,1.2111439655496368,1.130164641111121,1.5294160186272132,1.3470310666346335,100,0,0,0,5120,56320,nan,nan
150,2.2510525160000725,3.8433085881880995,2.863048791651288,nan,0.9802597965368116,nan,1.0,nan,1.0,nan,0.0,0.0,0,0.13848462667976214,0.04452530027072979,0.3928019032764295,1.0,1.0,0.00048828125,76800,1.0,1.0,1.0,1.0,0.9705219329956432,1.2758440688541821,1.1782109463438433,1.833608693640863,0.7353138989840512,150,0,0,0,7168,83968,nan,nan
200,2.8727707979999195,0.9567460732604671,0.8041958648748623,nan,0.1525502083856049,nan,1.0,nan,1.0,nan,0.0,0.0,0,0.2872594144882951,0.030958519011418745,0.30126758228080963,1.0,1.0,0.00048828125,102400,1.0,1.0,1.0,1.0,0.9610802448576827,1.3271698156804594,1.2220623879162698,2.085877394975351,0.3516661821262164,200,0,0,0,9216,111616,nan,nan
250,3.4744174390000353,0.2738023159519557,0.2387637135723547,nan,0.03503860237960098,nan,1.0,nan,1.0,nan,0.0,0.0,0,0.3248440578444515,0.009601321886008263,0.9378803858404169,1.0,1.0,0.00048828125,128000,1.0,1.0,1.0,1.0,0.9528944437890307,1.3775362681996692,1.2627341700719128,2.231679739951961,0.2073857648719734,250,0,0,0,11264,139264,nan,nan
300,4.09872395299999,0.1270805924455518,0.10284612639834666,nan,0.024234466047205153,nan,1.0,nan,1.0,nan,0.0,0.0,0,0.35567764805162266,0.014587963664776715,0.9612298364507769,1.0,1.0,0.00048828125,153600,1.0,1.0,1.0,1.0,0.9514665544419806,1.4181349219180663,1.300698650318211,2.478364943034934,0.12773283050711165,300,0,0,0,13312,166912,nan,nan
350,4.669683882000072,0.08952028624146896,0.06523267036060729,nan,0.024287615880861667,nan,1.0,nan,1.0,nan,0.0,0.0,0,0.31171090971373994,0.053238725163708506,0.9910768137412452,1.0,1.0,0.00048828125,179200,1.0,1.0,1.0,1.0,0.9475626662665211,1.4583154751295728,1.3362593039559167,2.7463571924450885,0.09025550916617085,350,0,0,0,15360,194560,nan,nan
400,5.264721860999998,0.07814099688386925,0.05258704974517192,nan,0.02555394713869732,nan,1.0,nan,1.0,nan,0.0,0.0,0,0.30633206554345627,0.0699464887147308,1.199285909701533,1.0,1.0,0.00048828125,204800,1.0,1.0,1.0,1.0,0.9471384460252956,1.4936458236487926,1.3703928150712565,2.7981965641172493,0.08033499052352112,400,0,0,0,17408,222208,nan,nan
450,5.773166640999989,0.07696880235551486,0.049873056780025724,nan,0.027095745575489133,nan,1.0,nan,1.0,nan,0.0,0.0,0,0.02378214376363884,0.07354157524818,0.0022117378451331654,1.0,1.0,0.00048828125,230400,1.0,1.0,1.0,1.0,0.9441063270520613,1.5308537059082152,1.403577988739769,2.8498903948586,0.07004725331945444,450,0,0,0,19456,249856,nan,nan
