step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,vrba_attention_effective_sample_fraction,vrba_multiplier_mean,vrba_multiplier_min,vrba_multiplier_max,vrba_temperature,vrba_local_updates,kde_pairwise_distance_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.043561256000202775,96.17574796276219,96.15717876947068,nan,0.01856919329151344,nan,1.0,nan,1.0,nan,0.0,0.0,0,0.0029863428998496405,8.077967171288568e-05,0.05992427781732256,1.0,1.0,0.00048828125,512,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,1024,1536,nan,nan
50,0.6321533710001859,18.313196441388442,14.094835050152613,nan,4.218361391235828,nan,1.0,nan,1.0,nan,0.0,0.0,0,0.029631978293871375,0.0042557649869276876,0.1617992365318274,1.0,1.0,0.00048828125,25600,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,3072,28672,nan,nan
100,1.178633839000213,7.429553640676977,5.689984253072424,nan,1.7395693876045528,nan,1.0,nan,1.0,nan,0.0,0.0,0,0.01346496593043503,0.0010845802110321379,0.09810147298502438,1.0,1.0,0.00048828125,51200,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,5120,56320,nan,nan
150,1.6972218740002063,4.362946534714685,3.5642969340766175,nan,0.7986496006380674,nan,1.0,nan,1.0,nan,0.0,0.0,0,0.05897776201926083,0.0013522251319001005,0.36654994694306514,1.0,1.0,0.00048828125,76800,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,7168,83968,nan,nan
200,2.2790487890001714,1.3301027746958038,1.2131430094112048,nan,0.11695976528459902,nan,1.0,nan,1.0,nan,0.0,0.0,0,0.009910697207230312,0.002229745612582386,0.04326897086158495,1.0,1.0,0.00048828125,102400,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,9216,111616,nan,nan
250,2.8661209350000263,0.5397297095248279,0.44601556426705014,nan,0.09371414525777783,nan,1.0,nan,1.0,nan,0.0,0.0,0,0.1006377557277987,0.020117154296416848,0.5810085011897193,1.0,1.0,0.00048828125,128000,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,11264,139264,nan,nan
300,3.4703562070001226,0.32742463351988843,0.27350073485749976,nan,0.05392389866238869,nan,1.0,nan,1.0,nan,0.0,0.0,0,0.19252839575164918,0.009288046790543292,1.0453905483653343,1.0,1.0,0.00048828125,153600,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,13312,166912,nan,nan
350,4.060264667000183,0.21947461426058146,0.1810729882065714,nan,0.038401626054010055,nan,1.0,nan,1.0,nan,0.0,0.0,0,0.20372427138100943,0.006458624928490739,1.123514173099722,1.0,1.0,0.00048828125,179200,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,15360,194560,nan,nan
400,4.721908469000027,0.1344642279050004,0.1071861612445393,nan,0.027278066660461092,nan,1.0,nan,1.0,nan,0.0,0.0,0,0.1840798691828177,0.004920289375560993,1.0718289367137637,1.0,1.0,0.00048828125,204800,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,17408,222208,nan,nan
450,5.311326705000056,0.0828744994402302,0.06318019810795134,nan,0.01969430133227886,nan,1.0,nan,1.0,nan,0.0,0.0,0,0.179307956400674,0.006582492143016039,1.1173374374650653,1.0,1.0,0.00048828125,230400,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,19456,249856,nan,nan
500,6.015815068000165,0.05970303160332452,0.04328874482768072,nan,0.0164142867756438,nan,1.0,nan,1.0,nan,0.0,0.0,0,0.21214906368596864,0.03182577296696354,1.3935787557850978,1.0,1.0,0.00048828125,256000,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,21504,277504,0.16436424616723913,0.36323007008091146
550,6.563196139000183,0.04517694913077984,0.03012007319378507,nan,0.015056875936994773,nan,1.0,nan,1.0,nan,0.0,0.0,0,0.23651978833705467,0.0651500791050216,1.6532347321800618,1.0,1.0,0.00048828125,281600,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,23552,305152,0.16436424616723913,0.36323007008091146
600,7.371259717000157,0.03618102578013653,0.021951460472645484,nan,0.014229565307491044,nan,1.0,nan,1.0,nan,0.0,0.0,0,0.2591776931674542,0.10058773097282608,1.8980670553637666,1.0,1.0,0.00048828125,307200,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,25600,332800,0.16436424616723913,0.36323007008091146
650,8.000050295000165,0.03127501677565049,0.017612610802951383,nan,0.013662405972699111,nan,1.0,nan,1.0,nan,0.0,0.0,0,0.27411847947360246,0.12570611808448415,2.0760099569615797,1.0,1.0,0.00048828125,332800,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,27648,360448,0.16436424616723913,0.36323007008091146
700,8.642840380000052,0.028267700864912305,0.015070187058222297,nan,0.013197513806690007,nan,1.0,nan,1.0,nan,0.0,0.0,0,0.2766474184908834,0.14045365909451013,2.1482298611052886,1.0,1.0,0.00048828125,358400,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,29696,388096,0.16436424616723913,0.36323007008091146
750,9.427059758000041,0.025965469207647945,0.01318246088266882,nan,0.012783008324979125,nan,1.0,nan,1.0,nan,0.0,0.0,0,0.27348692845151457,0.15037064857219554,2.161192440491087,1.0,1.0,0.00048828125,384000,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,31744,415744,0.16436424616723913,0.36323007008091146
