step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,vrba_attention_effective_sample_fraction,vrba_multiplier_mean,vrba_multiplier_min,vrba_multiplier_max,vrba_temperature,vrba_local_updates,kde_pairwise_distance_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.03855461600005583,0.6559736292193412,0.0017700780923798924,0.630493944818793,0.02386887386022693,nan,1.0,0.9997558789047013,0.9997758302422848,nan,0.0004682908530139196,0.0004682908530139196,1,0.006728843856547279,0.0016543665380370394,0.006690768896448594,1.0,1.0,0.0009765625,256,1.0,1.0,1.0,1.0,0.9999953961629078,1.0057563901343167,1.0036882076016134,1.009,0.06985559990425759,1,0,0,0,512,768,nan,nan
25,0.3961039900000287,0.39898009812386087,0.0006263365536106342,0.3375639438893593,0.06318713466364942,nan,1.0,0.9939425476616017,0.994420707896259,nan,0.00046601649018118696,0.011636744442139246,25,0.039277586030705386,0.03563433131742062,0.08382660882823754,1.0,1.0,0.0009765625,6400,1.0,1.0,1.0,1.0,0.9975549788393432,1.1084302545608131,1.0500109649252416,1.1773705197325328,0.011061708500913365,25,0,0,0,1024,7424,nan,nan
50,0.7659372430000531,0.43924637757796814,0.001823432565161745,0.3119019551299097,0.13075898971144445,nan,1.0,0.9879322675957449,0.9887269662993807,nan,0.0004695801935693522,0.023340766104874344,50,0.06449815928259088,0.08480000743195648,0.2458011519015421,1.0,1.0,0.0009765625,12800,1.0,1.0,1.0,1.0,0.9816214761209364,1.1940946697305612,1.0833888512795116,1.3433333607970814,0.014102913359223033,50,0,0,0,1536,14336,nan,nan
75,1.120445416999928,0.4977086627627624,0.0014209904638498249,0.34103612868163846,0.16421073773497394,nan,1.0,0.9819496728189065,0.9829281540714635,nan,0.0004722563373911193,0.03512217310962995,75,0.062057172533973096,0.07930668545984906,0.6324253992073287,1.0,1.0,0.0009765625,19200,1.0,1.0,1.0,1.0,0.9821521492352777,1.2366293426106605,1.1171461438774435,1.4633372564763973,0.01704566173781489,75,0,0,0,2048,21248,nan,nan
100,1.477761621999889,0.5318882875023364,0.0029312830491416042,0.36164096429664755,0.18013096243817517,nan,1.0,0.9759868619010463,0.9770678632489321,nan,0.0004733604085470633,0.046945274850021534,100,0.06251098583379816,0.07652502517149973,0.7510972826926339,1.0,1.0,0.0009765625,25600,1.0,1.0,1.0,1.0,0.9787625513602691,1.274471817136037,1.145266246997064,1.569795296249184,0.020038024823371456,100,0,0,0,2560,28160,nan,nan
125,1.842889987000035,0.5061926984306135,0.020513018893176957,0.322418587946694,0.1780442108079866,nan,1.0,0.9700547910783995,0.9711968885834578,nan,0.00047010154658222447,0.0587483203381427,125,0.07200213701854465,0.08298676681402667,0.4530029802275709,1.0,1.0,0.0009765625,32000,1.0,1.0,1.0,1.0,0.9763245900054132,1.3129790817171252,1.1686140903994335,1.6172775187021322,0.062210114017710386,125,0,0,0,3072,35072,nan,nan
150,2.209706654999991,0.4231382006829669,0.0326948955377907,0.24715596848861024,0.15758597725698037,nan,1.0,0.964206532597339,0.9654025593276402,nan,0.00046141720460024516,0.0703909080750208,150,0.08357117144576508,0.07624531248921435,0.3139570755079317,1.0,1.0,0.0009765625,38400,1.0,1.0,1.0,1.0,0.9772322150681703,1.3387792034469843,1.1946849025561672,1.6286900335118926,0.09053508807638369,150,0,0,0,3584,41984,nan,nan
175,2.5740991850000228,0.28112113352470436,0.029716763732014817,0.14487153556990284,0.11727010926218698,nan,1.0,0.958479232758859,0.9597331514326618,nan,0.0004502647943284144,0.08178761580847915,175,0.14142975187151963,0.11140100313034093,0.20796365916501922,1.0,1.0,0.0009765625,44800,1.0,1.0,1.0,1.0,0.9781429075057092,1.3605451130733122,1.2200984574559985,1.6590383864709366,0.11307255343206674,175,0,0,0,4096,48896,nan,nan
200,2.8613081849998707,0.15784951367833694,0.020819370677412123,0.056760540158141796,0.08692148898056959,nan,1.0,0.9529048888071112,0.9542260235721474,nan,0.0004355007403822331,0.09286908762074142,200,0.29463119106436386,0.12967349772648895,0.5254311784985176,1.0,1.0,0.0009765625,51200,1.0,1.0,1.0,1.0,0.9780167263462771,1.3819594488375224,1.243401034750126,1.8003248788201447,0.06377391087738826,200,0,0,0,4608,55808,0.45345673925531577,0.5814344565204237
225,3.1301967919998788,0.10593897430167304,0.015597149883205631,0.029597283710355027,0.06563456088162692,nan,1.0,0.9476696467812231,0.9490941385490306,nan,0.0003944778544070493,0.1032362146697463,225,0.03874125501783554,0.13149839638284577,0.7202115795681242,1.0,1.0,0.0009765625,57600,1.0,1.0,1.0,1.0,0.9768543306422826,1.40677780112309,1.2651916195707964,1.9904219005764685,0.04879958305325274,225,0,0,0,5120,62720,0.45345673925531577,0.5814344565204237
250,3.4043972659999326,0.08498351268286808,0.008571723009557622,0.023439296978444397,0.057509021620573704,nan,1.0,0.9428511910223009,0.9444087044080186,nan,0.00036923026515300883,0.11274010456968053,250,0.13305798688430853,0.1399583684712933,1.1775565824715375,1.0,1.0,0.0009765625,64000,1.0,1.0,1.0,1.0,0.9745648222918308,1.427511383072784,1.2860920664289026,2.1883012422566934,0.04039626179886585,250,0,0,0,5632,69632,0.45345673925531577,0.5814344565204237
275,3.640660642000057,0.08001078507225917,0.007892911237838973,0.02310145768220522,0.05366146383285893,nan,1.0,0.9383179489896118,0.9399922745397776,nan,0.0003483367670653603,0.12168977647061052,275,0.11858760670141927,0.13382001620831505,1.385894596189424,1.0,1.0,0.0009765625,70400,1.0,1.0,1.0,1.0,0.9714937584057882,1.4463601074707206,1.3092948297077571,2.38129761514677,0.03820673313171742,275,0,0,0,6144,76544,0.45345673925531577,0.5814344565204237
300,3.869715794000058,0.08019921744461975,0.007349996297946697,0.023979831822791297,0.05391147331554069,nan,1.0,0.9340517109514037,0.9358085598770831,nan,0.0003279694622367879,0.13013972917151317,300,0.12339760681913577,0.12978614304678124,0.5574079700058623,1.0,1.0,0.0009765625,76800,1.0,1.0,1.0,1.0,0.9673692198956777,1.4643360312044458,1.331365584925965,2.569532053559216,0.0364953897617885,300,0,0,0,6656,83456,0.45345673925531577,0.5814344565204237
325,4.096813311000005,0.0812296244481316,0.006186273406260391,0.02416185299265742,0.05639728778073565,nan,1.0,0.9302728766631637,0.9320702576558132,nan,0.0002841756999111267,0.1376568656810231,325,0.044677709892048834,0.13043955790260808,0.9701602847950193,1.0,1.0,0.0009765625,83200,1.0,1.0,1.0,1.0,0.9622442810897142,1.4822992190342084,1.351846195135849,2.7531225858974215,0.030271980632459828,325,0,0,0,7168,90368,0.45345673925531577,0.5814344565204237
350,4.352058681000017,0.08214545090892891,0.005859030359687212,0.02473347235973663,0.05746446455618788,nan,1.0,0.9268412811367722,0.9286159325160942,nan,0.0002693159700419834,0.14454278634713358,350,0.07336204376178246,0.1314877235635365,1.158916179052315,1.0,1.0,0.0009765625,89600,1.0,1.0,1.0,1.0,0.9559276651240249,1.4993396909609151,1.371374644318562,2.9321843094526585,0.028696949984551516,350,0,0,0,7680,97280,0.45345673925531577,0.5814344565204237
375,4.616939585999944,0.08262433184530778,0.005628680618787851,0.02474903601206238,0.058509739677771594,nan,1.0,0.9235933086940136,0.9252751331197483,nan,0.0002582056597116855,0.15113155818623814,375,0.08963944515925752,0.13038561877097374,1.3009396373956896,1.0,1.0,0.0009765625,96000,1.0,1.0,1.0,1.0,0.9485623180931388,1.5162605534158258,1.3889149511748045,3.106829463336297,0.02611350514234717,375,0,0,0,8192,104192,0.45345673925531577,0.5814344565204237
400,4.914852279999877,0.08273265651363162,0.005585272517544557,0.023499361357705816,0.06019594057492674,nan,1.0,0.920672863644792,0.9221910838317664,nan,0.00022091797287959736,0.15713605252344165,400,0.023665129962868764,0.1233910114990068,1.0048440980353948,1.0,1.0,0.0009765625,102400,1.0,1.0,1.0,1.0,0.9412000121184084,1.5351493000054983,1.4059238676027312,3.268121676676516,0.019644141383546067,400,0,0,0,8704,111104,0.2776840648659711,0.49853749905074674
