step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,vrba_attention_effective_sample_fraction,vrba_multiplier_mean,vrba_multiplier_min,vrba_multiplier_max,vrba_temperature,vrba_local_updates,kde_pairwise_distance_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.020884672999955,0.4984976265226538,0.004863965668063817,0.49127639259736366,0.002472427443232489,nan,1.0,0.9997655462017888,1.0000090721407502,nan,0.0002435259389613753,0.0002435259389613753,1,0.01611320529077005,0.0057254543591958315,0.06375331203135157,1.0,1.0,0.0009765625,256,1.0,1.0,1.0,1.0,0.9999855319499248,1.0055363738393441,1.0010367153210227,1.009,0.0638315873829646,1,0,0,0,512,768,nan,nan
25,0.23699985500002185,0.3343681875840433,0.002384118133319081,0.25559634696132955,0.07796258883463511,nan,1.0,0.9942359698624652,0.9986967941953927,nan,0.00034792517714343774,0.0071603063525779165,25,0.057438590973176606,0.03697857975722382,0.2466897681705218,1.0,1.0,0.0009765625,6400,1.0,1.0,1.0,1.0,0.996834108042403,1.1316532453989478,1.0364684510461688,1.1712685473925755,0.03534456047721596,25,0,0,0,1024,7424,nan,nan
50,0.4544415919999665,0.42280224121588605,0.002592216556484457,0.30001734667157226,0.12430568916593443,nan,1.0,0.9885133962942773,0.9946355567752319,nan,0.00041803753441538305,0.016944117340926712,50,0.061878684810702606,0.04733601918399809,0.4047198531827679,1.0,1.0,0.0009765625,12800,1.0,1.0,1.0,1.0,0.9925753148560827,1.2087966369220355,1.0693601096550411,1.3655862939160983,0.036214797047164723,50,0,0,0,1536,14336,nan,nan
75,0.6968006699999023,0.5013661141779127,0.007816064780996763,0.35708059815534554,0.1441280897523448,nan,1.0,0.982769119277469,0.9895521732216314,nan,0.0004440062144529522,0.02777177791133545,75,0.07370610267882503,0.05827469551749445,0.4467619997972299,1.0,1.0,0.0009765625,19200,1.0,1.0,1.0,1.0,0.985410602825571,1.2973841144235925,1.1449360483707232,1.5597654377140164,0.05241392777563664,75,0,0,0,2048,21248,nan,nan
100,0.9007063520000429,0.5489030468909679,0.022754413109525872,0.3786689808220591,0.15871467106164694,nan,1.0,0.9770059240397602,0.9840728347509026,nan,0.0004528072064732269,0.03901431161977309,100,0.08704019620854812,0.06974119155984411,0.6214572166807588,1.0,1.0,0.0009765625,25600,1.0,1.0,1.0,1.0,0.9711574105353408,1.3896111407527385,1.2148466065869306,1.766962347948687,0.08304910155913406,100,0,0,0,2560,28160,nan,nan
125,1.0907882929998323,0.543792148712386,0.04026479334800636,0.35296911084018456,0.16423013839846867,nan,1.0,0.9712756172165025,0.9784870544578296,nan,0.00045087169741786504,0.05033039873610379,125,0.11859963619888214,0.08100228472634016,0.8044591661908028,1.0,1.0,0.0009765625,32000,1.0,1.0,1.0,1.0,0.9554252967589065,1.4703720466578118,1.2436386328382936,1.950212879626064,0.10049009225888866,125,0,0,0,3072,35072,nan,nan
150,1.3258913909999137,0.4474712634841437,0.028198183088058815,0.2635902612837017,0.16931599395604435,nan,1.0,0.9656488724843486,0.9729585371148721,nan,0.00044138244713431973,0.06148566081121509,150,0.16604636235302192,0.08427796345814263,0.5256667207650422,1.0,1.0,0.0009765625,38400,1.0,1.0,1.0,1.0,0.9472623412174956,1.5319427921686357,1.2987723480534532,2.0695441108441175,0.08261359308389724,150,0,0,0,3584,41984,nan,nan
175,1.5056807349999417,0.2973613373992837,0.02745212972700431,0.12116482641324161,0.1587171070828759,nan,1.0,0.9601756686176143,0.9675686022793994,nan,0.0004259713007708221,0.0723487995134221,175,0.11514981473616034,0.028256623689539087,0.7229933154547301,1.0,1.0,0.0009765625,44800,1.0,1.0,1.0,1.0,0.9481473678174344,1.5862891151312084,1.3359229122354674,2.1160259299952546,0.07705711302845099,175,0,0,0,4096,48896,nan,nan
200,1.6918868129998827,0.2131013759911663,0.030114632564651002,0.06381768075766794,0.1268023017458158,nan,1.0,0.9549702815001802,0.9624648227073972,nan,0.0003980335853532857,0.08265796620285848,200,0.09494703309016654,0.05689986121354913,0.729618037953567,1.0,1.0,0.0009765625,51200,1.0,1.0,1.0,1.0,0.9494726344057767,1.6477625324780745,1.3992480702427577,2.1632666682674806,0.0753210680511592,200,0,0,0,4608,55808,0.31554498263947495,0.6499264179745766
225,1.9134512419998373,0.16466839735641495,0.019642583846708066,0.04709114482037322,0.10469562287005152,nan,1.0,0.9501890298827702,0.957827285876465,nan,0.0003609227745914323,0.09207675465120058,225,0.04523493839380835,0.05168197152143647,1.378614490954597,1.0,1.0,0.0009765625,57600,1.0,1.0,1.0,1.0,0.9485166488970665,1.7129641591818459,1.423878845177321,2.3380209639413083,0.06209058073796704,225,0,0,0,5120,62720,0.31554498263947495,0.6499264179745766
