step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,vrba_attention_effective_sample_fraction,vrba_multiplier_mean,vrba_multiplier_min,vrba_multiplier_max,vrba_temperature,vrba_local_updates,kde_pairwise_distance_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.019016252000028544,0.7864078188861785,0.006990694742158087,0.7454296056235988,0.03417443541637061,nan,1.0,0.9997587189112804,0.9997934470883183,nan,0.0004478340004012704,0.0004478340004012704,1,0.029293159078576013,0.0028367535300844364,0.0576466286331138,1.0,1.0,0.0009765625,256,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,512,768,nan,nan
25,0.19408194099992215,0.28003873522635075,0.001781360864676823,0.18381045729248469,0.09605332220917134,nan,1.0,0.9939898129484059,0.9947771727403377,nan,0.0004521801126944336,0.01123301431125634,25,0.040489434955102516,0.04205476776648158,0.0665170108700615,1.0,1.0,0.0009765625,6400,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,1024,7424,nan,nan
50,0.38371186599988505,0.2614026239644115,0.00042701029529849867,0.184864976194685,0.07916853679144459,nan,1.0,0.9880226271060594,0.989342956226083,nan,0.0004589282927131011,0.022634416667857593,50,0.021096851551331147,0.01737579101973676,0.016123638232154156,1.0,1.0,0.0009765625,12800,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,1536,14336,nan,nan
75,0.6568170539999301,0.2550280089472896,0.0007379607366740624,0.1846390704113534,0.07416424420721765,nan,1.0,0.9820812777390202,0.9837553770067045,nan,0.00046244750242285804,0.034163345254275335,75,0.01279120178907648,0.0065777510493479595,0.030379199835461713,1.0,1.0,0.0009765625,19200,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,2048,21248,nan,nan
100,0.9196665629999643,0.24555889854494317,0.0007439548014815889,0.17723638782436804,0.07341192754786857,nan,1.0,0.9761669084851321,0.9780787587011265,nan,0.00046454291413000615,0.045754332813741416,100,0.010961294880336418,0.005131497485180029,0.1654813856946981,1.0,1.0,0.0009765625,25600,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,2560,28160,nan,nan
125,1.1650668709999081,0.22960614194530488,0.0021591877970112347,0.16458471066083064,0.06968144020671674,nan,1.0,0.970275743220807,0.972345024558544,nan,0.00046514373345662996,0.057379232220649,125,0.005329793339005946,0.0030031787054283785,0.07642167103183682,1.0,1.0,0.0009765625,32000,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,3072,35072,nan,nan
150,1.418553625999948,0.2107492516941001,0.005539019207580957,0.150278655850384,0.062362787793233815,nan,1.0,0.9644142387914534,0.9665917629889601,nan,0.00046368402769536576,0.06899399821958652,150,0.0035275491842390334,0.004652286229206687,0.16648834952665525,1.0,1.0,0.0009765625,38400,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,3584,41984,nan,nan
175,1.7559788890000618,0.19213916538509887,0.00945057496660229,0.1349930979567912,0.055455151481372755,nan,1.0,0.9585976129811965,0.9608580542076032,nan,0.00046009777976996347,0.08054433281120033,175,0.004204150176028824,0.0124985617603959,0.10380389128072776,1.0,1.0,0.0009765625,44800,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,4096,48896,nan,nan
200,2.0649909900000694,0.17290023689922662,0.012727185701200523,0.1174724409998861,0.05050279053272882,nan,1.0,0.9528495962640893,0.955184509811701,nan,0.00045355710164540763,0.09196589392420973,200,0.0050480826947190485,0.019990897659305867,0.052756124197704694,1.0,1.0,0.0009765625,51200,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,4608,55808,0.8990812244822601,0.9923133650183834
225,2.349525674000006,0.14591903182242635,0.010551061295664303,0.09748254174467111,0.04531759578015797,nan,1.0,0.9471897087160661,0.9495982623501671,nan,0.00044658730440183536,0.1032120289337668,225,0.00970483048471299,0.02744474001704514,0.027206873608077223,1.0,1.0,0.0009765625,57600,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,5120,62720,0.8990812244822601,0.9923133650183834
