step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,vrba_attention_effective_sample_fraction,vrba_multiplier_mean,vrba_multiplier_min,vrba_multiplier_max,vrba_temperature,vrba_local_updates,kde_pairwise_distance_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.029657517999794436,0.49873587405048325,0.004865846419973988,0.49139692419609116,0.0024731034344181143,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.01611700881734639,0.005737490253278596,0.06418036736158496,1.0,1.0,0.0009765625,256,1.0,1.0,1.0,1.0,0.999994227298529,1.0061335410805194,1.0036801459201803,1.009,0.10246424442344684,1,0,0,0,512,768,nan,nan
25,0.18044507999979942,0.32512347115819207,0.00234648667207186,0.24806518052436222,0.07471180396175794,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.05593251938284774,0.03615134749200451,0.19566386870774735,1.0,1.0,0.0009765625,6400,1.0,1.0,1.0,1.0,0.997116890938699,1.108150324749614,1.046094235379541,1.1596166668138284,0.03467385001187377,25,0,0,0,1024,7424,nan,nan
50,0.3140945099999044,0.39125641973048875,0.002249127541885577,0.2717501085304727,0.11725718365813045,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.05520419421626949,0.04393573810516268,0.32685423465220653,1.0,1.0,0.0009765625,12800,1.0,1.0,1.0,1.0,0.9948827320469704,1.1517849388291725,1.0756227487985943,1.3410645093021916,0.02054250621319945,50,0,0,0,1536,14336,nan,nan
75,0.4399850519998836,0.44764476289289956,0.005914685305295509,0.31253185303110115,0.12919822455650293,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.06304490863025994,0.05583071802534454,0.29639465185880737,1.0,1.0,0.0009765625,19200,1.0,1.0,1.0,1.0,0.9906265948235257,1.1963421882256706,1.1079011800592897,1.4863614799671678,0.034179616808974474,75,0,0,0,2048,21248,nan,nan
100,0.5749454429999332,0.4810815569711828,0.016916000394319723,0.31972865882115986,0.14443689775570323,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.07515563445431207,0.07103583849060884,0.3857843116881059,1.0,1.0,0.0009765625,25600,1.0,1.0,1.0,1.0,0.978968007230464,1.2418690066456555,1.1423190729203,1.6815272128486844,0.04588317758166829,100,0,0,0,2560,28160,nan,nan
125,0.7186178269998891,0.4716750662040462,0.031601621129388795,0.2948449575505203,0.14522848752413706,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.10302910686833716,0.0870013208073127,0.491944087606187,1.0,1.0,0.0009765625,32000,1.0,1.0,1.0,1.0,0.9679218560154982,1.279184984215982,1.1666706414586252,1.8410277133938304,0.06860217840628484,125,0,0,0,3072,35072,nan,nan
150,0.8591156659999797,0.4086338956997998,0.03446228142182643,0.23024027239170858,0.14393134188626475,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.16187317558385594,0.09987731913380417,0.36157302877271397,1.0,1.0,0.0009765625,38400,1.0,1.0,1.0,1.0,0.9635849515822729,1.3078797175468737,1.1904244022714168,1.89608772626846,0.09544158027955556,150,0,0,0,3584,41984,nan,nan
175,1.0141556859998673,0.267567370842936,0.02059675811778195,0.1190516442262363,0.12791896849891776,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.14752969880446626,0.04297360463168261,0.45567574035172126,1.0,1.0,0.0009765625,44800,1.0,1.0,1.0,1.0,0.9645929966859631,1.3313010484674628,1.2156879457921583,1.9064232664512342,0.06493057609704395,175,0,0,0,4096,48896,nan,nan
200,1.145410211999888,0.1676215404767537,0.025463126881789297,0.04692338239120839,0.095235031203756,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.10231799406369022,0.04780719226937817,0.3358189762555037,1.0,1.0,0.0009765625,51200,1.0,1.0,1.0,1.0,0.9653139853705531,1.3559268374262554,1.2375498336989719,1.9106524717805093,0.0698776335500487,200,0,0,0,4608,55808,0.3505014005782504,0.6159902086648683
225,1.2684415869998702,0.12355423861105441,0.01709873226408997,0.0322503263808465,0.07420517996611795,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.16614458328392354,0.0549610178114268,0.2949670885228405,1.0,1.0,0.0009765625,57600,1.0,1.0,1.0,1.0,0.9630576257651123,1.3803613806862938,1.2583646277067095,1.976776570322811,0.052422666021063644,225,0,0,0,5120,62720,0.3505014005782504,0.6159902086648683
