step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,vrba_attention_effective_sample_fraction,vrba_multiplier_mean,vrba_multiplier_min,vrba_multiplier_max,vrba_temperature,vrba_local_updates,kde_pairwise_distance_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.028306749999956082,0.5776363834531685,0.003940555405622736,0.5503519129738387,0.02334391507370702,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.03368764492773227,0.01075948640511238,0.0032736783341547923,1.0,1.0,0.0009765625,256,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,512,768,nan,nan
25,0.16182766199995058,0.29652939679020446,0.0015604685915969418,0.21357303923006937,0.08139588896853812,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.07775895031583825,0.03296795645423444,0.02979767250430894,1.0,1.0,0.0009765625,6400,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,1024,7424,nan,nan
50,0.3029815029999554,0.2817798195245179,0.0017393276965450692,0.18199124971731126,0.09804924211066159,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.06120895693576112,0.014074588364792324,0.06839168037430525,1.0,1.0,0.0009765625,12800,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,1536,14336,nan,nan
75,0.47895969599994714,0.2709501536177086,0.0013729331118586454,0.1773296004674416,0.0922476200384083,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.061116779008277396,0.011411234102888345,0.08682467981333783,1.0,1.0,0.0009765625,19200,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,2048,21248,nan,nan
100,0.6805935529998806,0.25353265079496734,0.0014585982416509325,0.16603154532447428,0.08604250722884214,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.0589654696989813,0.00535198460194742,0.050177839328223686,1.0,1.0,0.0009765625,25600,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,2560,28160,nan,nan
125,0.8227501649998885,0.23171740637169458,0.001488017244290998,0.15238775462826804,0.07784163449913556,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.05823924399318725,0.0009796870887222942,0.020768531608057108,1.0,1.0,0.0009765625,32000,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,3072,35072,nan,nan
150,0.9472955589999401,0.20368160002392882,0.007632856662261444,0.12929966357021735,0.06674907979145002,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.07590550858387489,0.0064648695292136606,0.5593398948344775,1.0,1.0,0.0009765625,38400,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,3584,41984,nan,nan
175,1.0878070740000112,0.1740386792921576,0.01852431340738639,0.09910751471330215,0.05640685117146907,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.09879233477217801,0.01602998333283958,0.5015541160703062,1.0,1.0,0.0009765625,44800,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,4096,48896,nan,nan
200,1.2306007549998412,0.13480433850265133,0.01244094608827483,0.07509492999808212,0.04726846241629439,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.1063197861422166,0.020579465060912946,0.5106700792539554,1.0,1.0,0.0009765625,51200,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,4608,55808,0.7755322440807163,0.8484806212273792
225,1.3677831640000022,0.08494888491107491,0.008243371598107943,0.04382540709784402,0.03288010621512295,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.13140730727067798,0.04551124665384022,0.603399517635316,1.0,1.0,0.0009765625,57600,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,5120,62720,0.7755322440807163,0.8484806212273792
250,1.5032207829999606,0.049922684639782736,0.00842492013266922,0.018726410882611774,0.02277135362450174,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.19312835417670585,0.11577890300975939,0.6961289587256598,1.0,1.0,0.0009765625,64000,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,5632,69632,0.7755322440807163,0.8484806212273792
275,1.6418260399998417,0.03354953839982992,0.005830300775879887,0.009467333990070458,0.01825190363387958,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.15179724230994376,0.14983787122700223,0.349998583766805,1.0,1.0,0.0009765625,70400,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,6144,76544,0.7755322440807163,0.8484806212273792
300,1.785896639999919,0.02741446903912674,0.0050080324276313105,0.007180989806145243,0.015225446805350186,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.2458059567914479,0.17011426565976837,0.7135829371943982,1.0,1.0,0.0009765625,76800,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,6656,83456,0.7755322440807163,0.8484806212273792
325,1.9224752659999922,0.02440589993787471,0.0040896330954309406,0.006628998428024489,0.013687268414419283,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.20928945185013959,0.17794907214143396,0.3820439408290132,1.0,1.0,0.0009765625,83200,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,7168,90368,0.7755322440807163,0.8484806212273792
350,2.063985728000034,0.0222211534977564,0.003233424893616361,0.0062920946573466405,0.012695633946793397,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.20447630989661808,0.1811526220500112,0.40357827873640256,1.0,1.0,0.0009765625,89600,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,7680,97280,0.7755322440807163,0.8484806212273792
375,2.1912065479998546,0.020586521228816355,0.0025321832789570397,0.00606981231958108,0.011984525630278235,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.17743816581516902,0.18583102702426957,0.22727309188790018,1.0,1.0,0.0009765625,96000,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,8192,104192,0.7755322440807163,0.8484806212273792
400,2.322011578999991,0.019561043831914558,0.0022913755413544686,0.006039261090756781,0.011230407199803307,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.20212159412808936,0.1865072776784262,0.0136550457711605,1.0,1.0,0.0009765625,102400,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,8704,111104,0.27731004436566065,0.5714975240156651
425,2.452169801999844,0.01848821357812072,0.0017179288123801667,0.005755108650241529,0.011015176115499025,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.1695667671780937,0.19040067437440453,0.3644844221536732,1.0,1.0,0.0009765625,108800,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,9216,118016,0.27731004436566065,0.5714975240156651
450,2.610025485000051,0.017774573678993048,0.0014776958880763494,0.005611488665078665,0.010685389125838033,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.19556535729232277,0.19029089775374572,0.7491789141874865,1.0,1.0,0.0009765625,115200,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,9728,124928,0.27731004436566065,0.5714975240156651
475,2.741865041999972,0.01718136879652553,0.00127167654304227,0.005449340730492814,0.010460351522990444,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.1839599068222164,0.1907222578856555,0.6536076769759117,1.0,1.0,0.0009765625,121600,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,10240,131840,0.27731004436566065,0.5714975240156651
500,2.8874232279999887,0.018115378306486227,0.001981711331024185,0.005406061500064051,0.01072760547539799,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.12309172279082146,0.22256916494630857,0.018786094594060335,1.0,1.0,0.0009765625,128000,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,10752,138752,0.27731004436566065,0.5714975240156651
525,3.0233107199999267,0.016281158936056014,0.0010029409277360314,0.005130769161934545,0.010147448846385439,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.15838214237558382,0.19278521506231602,0.21560942581561235,1.0,1.0,0.0009765625,134400,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,11264,145664,0.27731004436566065,0.5714975240156651
550,3.1636022589998447,0.015891876060121407,0.0009393788468918481,0.00505403981265499,0.00989845740057457,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.174886099142959,0.18824103519756044,0.6873845243249851,1.0,1.0,0.0009765625,140800,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,11776,152576,0.27731004436566065,0.5714975240156651
575,3.316550171000017,0.015529983900916122,0.0008556174245808406,0.004910429553442399,0.009763936922892883,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.16174414985661884,0.18776644737697928,0.5350152271595223,1.0,1.0,0.0009765625,147200,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,0,0,12288,159488,0.27731004436566065,0.5714975240156651
