problem,variant,n_windows,n_completed,n_memory_measurements,median_ms_per_step,median_paired_ratio_to_neither,median_peak_rss_mib
allen_cahn,full_exp,3,3,3,5.967214970000896,1.7737622226053051,801.6953125
allen_cahn,full_quad,3,3,3,5.452197099998557,1.5654744113985322,803.296875
allen_cahn,global_only,3,3,3,5.335931050003637,1.5155275285627505,803.4765625
allen_cahn,local_only,3,3,3,3.6195768300012787,1.0392791756298605,803.8125
allen_cahn,neither,3,3,3,3.4827762499980963,1.0,801.4453125
burgers,full_exp,3,3,3,13.315785550003056,1.8637690388578196,843.46875
burgers,full_quad,3,3,3,13.590683300003548,1.8005128092246319,841.65234375
burgers,global_only,3,3,3,12.635376799998994,1.7038218151073452,839.9765625
burgers,local_only,3,3,3,8.216717909999716,1.1186389718235312,842.3828125
burgers,neither,3,3,3,7.345281289999548,1.0,841.53515625
helmholtz,full_exp,3,3,3,19.467518459996427,1.821066907061656,834.37109375
helmholtz,full_quad,3,3,3,17.733566199999586,1.658866311973298,833.21875
helmholtz,global_only,3,3,3,17.57870274999732,1.685145419548918,833.5234375
helmholtz,local_only,3,2,2,10.594963160001498,1.0087605997323852,834.044921875
helmholtz,neither,3,3,3,10.69017199999962,1.0,834.91015625
wave,full_exp,3,3,3,7.553845580000598,1.70608847758474,805.82421875
wave,full_quad,3,3,3,7.235354099998403,1.663410893655833,805.1953125
wave,global_only,3,3,3,7.339588139998341,1.6467333719085429,805.5625
wave,local_only,3,3,3,5.058025450002788,1.1184764250946178,804.33203125
wave,neither,3,3,3,4.471460660001867,1.0,806.1171875
