step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.02287880000039877,4.528573100731558,4.234316162628177,0.4946819619877869,0.0049676632708566424,nan,0.9548842265362761,0.9702227229277879,1.074893050535936,nan,0.14978610107187196,0.14978610107187196,1,0.00210287151507013,0.006747474229847078,0.0038046964687527885,1.0,1.0,0.0009765625,256,256,0,512,1024,nan,nan
25,0.1490961409999727,1.4718280598703721,0.4410252795938977,0.16168359950340067,0.7918614683233693,nan,0.9118866914260212,0.9264582629979573,1.1616550455760215,nan,0.17352399008017105,0.323310091152043,2,0.040624773080144005,0.04488658074657635,0.027456159927537218,0.8030029551446903,0.9821385770637076,0.002774663010031009,6400,512,1024,1024,8960,nan,nan
50,0.2871064380005919,1.4980294446426476,0.9395741067956476,0.1683229784722922,0.4265525808756511,nan,0.8710887281242413,0.8849317211175807,1.243979550758178,nan,0.1646490103643129,0.4879591015163559,3,0.04546565986054912,0.07801251867784391,0.11886613976876771,0.808041912288287,0.9823067626499276,0.002332008436092386,12800,768,2048,1536,17152,nan,nan
75,0.4100951990003523,1.4768427061542744,0.802846031578988,0.15646659648162667,0.5115162541833489,nan,0.8323439044980309,0.8454947478417033,1.3221613476602656,nan,0.15636359380417553,0.6443226953205314,4,0.06485013990712328,0.0883267767714169,0.1851869211337054,0.8017111989948559,0.9821936594996998,0.0024348445179233676,19200,1024,3072,2048,25344,nan,nan
100,0.5471318750005594,1.4529653572317485,0.9759758239238241,0.15959540783440027,0.39216382331801136,nan,0.7955751256192889,0.8083316818897577,1.396093192490953,nan,0.14786368966137498,0.7921863849819064,5,0.03746399473688904,0.10308322224637768,0.10246824504949882,0.7958408038530342,0.9814793799265119,0.002354772252080601,25600,1280,4096,2560,33536,nan,nan
125,0.6914643860000069,1.2437755965977773,1.1326262790886068,0.19299359118692266,0.15883688215827507,nan,0.7606528582208845,0.7772781042938517,1.4620690374852634,nan,0.13195168998862083,0.9241380749705272,6,0.05379888824780983,0.07420843505277226,0.267100046091448,0.8585686552232424,0.9872173615514568,0.001885722593911408,32000,1536,5120,3072,41728,nan,nan
150,0.8133699790005267,0.9139105364090834,0.8464840781811303,0.16750196817053192,0.11331196964517523,nan,0.7274787023438095,0.7493547604018728,1.5231665372543173,nan,0.12219499953810775,1.046333074508635,7,0.02661601338403287,0.07468753446880821,0.14503416513006,0.8470544160939907,0.9860467689735705,0.0020790781527564844,38400,1792,6144,3584,49920,nan,nan
175,0.9321722470003806,0.5163493161013775,0.4916689584855918,0.13040191471471194,0.050351232679671225,nan,0.6959669784521285,0.7264529472765382,1.5775800742713328,nan,0.10882707403403113,1.1551601485426661,8,0.026641137359189812,0.09894157900756295,0.09502657307086497,0.8388843132831367,0.9851742946625882,0.0020329368444075074,44800,2048,7168,4096,58112,nan,nan
200,1.0288798120000138,0.25677319344893873,0.2370702377460038,0.08785770215400523,0.02256376153638194,nan,0.6660323539593171,0.7077786256004709,1.6261890204402114,nan,0.09721789233775724,1.2523780408804233,9,0.01653049823377481,0.08212231496873822,0.06632692453119132,0.8009532179099481,0.9810873689445435,0.002275316647675372,51200,2304,8192,4608,66304,0.30510602250846247,0.4777382243540661
225,1.1216269720007404,0.1671322352585294,0.16319426569699047,0.062178614073877286,0.01199173088151591,nan,0.637598472597201,0.6924227039486514,1.6699788234541468,nan,0.08757960602787107,1.3399576469082943,10,0.0362008631859608,0.05782401599479538,0.17624571276946985,0.7830219264285649,0.9794621872507014,0.002896187022425293,57600,2560,9216,5120,74496,0.30510602250846247,0.4777382243540661
