step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.011248569000031239,6.4734622889574975,6.051712373490119,0.6460389228143125,0.04683895530092047,nan,0.9549484958466093,0.9989996946925649,1.0460518094608258,nan,0.09210361892165153,0.09210361892165153,1,0.003792929994349086,0.0006130094558081218,0.0659619802874135,1.0,1.0,0.0009765625,256,1.0,1.0,1.0,1.0,256,0,512,1024,nan,nan
25,0.0877004390000593,1.4079735528688198,0.45740337041043067,0.17169613586570442,0.7322735373110771,nan,0.9120528169492168,0.9599940127087292,1.127953170342054,nan,0.16380272176245647,0.255906340684108,2,0.01843549834665027,0.02368149671374062,0.03054014351346923,0.7969952857196475,0.9813189500265066,0.0023667607291152654,6400,0.8758931700410937,0.9771030776072698,0.43563853008702264,3.0669556446802977,512,1024,1024,8960,nan,nan
50,0.1723909290000165,1.378597762583194,0.6153689806455518,0.17742187992497266,0.5639265767790375,nan,0.8713082814777867,0.9262608272962621,1.2024308912259511,nan,0.1489554417677943,0.4048617824519023,3,0.014345405873033703,0.013286653168132448,0.06339486541727922,0.7958972829672974,0.9812388153097548,0.00226182275472756,12800,0.8268289770977963,0.9700594592955956,0.4359130669443225,3.0117254019141932,768,2048,1536,17152,nan,nan
75,0.24858925199998794,1.3557030799684209,0.7673091413408829,0.18769233161036503,0.4319386492185513,nan,0.8326084462874673,0.898049044144602,1.2693425095679305,nan,0.1338232366839589,0.5386850191358612,4,0.017485938612385638,0.015088451918250659,0.07708674571133578,0.8085857245414702,0.9827203831721318,0.0022418784443317633,19200,0.7821535579109753,1.0004414796699805,0.4359130669443225,3.7475671898247653,1024,3072,2048,25344,nan,nan
100,0.32416512700001476,1.3246220849084103,0.8909216345509114,0.1960022394742687,0.3341341112005767,nan,0.7958516879570987,0.8752544758438261,1.3288938361990752,nan,0.1191026532622892,0.6577876723981504,5,0.04683228511308554,0.03699852763824804,0.1801661055377548,0.8197517561782809,0.9834982334279433,0.002116043266640482,25600,0.8123129343557753,0.9192783114892517,0.44022985622496896,2.971377271958084,1280,4096,2560,33536,nan,nan
125,0.40173859599997286,1.2012217798616591,0.8952903997042234,0.19821303816642452,0.25334280254507674,nan,0.760939892999207,0.8577973114875538,1.3812627955132393,nan,0.10473791862832815,0.7625255910264785,6,0.04737715575206711,0.04033768948762474,0.15376036526704084,0.8319797397687477,0.9848102372890976,0.0020582965670770397,32000,0.7697153903156579,0.9515525644979046,0.47078645502464794,4.360059385880556,1536,5120,3072,41728,nan,nan
150,0.478675001000056,1.0137295838385998,0.8075710589433371,0.19059488096246824,0.185633995376854,nan,0.7277798754712075,0.8454778813801208,1.4267422431486718,nan,0.09095889527086498,0.8534844862973435,7,0.09360220863062226,0.03470545567767308,0.3605651524039514,0.8486500278418132,0.9863496253342438,0.0020566711007208934,38400,0.7986708018633346,0.9325161982643386,0.47404936837938505,4.861072213284485,1792,6144,3584,49920,nan,nan
175,0.5549960250000368,0.7171119655601497,0.5600124535005165,0.16462014953592213,0.12912034348287754,nan,0.6962793907501829,0.8374592025925978,1.4662614066572197,nan,0.07903832701709557,0.9325228133144391,8,0.06358597088411042,0.02525900278430146,0.23828697156663037,0.8262585800889972,0.9841696101330216,0.0023142054148119692,44800,0.7805874050729873,0.9564604468171561,0.421986092396792,3.854546927895589,2048,7168,4096,58112,nan,nan
200,0.6381774710000627,0.4529210310733881,0.3584198059391304,0.1400753181353141,0.06467280617865638,nan,0.6663591167036889,0.8376593777005314,1.4959815055957801,nan,0.05984054809298811,0.9923633614074272,9,0.02745513884267438,0.01925117275345474,0.05149119438986386,0.8358110926452706,0.9851115730008407,0.0022477066257016644,51200,0.8211593523444345,0.9611996121899891,0.4354811207412994,3.1156206592983535,2304,8192,4608,66304,0.42318724512059464,0.576403322668276
225,0.7269619740000053,0.287739812365698,0.21988136587579116,0.10426324602683855,0.03930090710811755,nan,0.6379356997774281,0.8410776246776215,1.5209866755449506,nan,0.056846833852521206,1.0492101952599484,10,0.05668078800469817,0.012025555390074043,0.22960509998236225,0.7836245939145926,0.979059115661909,0.0023422236502125366,57600,0.7550554117102709,0.9606011935248318,0.4228253116462556,4.469972436386728,2560,9216,5120,74496,0.42318724512059464,0.576403322668276
