step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.009620638000001236,3.9590158802609143,3.5387260577065,0.5697773551195973,0.017097603824981725,nan,0.9549314443646861,0.9857595135861861,1.0593090420491278,nan,0.11861808409825558,0.11861808409825558,1,0.007239356033122908,0.03327000651093598,0.13294664321987076,1.0,1.0,0.0009765625,256,1.0,1.0,1.0,1.0,256,0,512,1024,nan,nan
25,0.08568753599990941,1.5171248844461918,0.4800303778563489,0.15874551152663036,0.8109723295728217,nan,0.9120324099163484,0.94133252653588,1.1466350635477718,nan,0.17465204299728787,0.29327012709554345,2,0.025416147405059143,0.04581068397914299,0.08998412928136183,0.8138038439939753,0.9834399630272435,0.0024009356686493927,6400,0.8486479361947338,1.0190695080429744,0.40874717713331166,3.503479277267104,512,1024,1024,8960,nan,nan
50,0.16254900100000214,1.5970014924005427,0.9618555778291003,0.18988543556701448,0.4791344589402095,nan,0.8712885561561753,0.9023064903702187,1.226404953473606,nan,0.15953977985166845,0.4528099069472119,3,0.04185368841037176,0.07425533746701428,0.026302568372500296,0.7908068787494275,0.9811604257338641,0.002659733189941096,12800,0.809838889137382,0.9555604115651279,0.371541000052513,3.503479277267104,768,2048,1536,17152,nan,nan
75,0.24255283200000122,1.5901678602225013,1.0560413155745052,0.18400396414605666,0.42397225789750836,nan,0.8325872871076048,0.8667877418898231,1.3006249710025721,nan,0.14844003505793235,0.6012499420051443,4,0.034476829652601355,0.09964366071067912,0.08820950598555555,0.7881229556259861,0.9809847221587162,0.0025526065157560913,19200,0.745996675955039,0.9726079940371173,0.37621360208884713,4.2510317455199615,1024,3072,2048,25344,nan,nan
100,0.3396349719999989,1.3612799550136185,1.0348052976095101,0.19229289937276445,0.27557890975401317,nan,0.7958295921193945,0.8365342571077037,1.3676361507729018,nan,0.13402235954065933,0.7352723015458036,5,0.062247915919110684,0.07013360706416467,0.14898222053286353,0.8101428288740199,0.9830824622246049,0.0023127580071205713,25600,0.7406759071750347,1.0199952706144173,0.4054002318373277,4.288215645444962,1280,4096,2560,33536,nan,nan
125,0.4265477550000014,0.9087834491969766,0.7643513733095064,0.21566126377492295,0.10621463377140804,nan,0.7609226952147603,0.8163647086319464,1.4227125961532934,nan,0.11015289076078305,0.8454251923065866,6,0.09060173099690358,0.025406535834492046,0.2427610063317131,0.8427708878632372,0.9859793666236634,0.0021641819913673765,32000,0.7448929316540657,1.0266966917314375,0.43640922120967746,4.288215645444962,1536,5120,3072,41728,nan,nan
150,0.5033326389999502,0.5621969378603503,0.440499526388717,0.16861539937660908,0.07255818012124296,nan,0.7277596060520295,0.7989982312804009,1.4732421626675698,nan,0.10105913302855274,0.9464843253351394,7,0.06669381305356532,0.027981267297187508,0.10340249673172858,0.8358082109887882,0.985256652435152,0.0022259416170370755,38400,0.7890961386857634,0.9779087684586517,0.4387188291577435,4.288215645444962,1792,6144,3584,49920,nan,nan
175,0.5830659709999964,0.37795998090109806,0.2979560431513475,0.13803516698540977,0.040816276181787514,nan,0.6962597341640668,0.786627844962516,1.5171124208734175,nan,0.08774051641169522,1.0342248417468345,8,0.05166472394850584,0.03248429933638251,0.08693565450650222,0.8058098317976463,0.9824582308642467,0.002392270507966183,44800,0.770124612423768,0.9878046915542362,0.4387188291577435,4.630812563040637,2048,7168,4096,58112,nan,nan
200,0.6705355179999515,0.28465365992044633,0.2324469784998574,0.10617269961885348,0.0304448951415123,nan,0.6663381892517329,0.7753726976648476,1.5582891130834198,nan,0.08235338442000462,1.116578226166839,9,0.06841745397298502,0.0676465386372063,0.2964258871897779,0.7360991935611298,0.9748862098732141,0.002816536338348755,51200,0.7101273262233647,0.9760162308736384,0.35543419849823715,4.630812563040637,2304,8192,4608,66304,0.29293453284481014,0.46644257322182203
225,0.7463432429999557,0.21282762633663388,0.18213097977022874,0.08269463590555551,0.020853483516081427,nan,0.6379178211929056,0.7662435924878132,1.5958385863192814,nan,0.07509894647172344,1.1916771726385624,10,0.1947461938520057,0.07350297080040458,1.0346851490908147,0.7386717226427942,0.9757075077602977,0.0029880194559942144,57600,0.6576675079232472,0.982034930810702,0.35543419849823715,4.677828154540325,2560,9216,5120,74496,0.29293453284481014,0.46644257322182203
250,0.8234917179999002,0.1668613649497618,0.15844286313058165,0.059164325962542716,0.015481786137220375,nan,0.6109257478675137,0.7572225377062802,1.6318517144262061,nan,0.0720262562138495,1.2637034288524118,11,0.24070517838352445,0.09215767217445592,1.706288847531362,0.7113951093602208,0.9734551671038548,0.0037201781513104253,64000,0.6198916855545537,1.0169220180570244,0.2625042297116894,4.933448213969265,2816,10240,5632,82688,0.29293453284481014,0.46644257322182203
275,0.9003314839999348,0.11951814407666053,0.12293540106953431,0.04398755706289577,0.008713296519896819,nan,0.5852944035409143,0.7519561163038054,1.6627494801552802,nan,0.06179553145814831,1.32549896031056,12,0.08915584268910362,0.03999197921107213,0.14040967890567413,0.7406764881115679,0.9760508694391264,0.0033921980666165334,70400,0.6391646972155456,0.9987475437235285,0.2625042297116894,4.677828154540325,3072,11264,6144,90880,0.29293453284481014,0.46644257322182203
300,0.977312258999973,0.0961416928959977,0.10969436641449898,0.032299813847165654,0.006190749766614552,nan,0.5609552160241497,0.7471945336673853,1.691850250308465,nan,0.05820154030636948,1.3837005006169294,13,0.2016935220215316,0.03625408960967186,0.6280542671806213,0.7473126718659278,0.9763636896630661,0.0035729673479721656,76800,0.6573632232546461,0.9854699987748747,0.2625042297116894,4.677828154540325,3328,12288,6656,99072,0.29293453284481014,0.46644257322182203
325,1.0519593269999632,0.08470251956361818,0.10576830519999618,0.028291970110202576,0.0038999627689106937,nan,0.5378506462762751,0.7466657905765157,1.7154835631472092,nan,0.047266625677488405,1.430967126294418,14,0.12975767819634165,0.033068033413647814,0.18363286612694743,0.7533319898469485,0.9771718442421493,0.0034600598335639953,83200,0.6997764424663515,0.9651996918795377,0.2625042297116894,4.677828154540325,3584,13312,7168,107264,0.29293453284481014,0.46644257322182203
350,1.1561800719999837,0.0660990746416243,0.08008861029155648,0.026352148785799383,0.0029092476731265595,nan,0.515900224424125,0.7488186313679437,1.7352811442079312,nan,0.04390084370430014,1.474867969998718,15,0.13046917305095912,0.028980902893671213,0.0777231970418747,0.7589906458150684,0.9778701216972953,0.003420087643756095,89600,0.7027988310520451,0.9995179818372494,0.29986301154801775,4.16080534211589,3840,14336,7680,115456,0.29293453284481014,0.46644257322182203
375,1.2321951809999518,0.06020111186080193,0.0774082247242301,0.02219483016071594,0.003007969563467478,nan,0.4950482155067777,0.7476725828649777,1.7572792016282444,nan,0.04399611484062638,1.5188640848393442,16,0.3364361798683505,0.048833006600714025,1.3600265678870735,0.7409513317571469,0.976261065024822,0.0035975247239258667,96000,0.6697981488418171,0.9842613107750255,0.2714540065576833,4.600931161597307,4096,15360,8192,123648,0.29293453284481014,0.46644257322182203
400,1.3083410350000122,0.04888443546696237,0.06516807538876801,0.017749815217230312,0.002634789778016564,nan,0.4752390733232887,0.745073534456746,1.779687392219965,nan,0.04481638118344139,1.5636804660227857,17,0.1722867765535989,0.04987637847439522,0.3774248280006297,0.7324874000131676,0.9759048293166225,0.00456246646771835,102400,0.6818463307220507,1.014503367518488,0.295738365036772,4.600931161597307,4352,16384,8704,131840,0.13512438739727586,0.20503737058841498
425,1.3906693579999683,0.040510989641931436,0.05509569724169735,0.016048060919451757,0.0018921147758153747,nan,0.45642732412551185,0.7453459082588346,1.7982267676156531,nan,0.03762349839555368,1.6013039644183393,18,0.24717590182904545,0.04057979854231031,0.8039466282993469,0.7325908676341021,0.9759472662700546,0.004306121117787221,108800,0.7019128867232757,1.007020944395356,0.22678472650621226,4.223097828868624,4608,17408,9216,140032,0.13512438739727586,0.20503737058841498
450,1.4705304109999133,0.03320427996204586,0.046035902026821354,0.013916489436261283,0.0014431890667158068,nan,0.4385605796020593,0.7470442019368964,1.814395218461044,nan,0.03573348904690504,1.6370374534652443,19,0.13865176579291438,0.04579542066734413,0.15597927727113248,0.6946802253401132,0.9716835399983842,0.005173332828075973,115200,0.6826173461186754,1.0247604943627375,0.188768542920753,4.409495542212307,4864,18432,9728,148224,0.13512438739727586,0.20503737058841498
475,1.5533579409999447,0.028093435074058364,0.03892060413831134,0.01201653880028601,0.00148527408553742,nan,0.4215796187243941,0.7459351616121029,1.8324852196635026,nan,0.036180002404917366,1.6732174558701618,20,0.16997126138876528,0.037286425296862324,0.335828595503821,0.7017698847152928,0.9718305775062696,0.0057319948479364466,121600,0.6431114372896756,1.0204676079947426,0.188768542920753,4.74485872742552,5120,19456,10240,156416,0.13512438739727586,0.20503737058841498
500,1.6374735910000027,0.024349662178437113,0.03427588080069843,0.011404127116404534,0.001035980752683338,nan,0.40545747493783846,0.7488661625091185,1.8456763625530428,nan,0.032244287573111374,1.7054617434432733,21,0.10594422983226501,0.04982338316609115,0.202719831891919,0.673660547093057,0.9705029112688199,0.005747984334073118,128000,0.6839666892239613,1.0528088410086776,0.16989651384592264,4.636835524907258,5376,20480,10752,164608,0.13512438739727586,0.20503737058841498
525,1.716361185999972,0.02110066305332607,0.033762473321406014,0.008783031250827317,0.0007075393270730915,nan,0.39016388384619477,0.7530443596519818,1.8567917565018233,nan,0.03058718218328743,1.7360489256265608,22,0.21999969078785314,0.05884529562011822,0.7146709126488597,0.6962820583513606,0.9706395880363108,0.005194541256459497,134400,0.6193525828405132,1.0437115905241998,0.16989651384592264,4.817880404735322,5632,21504,11264,172800,0.13512438739727586,0.20503737058841498
550,1.7924879419999797,0.0230728422597356,0.04386923026910765,0.006808229179078725,0.0007881873042489393,nan,0.3756538515808719,0.7516094939533162,1.872736654465812,nan,0.03188979592797714,1.767938721554538,23,0.06573091299939768,0.12499343509890576,0.2794677345875223,0.6406190889954204,0.9665842534338149,0.006606766511646151,140800,0.6043802487116868,0.9552581678540405,0.14781247351159657,4.636835524907258,5888,22528,11776,180992,0.13512438739727586,0.20503737058841498
575,1.8692432809999673,0.01890184131280992,0.03537764678045518,0.00699578909146725,0.0004065774025822275,nan,0.362471000697107,0.7597434759399524,1.8777855233629406,nan,0.02636570176752967,1.7943044233220675,24,0.25740162594874877,0.10788291408318332,1.010409748819343,0.6754152914545303,0.9686837903370782,0.004475608772679202,147200,0.5835215526699162,0.9194459466294314,0.14781247351159657,4.636835524907258,6144,23552,12288,189184,0.13512438739727586,0.20503737058841498
600,1.9536200699999426,0.01452512888852346,0.02769222676384023,0.005460514019931599,0.0003493419656831593,nan,0.3497769630147593,0.7656153510738307,1.88460768591141,nan,0.025388075364695506,1.819692498686763,25,0.17999165790121185,0.10598253515211764,0.9974659744890595,0.6194352384715065,0.9614197547659413,0.005772406333469113,153600,0.5794650177464303,0.9325964247709994,0.14781247351159657,4.529876139955166,6400,24576,12800,197376,0.06420648577902152,0.12087740087050747
