step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,vrba_attention_effective_sample_fraction,vrba_multiplier_mean,vrba_multiplier_min,vrba_multiplier_max,vrba_temperature,vrba_local_updates,kde_pairwise_distance_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.012134841999795754,6.850005504131766,6.143572257477857,0.6562677328770465,0.04764416016282156,nan,1.0,1.0033489328505218,1.0067911165516696,nan,0.010140049402191487,0.010140049402191487,1,0.0037993124797220616,0.0006742358343319636,0.051027673856138524,1.0,1.0,0.0009765625,256,1.0,1.0,1.0,1.0,0.9999922133205622,1.0067903205283826,1.0036701805172994,1.009,3.1116378215023217,1,0,0,0,512,768,nan,nan
25,0.14069615900007193,1.9706380892917181,0.5416680524512723,0.21960768614558393,1.0385001205391164,nan,1.0,1.082052452057588,1.1471765655043562,nan,0.007143537896384222,0.22922901756194425,25,0.06880923622769086,0.014696489070828996,0.08021462691746635,1.0,1.0,0.0009765625,6400,1.0,1.0,1.0,1.0,0.9973655215160641,1.09012825702021,1.0452864278696496,1.199151733897326,0.4751407315396194,25,0,0,0,1024,7424,nan,nan
50,0.27006668100011666,2.3951569928065286,1.0671655374940119,0.2909066099298948,0.8188621927064498,nan,1.0,1.1627110960401226,1.2086906940523798,nan,0.004864161409093404,0.3714017900925024,50,0.01555851814331484,0.042399247425060085,0.553160113404947,1.0,1.0,0.0009765625,12800,1.0,1.0,1.0,1.0,0.991156906332678,1.1400220619910404,1.0753843371614742,1.3501717516005949,0.5034741927018564,50,0,0,0,1536,14336,nan,nan
75,0.40619789899983516,2.8223836778158873,1.4470095095759108,0.3907143893824837,0.7184204529216041,nan,1.0,1.2386477499039907,1.2408007947868445,nan,0.003855558482143584,0.4794485446908352,75,0.028644122594411292,0.055284429465392845,0.7248576485197801,1.0,1.0,0.0009765625,19200,1.0,1.0,1.0,1.0,0.9792354905110745,1.1896558717971923,1.101571801147985,1.5574755707039036,0.4489652476686316,75,0,0,0,2048,21248,nan,nan
100,0.5597379549999459,3.016194226329729,1.59227129791925,0.46542107517096054,0.6483283922429866,nan,1.0,1.3038944888076058,1.2602609469151964,nan,0.0029640022038535108,0.5641554357228022,100,0.05881926838377153,0.06570856975173892,0.7819779940399061,1.0,1.0,0.0009765625,25600,1.0,1.0,1.0,1.0,0.9625407101630142,1.2366294647984748,1.1261213835676616,1.7351014185615738,0.4059307581785815,100,0,0,0,2560,28160,nan,nan
125,0.6959005290000277,2.4918046002125163,1.3091428988231861,0.48629663432147574,0.4118185993505777,nan,1.0,1.3546320427960465,1.2721831871114413,nan,0.002087692420434273,0.6268152299074878,125,0.11289274867973109,0.08444428972184467,0.7295157230881476,1.0,1.0,0.0009765625,32000,1.0,1.0,1.0,1.0,0.9405662107248667,1.2839143320014008,1.1496994845809656,1.9062048657664237,0.3216930394277873,125,0,0,0,3072,35072,nan,nan
150,0.8288256040000306,1.278983699246154,0.5539135332917638,0.3629633344853971,0.17266311608452994,nan,1.0,1.3889754547648303,1.2795031642219417,nan,0.0013043447497498306,0.668478618986772,150,0.18770367292692938,0.10764868114729206,0.4662480916069423,1.0,1.0,0.0009765625,38400,1.0,1.0,1.0,1.0,0.9215611998467389,1.3256519281314556,1.1722674800931439,2.1000800915636875,0.21307090868638545,150,0,0,0,3584,41984,nan,nan
175,0.9574299060000158,0.6615697248092187,0.26316275294874725,0.2199549006210168,0.06885523316936608,nan,1.0,1.4094133625358887,1.2838471631127408,nan,0.0007438277398628124,0.6932605256486295,175,0.3069414172235717,0.13618037560500207,0.30426718592757723,1.0,1.0,0.0009765625,44800,1.0,1.0,1.0,1.0,0.919641310747735,1.3597219621905645,1.1941482656947453,2.189026860744919,0.1795370265812529,175,0,0,0,4096,48896,nan,nan
200,1.0929919959999097,0.4101373016758625,0.16256523843097193,0.1337971910959199,0.04466222054954859,nan,1.0,1.4210385544287727,1.286122712138522,nan,0.00041182976396147986,0.7071612665672946,200,0.3951734316719386,0.1484317715431876,0.605716961119392,1.0,1.0,0.0009765625,51200,1.0,1.0,1.0,1.0,0.9239239112206524,1.3843126870132045,1.2155671889987363,2.193962686891657,0.17102100581885676,200,0,0,0,4608,55808,0.20456726762526098,0.33350642169428724
225,1.2257534790001046,0.2974847393722132,0.13240897772758495,0.083480897599506,0.03565524035618075,nan,1.0,1.427749027854598,1.2869354068047978,nan,0.00021358832832185648,0.7146844346593957,225,0.47353890250077463,0.15297250764565984,0.7202628653621751,1.0,1.0,0.0009765625,57600,1.0,1.0,1.0,1.0,0.92617725850624,1.4061177560106275,1.2361797246054131,2.1907943186629644,0.13950275780711766,225,0,0,0,5120,62720,0.20456726762526098,0.33350642169428724
