step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.008512759000041115,3.781917104688953,3.237427089290157,0.48467066627819566,0.059819349120600704,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.014231008872547385,0.026022138633303563,0.06709941014775354,1.0,1.0,0.0009765625,256,0.8126665388084116,1.0,0.4985284527090193,3.6416507221523258,0,0,512,768,nan,nan
25,0.0828214759999355,1.5804401630291243,0.6307758836586853,0.1979900525802949,0.7516742267901441,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.0625564715941184,0.07625088243467155,0.1557374368369016,0.7920234763097759,0.9811356129898762,0.002643401229019531,6400,0.8072716949309179,1.0,0.4921499393130712,3.3888724386948064,0,1024,1024,8448,nan,nan
50,0.15790199599996413,1.554636614075654,0.5876461144785023,0.1918556673377218,0.7751348322594298,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.15920514861136142,0.07261308810200864,0.6055817434449736,0.8130071171615499,0.9831720257537635,0.0023626371373449678,12800,0.8249538127681845,1.0,0.50038132632533,2.8220877491524967,0,2048,1536,16384,nan,nan
75,0.23406605899981514,1.5313179695501251,0.565065157045811,0.1861037483091406,0.7801490641951735,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.163728675879628,0.07095681416736735,0.6619978993482881,0.7923432299469543,0.98130697053116,0.002686980161583523,19200,0.7864480501006066,1.0,0.48466804551618964,4.036660407026721,0,3072,2048,24320,nan,nan
100,0.31626983300020584,1.462079032473433,0.4527897891904184,0.17962385272454526,0.8296653905584694,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.13862836293182246,0.057421061564515194,0.5256797062435161,0.7943708338914437,0.9814161781543009,0.002743150194603464,25600,0.772161643847459,1.0,0.5065212167257428,5.108731938484137,0,4096,2560,32256,nan,nan
125,0.3938308470001175,1.3434595022344253,0.49661144439114036,0.16478140031312552,0.6820666575301596,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.10231246031424174,0.06400412020179175,0.3954567441761324,0.8063701544268652,0.9824202954075875,0.002376027755211965,32000,0.7634211668262152,0.9999999999999999,0.5094774079609891,4.5336230618788225,0,5120,3072,40192,nan,nan
150,0.47049977300002865,1.1700900061049664,0.49559237646151405,0.13377907303013115,0.5407185566133211,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.1048483968460017,0.07177353754079063,0.4388745089710525,0.7911494775213577,0.9814008447636491,0.002808756920846346,38400,0.8190571264679404,0.9999999999999998,0.5022985911768376,3.5019672619700932,0,6144,3584,48128,nan,nan
175,0.5491617409998071,0.7994137069050696,0.5388241993263775,0.14156621194999888,0.11902329562869325,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.2108160146184368,0.058009992516055514,0.939847809342539,0.8044476571320867,0.9819615673999206,0.002503041568468513,44800,0.7715066013693977,1.0000000000000002,0.48856411756894264,4.40422665805971,0,7168,4096,56064,nan,nan
200,0.6270767710002474,0.4293412489438327,0.3137117451523608,0.09015433019779705,0.02547517359367485,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.2082229338189141,0.02105557599388417,0.8489272600362868,0.8001256013059166,0.9812945548830898,0.002513407982340671,51200,0.831111197858202,1.0,0.5057641956515745,3.17018298591179,0,8192,4608,64000,0.3516954703307128,0.47132991478590197
225,0.7030512669998643,0.3584677472850326,0.2841093564259814,0.061723664047105414,0.012634726811945782,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.06147289444028031,0.015186053792462947,0.345770513789998,0.8043987835694842,0.9815139043429122,0.002380666200925894,57600,0.8499598729587486,1.0,0.5139290867966386,2.6997560053551957,0,9216,5120,71936,0.3516954703307128,0.47132991478590197
