step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.012550855999961641,7.283902777232277,6.7974223439504255,0.7044207135060374,0.08312697999477031,nan,0.9549641248360229,1.0021196215818529,1.0429162535821241,nan,0.09007175032795411,0.09007175032795411,1,0.008909918555680324,0.005934431872966889,0.08146937317904462,1.0,1.0,0.0009765625,256,0.8362021800816839,1.0,0.4959225237271402,2.6593597052266897,256,0,512,1024,nan,nan
25,0.09207313200022327,1.563695357398474,0.8329427122771622,0.18766492337183663,0.5558282512495749,nan,0.9120815179942218,0.968429899516893,1.1194885824888852,nan,0.15314465781352204,0.24321640814147616,2,0.06480632025467495,0.07380850048567078,0.2683883669131969,0.8090920066700031,0.9827913460457375,0.0022618368813061927,6400,0.8007602716139461,1.0,0.49000961815929883,2.9826369022795647,512,1024,1024,8960,nan,nan
50,0.17034914400028356,1.5628462761168622,0.5985476938852811,0.17664930248357205,0.7344889131451326,nan,0.871339003072064,0.9360568286518728,1.192604168276063,nan,0.14623117157435583,0.389447579715832,3,0.1738205988441796,0.07639945589921432,0.6856247386493272,0.7933609279664514,0.98131724963753,0.0026321257701329773,12800,0.8155390602555199,1.0000000000000002,0.4972473452346023,2.7199094600560176,768,2048,1536,17152,nan,nan
75,0.24729782800022804,1.621975295914619,0.6625424555081314,0.1772136071040984,0.7218514792779707,nan,0.8326378811763032,0.9073849382900974,1.2599771805335993,nan,0.13474602451507245,0.5241936042309044,4,0.01338260032803998,0.05652346932573324,0.010221595318103143,0.7916101738272233,0.9807718634551111,0.0026358738550697662,19200,0.7847796075243497,1.0,0.4928236945257913,3.1659897585342796,1024,3072,2048,25344,nan,nan
100,0.32421401700003116,1.5682627769298696,0.8845725585917863,0.17240987499022925,0.5392631603359528,nan,0.7958834193211176,0.8841483547840872,1.319968225894795,nan,0.11998209072239141,0.6441756949532959,5,0.0652146863217374,0.10561382863859023,0.1866360524512064,0.8013583466105325,0.9820656942620217,0.002537898404556653,25600,0.7799060013369095,1.0000000000000002,0.4955773988235348,3.9830692689725216,1280,4096,2560,33536,nan,nan
125,0.4020513000000392,1.4094540632242472,1.125003078376573,0.21601189947030952,0.2670426537286657,nan,0.7609880948670558,0.8734255966556201,1.3655863084773237,nan,0.09123616516505761,0.7354118601183535,6,0.12392067681888613,0.05876375793841751,0.49153107512233213,0.8429111682807574,0.9857960079968534,0.001969574419199642,32000,0.8097678265402934,1.0,0.513150460395389,3.5340544149398205,1536,5120,3072,41728,nan,nan
150,0.48217146900014995,1.278040113913363,1.1492512496879408,0.23473938215651688,0.1691947540065512,nan,0.7278518804302534,0.8714655982704752,1.4006825212992708,nan,0.0701924256438945,0.805604285762248,7,0.1683080944616096,0.04246504977362574,0.6901539283196788,0.8564485228760683,0.9869266008503939,0.0019475254808311079,38400,0.772160132733302,1.0,0.49401838668157594,3.5084353345546377,1792,6144,3584,49920,nan,nan
175,0.5594331870001952,1.1087676497898336,1.0680386409480456,0.21057801480737795,0.1266373845411933,nan,0.6963820033169766,0.8730051593864702,1.4306128372965528,nan,0.06293975422655362,0.8685440399888016,8,0.12400371462047569,0.061336964943131234,0.5767122744491041,0.8577986531304793,0.9870233486763569,0.0018654433145879321,44800,0.8005835532226314,1.0000000000000002,0.5024785203738038,3.1872113779538793,2048,7168,4096,58112,nan,nan
200,0.6374771730002067,0.8215018388493819,0.8011595348029494,0.18164734152973624,0.08795114871887527,nan,0.6664891948415577,0.878399721784581,1.455111083373861,nan,0.05978561695083806,0.9283296569396396,9,0.17328106451709302,0.06744887533186689,0.8016772154547556,0.8611928343771149,0.9873919610516546,0.0019948108751600153,51200,0.7515598887091353,1.0,0.4861837888131396,4.512379197743313,2304,8192,4608,66304,0.5365021348423445,0.7085144420651468
225,0.7244321090001904,0.5679391455756547,0.5520880377536429,0.1633931023678551,0.04755661076237783,nan,0.6380964198972732,0.8920299170632568,1.4698736630394698,nan,0.0567855498885691,0.9851152068282087,10,0.1391863094034198,0.050556551614511815,0.6576184790970316,0.8628529061862212,0.9873759723344169,0.0019595644811326307,57600,0.7510501678324201,1.0,0.4858830108838821,5.357338958404896,2560,9216,5120,74496,0.5365021348423445,0.7085144420651468
250,0.8038897129999896,0.43853017955736884,0.438765471547101,0.1294243502991464,0.03584668061551479,nan,0.6111282793914157,0.9057189665106591,1.483152754097925,nan,0.05393628101171499,1.0390514878399237,11,0.2982379377657373,0.08853947221756854,1.3187927348942945,0.8071138058658514,0.9816093260678789,0.002251150347885863,64000,0.7632972893397661,1.0,0.4809397135245704,4.088286649325051,2816,10240,5632,82688,0.5365021348423445,0.7085144420651468
275,0.8811769750000167,0.3567687564002336,0.37783484795349614,0.11078632136587123,0.022253379271607126,nan,0.5855214950080954,0.9240405154333902,1.4904379895585145,nan,0.05121356876664085,1.0902650566065646,12,0.07024016585349452,0.1001667352880912,0.3408773328932194,0.7986085863943512,0.9811651654862644,0.0024974067148986106,70400,0.7753650870204177,1.0,0.4836120657761937,4.313342042558826,3072,11264,6144,90880,0.5365021348423445,0.7085144420651468
300,0.9593037449999429,0.2816429165153874,0.30242125034725514,0.08628995894617697,0.020641243420930676,nan,0.5611940805073959,0.9381130135977334,1.5006929058948708,nan,0.04865482900139895,1.1389198856079634,13,0.015299188628164206,0.10139720141353625,0.004262967139952036,0.7826220368318247,0.9793925075845619,0.00268119610191678,76800,0.825304532466205,0.9999999999999999,0.5131198058927485,3.491777401374406,3328,12288,6656,99072,0.5365021348423445,0.7085144420651468
325,1.0448806100002912,0.2432368092075186,0.2789623668293438,0.0668327813510923,0.019672774783346732,nan,0.5380891411612587,0.947785511801964,1.5141253470367773,nan,0.04620987869227433,1.1851297643002376,14,0.04651648979151091,0.11089907808278546,0.12532139840992396,0.7984986814743544,0.9811488433084067,0.0025157181863499556,83200,0.8522695329426587,1.0,0.504982131436223,3.0864806159892493,3584,13312,7168,107264,0.5365021348423445,0.7085144420651468
350,1.12450532999992,0.20714166609847706,0.2506932707709207,0.05634689770481014,0.015576033182185483,nan,0.5161488302323262,0.9579899729956627,1.525861196772011,nan,0.04388062185786501,1.2290103861581025,15,0.14415430553334854,0.09976246831455737,0.6071593557210121,0.7934459173468513,0.9801420008941314,0.002363996095185948,89600,0.8406798989861242,1.0,0.5035676496388461,3.360227545683971,3840,14336,7680,115456,0.5365021348423445,0.7085144420651468
375,1.2024395560001722,0.15784243794816338,0.19145342978926794,0.04592489045035856,0.012066428045951667,nan,0.4953064143245561,0.9684911502692889,1.536202435406155,nan,0.041684831815540224,1.2706952179736428,16,0.07792563347287942,0.07716050483272477,0.2804166584001165,0.7998194300260861,0.9811824417630928,0.002583196983774198,96000,0.8528115488502572,0.9999999999999998,0.5183406275018144,3.2991115821216828,4096,15360,8192,123648,0.5365021348423445,0.7085144420651468
400,1.2814329510001699,0.1251120441333283,0.15238077009143186,0.03899576522589385,0.009349039683035956,nan,0.47550831953893585,0.9799445566081029,1.5445471238529611,nan,0.03959618957124034,1.310291407544883,17,0.020938687248145987,0.07352922516979889,0.12478496693462314,0.8015236312810996,0.981723929210889,0.002931213202540443,102400,0.839146518318907,1.0,0.5187901382757655,3.8018369648792425,4352,16384,8704,131840,0.2285090322993277,0.35167212515369395
425,1.359410513000057,0.10186455518414607,0.1295556995939867,0.031108294429163526,0.007657065677800633,nan,0.45670575833479277,0.9902061147532655,1.5530881269119416,nan,0.03760512240828623,1.3478965299531693,18,0.09565152992442949,0.09972453574244514,0.4603187751267429,0.8034279597634096,0.98234634600723,0.0034153325638035265,108800,0.8562913768042556,1.0,0.5160682669971073,3.0526657064705067,4608,17408,9216,140032,0.2285090322993277,0.35167212515369395
450,1.4378704139999172,0.0910943117808144,0.1267986373740798,0.024440202613304967,0.007085101966060193,nan,0.4388538055039509,0.9969556299426757,1.5641905645533734,nan,0.0357039056616838,1.383600435614853,19,0.04257615361654965,0.12464797599089864,0.2386397095550784,0.7560146890775321,0.9783405493409479,0.004236169796786527,115200,0.8482706042680644,1.0,0.49470207674915173,2.4831908891124885,4864,18432,9728,148224,0.2285090322993277,0.35167212515369395
475,1.515588690000186,0.07209478249061936,0.09917673894913508,0.021416860361916902,0.00554753813933986,nan,0.42189285061210585,1.0051265844063084,1.5729805649815858,nan,0.033921909783690196,1.4175223453985433,20,0.056754011625451684,0.07458927258659315,0.1510505377356687,0.7909028995310474,0.981593039174653,0.0033750432628047123,121600,0.8399675082783916,1.0,0.5029002342434893,3.2882692195048224,5120,19456,10240,156416,0.2285090322993277,0.35167212515369395
500,1.5954385939999156,0.06607080915889474,0.09490698287715979,0.018778166435565017,0.005416540472306916,nan,0.40578333702906794,1.010914197708279,1.5833024652626533,nan,0.03221902716607594,1.449741372564619,21,0.08259543639731247,0.08180785557755466,0.4155379671399246,0.7629943948976011,0.9788331827926313,0.004078070960313609,128000,0.846335064701049,1.0,0.502883623388756,2.6779149400694413,5376,20480,10752,164608,0.2285090322993277,0.35167212515369395
525,1.673777593000068,0.056181344202014004,0.08061677129841036,0.01846540362976384,0.0036661265748350064,nan,0.39048631460609473,1.0226709559300091,1.5868427294638963,nan,0.030594044845946355,1.4803354174105654,22,0.042916369276049665,0.06099437516385535,0.05328541590220839,0.7730514307274733,0.9792715955661904,0.003227354398743559,134400,0.7939742584474996,1.0000000000000002,0.4853170024657487,4.082639275203392,5632,21504,11264,172800,0.2285090322993277,0.35167212515369395
550,1.7615747620002367,0.05152551048102083,0.07544043394831917,0.015897815836800635,0.0042702192841864006,nan,0.37594854225088725,1.0284596751948323,1.5955917825542807,nan,0.02907554471041507,1.5094109621209806,23,0.10405774246925444,0.07678151691225402,0.4040512123930358,0.7343598397429906,0.975480403695454,0.0039502163779300764,140800,0.8277836478347381,0.9999999999999999,0.4911809236459689,3.858667456421166,5888,22528,11776,180992,0.2285090322993277,0.35167212515369395
575,1.838242057000116,0.0460866860338201,0.06765849573271784,0.016694095067670785,0.0026150715509862697,nan,0.3621509323145815,1.0431074751108032,1.5947415925746156,nan,0.029295599831941743,1.5387065619529223,24,0.02833185820108096,0.06315921404400249,0.08394871114209139,0.7453749864577355,0.9758741895994755,0.0035464716378315895,147200,0.8099292273621761,0.9999999999999999,0.48298566524000797,3.9800931054431405,6144,23552,12288,189184,0.2285090322993277,0.35167212515369395
600,1.9172617859999264,0.039835483005918756,0.057902495906090624,0.014707133731887595,0.0025764908972681676,nan,0.34903807642153606,1.0547774033236559,1.5961845202548082,nan,0.02622571178609079,1.564932273739013,25,0.08542873178084998,0.05003307600999146,0.31441126059876,0.7362344604902148,0.9752123579251769,0.00343158082502962,153600,0.8329980620535454,1.0,0.4917533044773132,3.2896570827824183,6400,24576,12800,197376,0.13049962926772593,0.21290037485299806
