step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.04195635000007769,0.7840670164826565,0.1522501422531126,0.5884638213681257,0.05228181124495069,nan,0.966370541912815,0.9896175599316197,1.0440118981555653,nan,0.08802379631113055,0.08802379631113055,1,0.04761506595422767,0.004230375986849121,0.0015832253148800651,1.0,1.0,0.0013020833333333333,192,1.0,1.0,1.0,1.0,192,0,384,768,nan,nan
10,0.0805800900000122,0.45094600792092077,0.008762795987010932,0.35132280839057406,0.08987903698294185,nan,0.8887983672448694,0.969251928098993,1.1419497046561378,nan,0.19587561300114487,0.2838994093122754,2,0.031154677930025798,0.009151410319509489,0.06458214667273951,0.7895679410857032,0.9789339451171998,0.0025026166573646038,1920,0.8267204231135272,0.9684224415770477,0.5208367242601273,3.711914763599719,384,768,768,3840,nan,nan
20,0.4104956080000193,0.442211501832493,0.008966184979921469,0.3548296376987597,0.0780276527138568,nan,0.8217026741981847,0.9569170409901344,1.221380284811681,nan,0.15886116031108655,0.44276056962336197,3,0.03906568860756949,0.00792804084154353,0.003076980124483716,0.7951039942606233,0.9793541415975967,0.0023325128082096152,3840,0.6933362180834869,1.061310985777733,0.5208367242601273,4.280743127659025,576,1536,1152,7104,nan,nan
30,0.4671017660000416,0.4487084391884216,0.002075043384826552,0.4194828009296201,0.02581939577161568,nan,0.7551526265887382,0.9886132590579553,1.2562341143533065,nan,0.13310009521889277,0.5758606648422547,4,0.030340512047763453,0.0025931291130793263,0.05223505112540507,0.7029540049293899,0.9667087996461641,0.0031394094404897576,5760,0.6476292863592604,0.9298951423233447,0.43515236041183425,4.531416802031375,768,2304,1536,10368,nan,nan
40,1.1159374070000467,0.44430334121666115,0.0028224780438954183,0.3828066942038014,0.04729750728814302,nan,0.696356325170707,0.9936577008319679,1.3099859739973252,nan,0.11759260283606254,0.6934532676783173,5,0.03281649179297398,0.005601314406664178,0.20232005456324262,0.8013814575820238,0.9809148410492103,0.0029201183383632807,7680,0.7005549678772,0.9409759337413348,0.4471321298221933,4.033492223926675,960,3072,1920,13632,0.884991330960117,0.9634071704697607
50,1.1606327080000938,0.44471009530046407,0.005246960191519601,0.3820415116212792,0.04447783233854332,nan,0.651004771614084,0.9977853184999175,1.3512099098859984,nan,0.0907031071132458,0.7841563747915631,6,0.02919245638866238,0.00731600965208863,0.15421599438791295,0.7958941308868949,0.9792171299257404,0.00238430370356607,9600,0.7281666934936758,0.9756714750345089,0.4471321298221933,4.033492223926675,1152,3840,2304,16896,0.884991330960117,0.9634071704697607
60,1.2319649960001016,0.4435068366160304,0.00403396027155753,0.38406279946115185,0.03957161549036609,nan,0.6098106331262986,1.0057245186370847,1.3844648482366166,nan,0.08238827697557083,0.8665446517671339,7,0.0283713789045629,0.00542971531294605,0.07958456363848329,0.8579756745789884,0.9862685911901459,0.0024336462618712684,11520,0.7379779075850436,0.972424572777201,0.45296933377384485,4.720736495303167,1344,4608,2688,20160,0.884991330960117,0.9634071704697607
70,1.2764852740000379,0.44192313595671595,0.005306017959997263,0.3824178275225527,0.03658182545059694,nan,0.5785673849308783,1.0128292591223167,1.4086033559468047,nan,0.06248649639084036,0.9290311481579743,8,0.025717506192641758,0.005969049004729276,0.015313828643472641,0.8507404488914171,0.9856058237894164,0.0023783929194476933,13440,0.7025407522220392,1.033494025482298,0.45296933377384485,4.931891589996517,1536,5376,3072,23424,0.884991330960117,0.9634071704697607
80,1.3856911450000098,0.4365596127232183,0.008122186036257827,0.3729074029886865,0.03777223145030814,nan,0.5590151058656224,1.0139721834878652,1.427012710646512,nan,0.039104558130511724,0.968135706288486,9,0.022703071981480395,0.006866504956670499,0.08427488139328339,0.8503296956438064,0.9854498164790536,0.0022491688450310475,15360,0.7019540763107233,1.0413009822705426,0.45296933377384485,4.931891589996517,1728,6144,3456,26688,0.892472881062865,0.9764922005176152
90,1.4274452840001004,0.4283479781363371,0.011754834683009752,0.36652284820311143,0.035452399137150564,nan,0.5518206780553244,1.012073375185086,1.4361059467595891,nan,0.018186472226154216,0.9863221785146402,10,0.026108680927381882,0.0067980746397535916,0.07968094308575512,0.8628161467287644,0.9866925466928286,0.002204603949012706,17280,0.741651329541963,1.0290980097770475,0.45296933377384485,4.931891589996517,1920,6912,3840,29952,0.892472881062865,0.9764922005176152
100,1.481784628000014,0.4174562887762804,0.017716990736217453,0.35690043617206557,0.03394516799267446,nan,0.5582857319386835,1.0053427722242922,1.436371495837024,nan,0.013461205921587727,0.9997833844362279,11,0.03258973776383141,0.006461531250207923,0.17626447960559505,0.8763617739644731,0.9881261010865083,0.0021558269975454347,19200,0.7304687371074765,1.07173015179142,0.45296933377384485,4.931891589996517,2112,7680,4224,33216,0.892472881062865,0.9764922005176152
110,1.571149546000015,0.4054585649546465,0.0267927852916232,0.3451087710060935,0.03316315676718065,nan,0.5789483560616779,0.9926640946752359,1.4283875492630858,nan,0.041325248245989044,1.041108632682217,12,0.03204764691795654,0.005238363723344519,0.11582641834239407,0.8778270557960974,0.9881801252780767,0.0021093191690571764,21120,0.7807480861153531,0.9837841830326216,0.606458913846339,4.848032561275505,2304,8448,4608,36480,0.892472881062865,0.9764922005176152
120,1.6125048060000609,0.3907487368702294,0.03185606239123657,0.33530601258739223,0.030780466757186657,nan,0.6076841053872181,0.9777626813418537,1.4145532132709278,nan,0.057471498651080255,1.0985801313332972,13,0.022666040741553345,0.005840239435367607,0.034816455109768836,0.8665037045572072,0.9870943279180836,0.0022228274226243814,23040,0.8166373684552551,0.9850377989565198,0.5944016506435331,4.493067214832461,2496,9216,4992,39744,0.9030774631832387,1.0605223719776902
