step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.0566671280000719,0.3899060219736881,0.005519052270157973,0.41083328565460303,0.004788587604867465,nan,1.0358841855060021,0.923010654157917,1.0411051603360808,nan,0.1539786916841659,0.1539786916841659,1,0.0033635503271913017,0.0006643271486505282,0.01662341055269814,1.0,1.0,0.0013020833333333333,192,1.0,1.0,1.0,1.0,192,0,384,768,nan,nan
10,0.092792658999997,0.30327643302966323,0.0023646863477119764,0.2946998465400406,0.04494775831435814,nan,0.9946386343456316,0.8439886454253069,1.1613727202290616,nan,0.24053511978596143,0.3945138114701273,2,0.039278344089104494,0.004528128810356221,0.14697837133482103,0.766674639016112,0.9758883496200239,0.0025961035774437493,1920,0.7931526775940158,0.9950744268840294,0.5087880101314091,4.0777876386704275,384,768,768,3840,nan,nan
20,0.14785627900005238,0.27232477184746345,0.0041472701661674155,0.2870406833306628,0.03714755112824606,nan,0.9888865465289135,0.7743936403224113,1.2367198131486752,nan,0.15069418583922733,0.5452079973093547,3,0.04190154173135012,0.007927854956074648,0.4118200816036518,0.7519002416383981,0.9727933064064386,0.0023880262518462566,3840,0.6881944892815025,1.0121062895781263,0.5087880101314091,4.497726212954769,576,1536,1152,7104,nan,nan
30,0.1878989100000581,0.241155941684894,0.0015664685077354079,0.30236919612006935,0.016894441564708196,nan,0.9841553148886669,0.7200556962083187,1.2957889889030143,nan,0.11813835150867835,0.663346348818033,4,0.009126611915878798,0.0013109576990588236,0.18423769895581635,0.8816283413677661,0.9883735887768178,0.002014063420146375,5760,0.7576911917442731,1.009393217141975,0.5372480573329368,4.13529372002579,768,2304,1536,10368,nan,nan
40,0.8288176220000878,0.2114463822282814,0.0023134344481941464,0.2765526196666828,0.01815596648744582,nan,0.999550079124556,0.6687930543722593,1.3316568665031845,nan,0.10252528367211855,0.7658716324901516,5,0.015583512240335063,0.002104783616723419,0.17137226857103796,0.9057019179765003,0.9910689193665717,0.0019712785088375024,7680,0.7394733741271162,1.0491764940189998,0.5532730024689061,4.358573123486409,960,3072,1920,13632,0.8655160546819758,1.0994500180346654
50,0.8808474900000647,0.18383064102752517,0.0038983673727096568,0.25599418490546155,0.015637898684868243,nan,1.0443993012082124,0.6206523890743553,1.3349483097174322,nan,0.09628133059580823,0.8621529630859598,6,0.015150438010765398,0.0035696231009049962,0.16920357850456094,0.9063551778207272,0.9912112637641288,0.0020566896786515833,9600,0.7873019119244974,1.043309370291227,0.5842107977634015,4.356861084838115,1152,3840,2304,16896,0.8655160546819758,1.0994500180346654
60,0.9189662009999893,0.1593020608385777,0.004920470909323359,0.23699281369334005,0.013139451758041387,nan,1.1052736639966696,0.5761268337739361,1.3185995022293941,nan,0.1217487255769143,0.9839016886628741,7,0.014617367341599557,0.006026509852468378,0.1655827171374324,0.8182708771754329,0.9831808570159788,0.0027477155539203544,11520,0.7843334609188052,0.9960013918780807,0.4862712514000746,4.356861084838115,1344,4608,2688,20160,0.8655160546819758,1.0994500180346654
70,0.9874450600000273,0.13882965338678233,0.006791097955138418,0.21854214608732944,0.010935388913592272,nan,1.181164770542288,0.5342724805059459,1.284562748951766,nan,0.15178221309123696,1.1356839017541112,8,0.022421924664915847,0.009770433712759112,0.24384487180029865,0.7579757760601149,0.975506500342034,0.002803438827066877,13440,0.7305021884200288,0.9988627790646033,0.4858022961183436,4.356861084838115,1536,5376,3072,23424,0.8655160546819758,1.0994500180346654
80,1.0456751899999972,0.12443270117198066,0.010759511994023556,0.204091045546619,0.007936283604665844,nan,1.2738552741404203,0.49464751721301353,1.231497208646566,nan,0.18538100719626444,1.3210649089503756,9,0.03480143567517312,0.017971343771499747,0.3222186434424889,0.7178977903907415,0.9711744283282157,0.003166100462172792,15360,0.7113071787171464,0.9684815766380958,0.4186803131254706,3.9640719704471845,1728,6144,3456,26688,0.7428916311278236,1.0554260196603267
90,1.0842712030000712,0.11686805356097303,0.015279557372055547,0.1962086096224553,0.005142677813389213,nan,1.3748504357291693,0.45797451180402865,1.1671750524668019,nan,0.2019903231774981,1.5230552321278736,10,0.05380194907051789,0.030527139428569296,0.44676743391898327,0.7282174757460304,0.9731172680640674,0.0030548032706111945,17280,0.6189160988576118,1.0321800819823654,0.4198130642283826,4.383633885653582,1920,6912,3840,29952,0.7428916311278236,1.0554260196603267
