step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.021313218999921446,0.3897475213842646,0.005519052270157972,0.41083328565460303,0.004788587604867463,nan,1.028934851689497,0.922632803277558,1.048432345032945,nan,0.15473439344488382,0.15473439344488382,1,0.003363550261910056,0.0006643271576491903,0.01662340955476295,1.0,1.0,0.0013020833333333333,192,192,0,384,768,nan,nan
10,0.09311818699984542,0.30399560502086836,0.0025312007414369174,0.295605990388996,0.04413283187057285,nan,0.9765292432973326,0.8439163846588905,1.1795543720437767,nan,0.2622440540216636,0.41697844746654744,2,0.04055712967497303,0.004815417076147855,0.1940665514901854,0.7618025073585221,0.9751640590928544,0.0026062445190276574,1920,384,768,768,3840,nan,nan
20,0.18170832199984943,0.27339191863281265,0.004222954695126284,0.2877994026604952,0.036526746520912395,nan,0.9576083056782263,0.7750388021495126,1.267352892172261,nan,0.17559704025696854,0.592575487723516,3,0.04243658432087802,0.007874097797205333,0.45187165911401844,0.762553001688289,0.9744627766145542,0.0023611462848658242,3840,576,1536,1152,7104,nan,nan
30,0.2927030039998044,0.24184944849505396,0.0015188345305749802,0.3036251748649237,0.016310258096596898,nan,0.9513119146243879,0.7204287685653993,1.3282593168102128,nan,0.12181284927590352,0.7143883369994195,4,0.011334080734343699,0.0012216919553609028,0.2881805177614806,0.887513477654691,0.9890884875791576,0.0020463729133869133,5760,768,2304,1536,10368,nan,nan
40,0.9795783899999151,0.21202910337076064,0.0022269832729767346,0.2782239132736816,0.017280356610791678,nan,0.9622003201507848,0.6693876500236323,1.368412029825583,nan,0.10208223708353414,0.8164705740829536,5,0.013770118868493992,0.0018799190657448482,0.16721509581549518,0.8935542589759895,0.9897092736334514,0.002077586045550148,7680,960,3072,1920,13632,0.867549011610028,1.100941144734495
50,1.0584085769999092,0.18403389385141625,0.0038218359238398774,0.2569771545641161,0.015012733193379724,nan,1.0064108777385035,0.6209935087306544,1.3725956135308424,nan,0.09678828258595584,0.9132588566689095,6,0.013388821033172342,0.0026185365467597636,0.12106398488379717,0.9056573855488604,0.9912100199679457,0.002101901386595637,9600,1152,3840,2304,16896,0.867549011610028,1.100941144734495
60,1.154353436999827,0.15928123117979534,0.004946330206059005,0.23740968513853414,0.012693339346331737,nan,1.0664591007535975,0.5761177767717047,1.357423122474698,nan,0.1200964460301881,1.0333553026990976,7,0.008778808691032307,0.004912697633057577,0.0318321805205653,0.7963076619974315,0.9814090007087332,0.0029378941912449955,11520,1344,4608,2688,20160,0.867549011610028,1.100941144734495
70,1.2312728399999742,0.13869357627451867,0.006865991807285894,0.21795798971746705,0.010883947870538983,nan,1.13763533392074,0.5341698093301617,1.3281948567490989,nan,0.14235246633428456,1.1757077690333821,8,0.01955174026719916,0.009638001673097798,0.1837440684357403,0.7538397234657056,0.974908915153743,0.0029250042478737976,13440,1536,5376,3072,23424,0.867549011610028,1.100941144734495
80,1.3043142889998762,0.12477746262233738,0.01137513568136425,0.2040466752256086,0.007731646769440459,nan,1.2259886062169536,0.4946928779973813,1.2793185157856655,nan,0.17670654459242746,1.3524143136258095,9,0.032697987346929275,0.020319641372782745,0.2847300638239739,0.7151845131609579,0.9706882301433009,0.0031066554338841216,15360,1728,6144,3456,26688,0.7431905216796829,1.0527695332993483
90,1.4051065859998744,0.11565483280953427,0.014746739168455926,0.19596426751969415,0.0051992812650946355,nan,1.319479235423276,0.4584662955022679,1.2220544690744564,nan,0.18698125841264496,1.5393955720384545,10,0.050319965243142147,0.02888829704756823,0.4124988181234332,0.7173776698198938,0.9712919130997393,0.00312260669830947,17280,1920,6912,3840,29952,0.7431905216796829,1.0527695332993483
100,1.4756386369999746,0.11000771044095499,0.01639729353609256,0.19559089555583514,0.0030340407749590162,nan,1.4162187184703832,0.42574594142286276,1.1580353401067545,nan,0.19347896609421417,1.7328745381326687,11,0.05727660702765467,0.03235918682492521,0.4258448038575086,0.7306991001281712,0.9734163983816279,0.003206961778954688,19200,2112,7680,4224,33216,0.7431905216796829,1.0527695332993483
110,1.5442236399999274,0.10366751400643903,0.015137101792801838,0.1965115690806024,0.0027350232897290485,nan,1.5021527971517503,0.3965011705094819,1.1013460323387683,nan,0.1718681573627342,1.9047426954954028,12,0.05392061489697863,0.030073044108426077,0.39361854560848786,0.7460352108068796,0.9755735136838397,0.0031216083262768945,21120,2304,8448,4608,36480,0.7431905216796829,1.0527695332993483
120,1.6666625209998074,0.09954153848471355,0.014668978337551208,0.19719558287759542,0.0032692511561066484,nan,1.5718005864193947,0.3703245789783591,1.0578748346022468,nan,0.13929557853528862,2.0440382740306915,13,0.05597099968985487,0.03165796080704855,0.4635318526992604,0.7088145908495823,0.9711953283106161,0.0034484667047765477,23040,2496,9216,4992,39744,0.7324601259693667,1.0415609944545157
