step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,vrba_attention_effective_sample_fraction,vrba_multiplier_mean,vrba_multiplier_min,vrba_multiplier_max,vrba_temperature,vrba_local_updates,kde_pairwise_distance_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.01578473400013536,0.5012729440496742,0.10275027079702602,0.3245490342951384,0.07396050078964386,nan,1.0,1.000023210840952,1.0000757852068314,nan,9.899604778329518e-05,9.899604778329518e-05,1,0.0355471256752829,0.020234330642776827,0.047495700183409026,1.0,1.0,0.0013020833333333333,192,1.0,1.0,1.0,1.0,0.9999955369790915,1.0068856980049528,1.0050613904754382,1.009,0.3995178450592795,1,0,0,0,384,576,nan,nan
10,0.08704763100013224,0.41081530228364094,0.023620058056455926,0.34374714159992675,0.04335893766111262,nan,1.0,1.0001765036543142,1.0006571272505769,nan,6.713079431741598e-05,0.0008336309048910806,10,0.12427843048575113,0.029241681223477357,0.11422714854600081,1.0,1.0,0.0013020833333333333,1920,1.0,1.0,1.0,1.0,0.9998556994857138,1.0521119860126518,1.0355310916223823,1.063125175537356,0.07483071437569391,10,0,0,0,768,2688,nan,nan
20,0.19322280900018995,0.42818349964848534,0.0034724836934889136,0.3555101333345676,0.06904607500515225,nan,1.0,1.0002142655769222,1.0011388631641998,nan,4.2109607401918936e-05,0.0013658147804884724,20,0.09343007932124786,0.020398767527785588,0.08568661232395898,1.0,1.0,0.0013020833333333333,3840,1.0,1.0,1.0,1.0,0.9981348383963056,1.0997757262216838,1.0607801635964298,1.15016714131472,0.02994810910430578,20,0,0,0,1152,4992,nan,nan
30,0.5215030609999758,0.46290094664654347,0.00311885326492724,0.3964157920394419,0.06325928253389844,nan,1.0,1.0000536133082079,1.001355779623218,nan,3.5142362519113846e-05,0.001743383508221008,30,0.08531311439896237,0.018957981510962965,0.24704079061075132,1.0,1.0,0.0013020833333333333,5760,1.0,1.0,1.0,1.0,0.9980614725881813,1.1342005116960892,1.0802927411788994,1.183291552466781,0.021961730124537452,30,0,0,0,1536,7296,nan,nan
40,1.2087096300001576,0.4858372928208166,0.006169488283599965,0.4174188395438112,0.06230272016013305,nan,1.0,0.999677016328813,1.0013011358457944,nan,6.28871847149215e-05,0.0021952714277301277,40,0.10134719836939221,0.02159423345000825,0.5730222785420969,1.0,1.0,0.0013020833333333333,7680,1.0,1.0,1.0,1.0,0.9948132817333714,1.1717113907303556,1.0926642088686054,1.2669441898061942,0.02649118589310953,40,0,0,0,1920,9600,0.8710954533329298,1.0475116977278802
50,1.3033827720000772,0.4924958611594055,0.004515525584061341,0.42069635435831954,0.06759726405474513,nan,1.0,0.9990951081434758,1.000997109400067,nan,0.00011030332758765748,0.0030812060587948054,50,0.0788480470285755,0.01966608019017059,0.05413178452885571,1.0,1.0,0.0013020833333333333,9600,1.0,1.0,1.0,1.0,0.9923522458937885,1.2065665273119908,1.1068581260262385,1.3137147261622941,0.02442873409166209,50,0,0,0,2304,11904,0.8710954533329298,1.0475116977278802
60,1.3953881700001602,0.4765594736463193,0.005912245469980186,0.40805069582652886,0.0632633919231756,nan,1.0,0.9982979823063767,1.0004370605177206,nan,0.00015585968990616816,0.004438380778240214,60,0.0834615593102407,0.022597396672526096,0.4050683046992572,1.0,1.0,0.0013020833333333333,11520,1.0,1.0,1.0,1.0,0.9920295900508286,1.2334697524927647,1.1236526079559321,1.3290482073049086,0.02527409498027985,60,0,0,0,2688,14208,0.8710954533329298,1.0475116977278802
70,1.4782811869999932,0.43504428633088826,0.010569586380612351,0.3692809062481742,0.056209692640428896,nan,1.0,0.9973023600740167,0.9996493127643499,nan,0.00019551357607827669,0.006221750763970912,70,0.07691611128544751,0.02186570435255639,0.25544951900246016,1.0,1.0,0.0013020833333333333,13440,1.0,1.0,1.0,1.0,0.9913683635840013,1.2545650140413545,1.1359863053324295,1.3654348734584394,0.0451063260403069,70,0,0,0,3072,16512,0.8710954533329298,1.0475116977278802
80,1.6655724610000107,0.3825693630813471,0.02342930839119196,0.3147618037172828,0.04565295577236511,nan,1.0,0.9961414741276178,0.9986816135955785,nan,0.00022539345573702185,0.008350335879141246,80,0.07184415074619656,0.021464654619141897,0.3691995413253748,1.0,1.0,0.0013020833333333333,15360,1.0,1.0,1.0,1.0,0.9907592103351505,1.2710158677647294,1.1461130209526278,1.4043454182278432,0.06605901904699833,80,0,0,0,3456,18816,0.6980195694158325,1.1022243059769516
90,1.7536119290000443,0.3476676160539726,0.05222445392406901,0.266206094943954,0.03067725930409114,nan,1.0,0.9948656855589373,0.9976071421555562,nan,0.00024010989789247095,0.010700595887844,90,0.06265956940661724,0.016283535882813664,0.40347306003539257,1.0,1.0,0.0013020833333333333,17280,1.0,1.0,1.0,1.0,0.9905113586114297,1.286539241010126,1.157272323623332,1.4496254992786197,0.09675924216053697,90,0,0,0,3840,21120,0.6980195694158325,1.1022243059769516
