step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.012191075000146157,0.7752069918803361,0.1522501422531126,0.5884638213681257,0.05228181124495069,nan,0.9647412529833485,0.9733970468537684,1.0618617001628832,nan,0.12372340032576634,0.12372340032576634,1,0.04769397842192408,0.004227132833094813,0.0015829434454770223,1.0,1.0,0.0013020833333333333,192,1.0,1.0,1.0,1.0,192,0,384,768,nan,nan
10,0.06756642000004831,0.4434769868951138,0.010363273478787674,0.353235382120366,0.08807063811654459,nan,0.8860357892977562,0.9357072699791786,1.1782569407230652,nan,0.23279048112036405,0.3565138814461304,2,0.03754945467989165,0.00824363756912695,0.16352061429896395,0.790391021929535,0.979051723299173,0.0025017610401918476,1920,1.0,1.0,1.0,1.0,384,768,768,3840,nan,nan
20,0.10845933600012359,0.4260850267375717,0.008988027653750407,0.3663145587835549,0.06676978782581641,nan,0.8164626023305792,0.9112237501750902,1.2723136474943306,nan,0.18811341354253086,0.5446272949886612,3,0.04901141593503007,0.007239839105005974,0.18632413640284737,0.7967062529956098,0.9795924665611994,0.0023609372545082695,3840,1.0,1.0,1.0,1.0,576,1536,1152,7104,nan,nan
30,0.1894112940001378,0.42844675824241724,0.0027313653851918584,0.4287119591549914,0.021564456657349497,nan,0.7516228990980778,0.9281863909591718,1.3201907099427506,nan,0.12967940646500298,0.6743067014536642,4,0.034055744132174326,0.0019224861819522165,0.09748090316679599,0.8484467446083058,0.9865083114167176,0.0025163469869988893,5760,1.0,1.0,1.0,1.0,768,2304,1536,10368,nan,nan
40,0.83148436700003,0.42023791174847797,0.0025163326145574505,0.3936461677293002,0.03976430199040094,nan,0.690477515525031,0.9230873993732099,1.3864350851017593,nan,0.13248875031801732,0.8067954517716815,5,0.030876305857979083,0.0039811160753667205,0.037688971625948205,0.8231210486551883,0.9828861719130919,0.0028752253069464833,7680,1.0,1.0,1.0,1.0,960,3072,1920,13632,0.8930700978245761,0.971240586966606
50,0.9080362180000066,0.4178139561995895,0.004960618404737011,0.3943913159368013,0.036447186057204574,nan,0.6441843194592369,0.918454931203573,1.4373607493371903,nan,0.10185132847086198,0.9086467802425435,6,0.033296313161423625,0.005175889056503552,0.004099278531328969,0.7812720275897943,0.9776021359341482,0.002455650100674053,9600,1.0,1.0,1.0,1.0,1152,3840,2304,16896,0.8930700978245761,0.971240586966606
60,0.955676553000103,0.4151329231189343,0.0033780738408616413,0.3996693053545383,0.030376548792454813,nan,0.6003109632457673,0.9212494726761127,1.47843956407812,nan,0.0877467124269391,0.9963934926694826,7,0.035690441593483904,0.00395536454846824,0.3971674581956301,0.8389592211407062,0.9844870629682883,0.00253148858046289,11520,1.0,1.0,1.0,1.0,1344,4608,2688,20160,0.8930700978245761,0.971240586966606
70,1.0029435250000915,0.4125963308822176,0.0044555871365184315,0.3972007460820582,0.02870962628024595,nan,0.5665297869441316,0.9232463671121476,1.510223845943721,nan,0.06756235260327148,1.063955845272754,8,0.02928672496377763,0.004379126364334582,0.15001928324906127,0.8577272469780973,0.9862394894732952,0.002317640548168762,13440,1.0,1.0,1.0,1.0,1536,5376,3072,23424,0.8930700978245761,0.971240586966606
80,1.0638716190001105,0.4077282335720331,0.007224639012708776,0.38951545200365945,0.02936490493998535,nan,0.5437942578029894,0.920929513876101,1.5352762283209096,nan,0.05010476475437742,1.1140606100271313,9,0.028495745400338512,0.004963261893559359,0.11561483106605457,0.866938163068793,0.9871871899284035,0.002136294262964626,15360,1.0,1.0,1.0,1.0,1728,6144,3456,26688,0.9037115949777837,0.9744772667906023
90,1.1065350180001587,0.4016773901097276,0.011234279472490697,0.38567990259713036,0.02692974454461132,nan,0.5325149529218637,0.9177591115420801,1.5497259355360562,nan,0.028899414430293202,1.1429600244574245,10,0.04107117701133306,0.00717577995099836,0.44453899985427886,0.8581690887249959,0.9859975023342953,0.00219246670747005,17280,1.0,1.0,1.0,1.0,1920,6912,3840,29952,0.9037115949777837,0.9744772667906023
100,1.335964069000056,0.3930683052792921,0.015227287865040543,0.37862497201957873,0.02559926576529526,nan,0.5337177051553278,0.9115659583000902,1.554716336544582,nan,0.012386306483979759,1.1553463309414043,11,0.03686705838239362,0.007913608342684184,0.2964628919331809,0.8702311634619799,0.9871293586330944,0.0020751253426962903,19200,1.0,1.0,1.0,1.0,2112,7680,4224,33216,0.9037115949777837,0.9744772667906023
110,1.4130827769999996,0.3831204477331599,0.021953303126280455,0.3690698195950271,0.024732215359544236,nan,0.5474000117031518,0.9015715229035316,1.5510284653933166,nan,0.02736461309564797,1.1827109440370522,12,0.04017437866477542,0.011702424663555151,0.2929255159304903,0.8516543148944423,0.9854378924493394,0.0022930529522100854,21120,1.0,1.0,1.0,1.0,2304,8448,4608,36480,0.9037115949777837,0.9744772667906023
120,1.465664365000066,0.37167249657518103,0.028208857048694563,0.3577807539508533,0.024593633938882017,nan,0.5706365240861034,0.8878753068207643,1.5414881690931324,nan,0.046473024765903204,1.2291839688029556,13,0.06043167410756681,0.01473660643235257,0.4480103182353723,0.8686053653082625,0.9874191490472356,0.002169724084181996,23040,1.0,1.0,1.0,1.0,2496,9216,4992,39744,0.9103436831176759,1.0446404608426911
