step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.012386113000047771,0.7840670164826565,0.1522501422531126,0.5884638213681257,0.05228181124495069,nan,0.966370541912815,0.9896175599316197,1.0440118981555653,nan,0.08802379631113055,0.08802379631113055,1,0.04761506595422767,0.004230375986849121,0.0015832253148800651,1.0,1.0,0.0013020833333333333,192,1.0,1.0,1.0,1.0,192,0,384,768,nan,nan
10,0.16489050000018324,0.45280107468451614,0.011232920951231915,0.35132280839057406,0.08987903698294185,nan,0.8910407943971832,0.9686245729908627,1.1403346326119541,nan,0.19264546891277767,0.2806692652239082,2,0.045492306378748376,0.00936742830795431,0.29462610763224817,0.7895679410857032,0.9789339451171998,0.0025026166573646038,1920,0.8267204231135272,0.9684224415770477,0.5208367242601273,3.711914763599719,384,768,768,3840,nan,nan
20,0.21069746500006659,0.4414717985191023,0.008609677945952935,0.3560938077761623,0.07673178691093864,nan,0.8232992797146832,0.9570424791521357,1.2196582411331809,nan,0.15864721704245377,0.439316482266362,3,0.05494401457450764,0.008468655247928884,0.3854505932626241,0.8011756907507889,0.980178515603302,0.0023246340477410224,3840,0.7440379544153796,1.0004570571306133,0.5208367242601273,3.711914763599719,576,1536,1152,7104,nan,nan
30,0.24960234900004252,0.4513723352027065,0.002882608581155959,0.42319655254173916,0.024215640194486233,nan,0.7593145956009821,0.9898315550192154,1.2508538493798023,nan,0.12796936822740212,0.5672858504937641,4,0.0286568014295447,0.002242313455171073,0.018802902562613393,0.826871301868474,0.9841788452760755,0.0025722243965251835,5760,0.7605589455634404,0.9907283752959056,0.5160757972388534,3.711914763599719,768,2304,1536,10368,nan,nan
40,0.948557762000064,0.44452406913235054,0.003698459703346466,0.38089967734118957,0.04887375020042768,nan,0.7020350721604044,0.9927461379102251,1.3052187899293703,nan,0.11455904688115559,0.6818448973749197,5,0.03589410088752881,0.005979295507474782,0.3150641037955121,0.8080193444030294,0.9814593597783936,0.002866926134093178,7680,0.7658339408832369,0.9554804237944294,0.4574718091504776,4.011342693729594,960,3072,1920,13632,0.8833013903190138,0.9616200711120538
50,0.9915928150001037,0.44542266046566503,0.007008569928415888,0.3833423928632346,0.04380516959507057,nan,0.6592702696156818,0.9962561765914807,1.3444735537928372,nan,0.08552960508944496,0.7673745024643647,6,0.04132378800717984,0.005841219367288214,0.09597141565815222,0.7925781387422771,0.9787362472197334,0.002362982055773617,9600,0.7029640247744907,1.018258572520376,0.46160728906773957,4.5306768105153035,1152,3840,2304,16896,0.8833013903190138,0.9616200711120538
60,1.0912228770000638,0.443776466075228,0.005006238680088587,0.38427148243170206,0.04006393462464095,nan,0.619186591030402,1.0031503365990673,1.3776630723705303,nan,0.08016735717055956,0.8475418596349242,7,0.036650439604228036,0.0057812414464785775,0.3356422806734085,0.8408375460753392,0.9847776052963918,0.0025567972580825362,11520,0.72178170397624,1.010808595003889,0.46160728906773957,4.014447967798668,1344,4608,2688,20160,0.8833013903190138,0.9616200711120538
70,1.1891049870000643,0.44277660849560807,0.005786457991826266,0.3860164239994049,0.03485810201905881,nan,0.587952410744832,1.0117802238741878,1.4002673653809798,nan,0.062468360571140025,0.9100102202060643,8,0.030705150658646107,0.0055626688132071915,0.1529166473752579,0.8541548706659011,0.98590895690931,0.002261496516629557,13440,0.7586556209337311,1.0204115670477163,0.46160728906773957,4.014447967798668,1536,5376,3072,23424,0.8833013903190138,0.9616200711120538
80,1.2306813780000994,0.43793626315053347,0.009696063451225099,0.3732072473420561,0.038716059449481297,nan,0.569410586579394,1.0114238879579713,1.419165525462634,nan,0.03779632016330858,0.9478065403693728,9,0.03492082977102347,0.006452726789917564,0.23189999057208743,0.8517776183913327,0.9855846232469361,0.0022455523128951335,15360,0.7541915876118491,1.018058605685899,0.46160728906773957,4.599181918879119,1728,6144,3456,26688,0.8919481657488403,0.9752124935087204
90,1.2804216850001922,0.4312317266909,0.013748168272440414,0.37040071366529825,0.034667465298219895,nan,0.56332252366147,1.0097708333592306,1.426906642979299,nan,0.015482235033329683,0.9632887754027025,10,0.0464132366056822,0.00804159984799886,0.4796493550936007,0.8578997060730899,0.9862277862341099,0.0022837398185247553,17280,0.7820668601761803,0.9758745499398888,0.46160728906773957,3.652192741910203,1920,6912,3840,29952,0.8919481657488403,0.9752124935087204
100,1.318660895999983,0.4216274717453644,0.01824477390553343,0.36240988192683243,0.03309748655383351,nan,0.5680981108919776,1.0044347395619029,1.427467149546119,nan,0.010672187594655491,0.973960962997358,11,0.037719069453014044,0.00808697515082367,0.25499566596055445,0.8775868121890243,0.9882111611815113,0.002065950299298601,19200,0.7569768105223501,1.028935499487445,0.46160728906773957,3.9637151914611133,2112,7680,4224,33216,0.8919481657488403,0.9752124935087204
110,1.360076428000184,0.41108180353869533,0.02626730092942428,0.35219574090153155,0.0321766692338899,nan,0.5858031440246023,0.9937330319464723,1.4204638240289251,nan,0.03541006626524923,1.0093710292626072,12,0.04266237506787633,0.01379066869784578,0.2935646651271871,0.8809611836418237,0.9884731152245798,0.002011742366764449,21120,0.7675929406574573,0.9905917943372909,0.5855017803884022,4.054625563495658,2304,8448,4608,36480,0.8919481657488403,0.9752124935087204
120,1.417759353000065,0.3984629203942593,0.032730159895942405,0.3430837810451861,0.029920391605540907,nan,0.612729679730649,0.9802554433397608,1.40701487692959,nan,0.05385307141209328,1.0632241006747005,13,0.04506567697129572,0.01746258652431089,0.28810458309619513,0.8677720775304324,0.9872496890576349,0.002189399124992778,23040,0.7584133572687772,0.9513090914914596,0.6006071842594142,4.51605253792343,2496,9216,4992,39744,0.9004373772549402,1.0497384710287174
