step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.0398453170000721,0.7897429997030392,0.14899736708996278,0.5884638213681257,0.05228181124495069,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.04186401402485891,0.004995847635547879,0.03217558167466802,1.0,1.0,0.0013020833333333333,192,0.8214880233172851,0.9999999999999999,0.5244092401575603,3.3501326945445307,0,0,384,576,nan,nan
10,0.07655244300008235,0.4508897482631173,0.00991773670529352,0.349019560148015,0.0919524514098088,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.02732686395339458,0.008457802902963527,0.04699234420152994,0.7884965088658582,0.9787524648703965,0.0024962556859158486,1920,0.788354409626792,1.0,0.5064954965966311,3.6193300611769863,0,768,768,3456,nan,nan
20,0.12772712700007105,0.44714870840343957,0.012329349799928118,0.3409950599694911,0.09382429863402038,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.03715855442804839,0.008795645929052097,0.05695624243594681,0.7802105151560942,0.9776022835231989,0.002410520462504651,3840,0.7705761721445663,1.0000000000000002,0.4880810667188919,3.423071503933279,0,1536,1152,6528,nan,nan
30,0.16511857400018926,0.4402567294588606,0.003204202038695989,0.39684804888375064,0.04020447853641395,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.030728013409261977,0.004880324839371354,0.07419861123441569,0.7058262471355191,0.9669664579947177,0.0030306573454115197,5760,0.8478625178813392,1.0000000000000002,0.5219112744123722,2.995880619900454,0,2304,1536,9600,nan,nan
40,0.8334489500000473,0.43248235740877694,0.004279064833051376,0.36813642399867974,0.060066868577045865,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.033363272126386054,0.007586676012647864,0.12007589978648013,0.8516250765018891,0.9854076407778831,0.0024602335099187032,7680,0.8700616574592206,1.0,0.5242820501058576,2.782951592226201,0,3072,1920,12672,0.872673094128894,0.9611777421592023
50,0.8721927900000992,0.43096147536071544,0.0066935846399301035,0.3578402242850205,0.06642766643576486,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.03399855221706703,0.008866092520236232,0.03690362088197748,0.8075752860271743,0.9807138647355625,0.0024006858564702043,9600,0.871932338353286,0.9999999999999999,0.5166885538202997,2.432814818750368,0,3840,2304,15744,0.872673094128894,0.9611777421592023
60,0.9108447920000344,0.42748197797237386,0.00531764529503459,0.368675764447581,0.053488568229758296,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.03613037519296288,0.0075398947336337944,0.36642641300434126,0.855111287983621,0.9860152656121507,0.00234290841810327,11520,0.8501895097766252,1.0,0.5136256640110975,2.49247796495844,0,4608,2688,18816,0.872673094128894,0.9611777421592023
70,0.9477448950001417,0.4239998892104994,0.007047654392592149,0.36040591217526685,0.05654632264264043,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.033705390053334505,0.008507422687349202,0.18881595240222995,0.8677405792363406,0.98718549512304,0.0020799851684035297,13440,0.8220181170042692,1.0,0.5077922343339956,2.821864054418939,0,5376,3072,21888,0.872673094128894,0.9611777421592023
80,0.9870956180000121,0.4203089581536458,0.008858040017212711,0.35546244861998777,0.05598846951644529,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.03511773793721056,0.008535191399506991,0.2640276119558095,0.8811563550603166,0.9885249153823393,0.0019980521025676455,15360,0.8596282330231012,1.0,0.5203781223677603,2.772647651484252,0,6144,3456,24960,0.8726020301738664,0.9720659639157676
90,1.0646462830000019,0.41527118898031945,0.009968100611813026,0.3533258071941513,0.05197728117435514,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.03581731011597246,0.008172723638344944,0.32195376436610146,0.8748862672298378,0.9876292198717507,0.002011814732434514,17280,0.8919223577830869,1.0,0.5340719689100314,2.3150077026577445,0,6912,3840,28032,0.8726020301738664,0.9720659639157676
100,1.1032151770000382,0.4087038289694823,0.011918665708593413,0.3444264545110066,0.05235870874988227,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.034798806054650924,0.007903781236099453,0.2634462834351037,0.8878683071275816,0.9888633310528363,0.0018930193502298069,19200,0.8370893130194736,1.0,0.5116546831609141,3.3294697108288562,0,7680,4224,31104,0.8726020301738664,0.9720659639157676
110,1.157605631000024,0.40017395057840865,0.013707112253861,0.33627570268520185,0.05019113563934581,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.03595991426602837,0.007250666291115647,0.28993454588614864,0.8878066202141165,0.9889931658731779,0.0018582267934366794,21120,0.8539125042190986,1.0,0.519236184574339,2.7964966302024648,0,8448,4608,34176,0.8726020301738664,0.9720659639157676
120,1.200099112000089,0.3867613525684022,0.014198356423868427,0.32298678535307035,0.04957621079146347,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.03387706966295431,0.006659228952807052,0.23212407124325146,0.9082875455671476,0.9911408503454275,0.0018116239530964436,23040,0.862319868833938,1.0000000000000002,0.524906385390353,2.7908170620607304,0,9216,4992,37248,0.8558392305781408,1.02404496077726
