step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.011779724000007263,0.4921764416482265,0.10097403854550722,0.31960547722381305,0.0728742096323711,nan,0.9893987299038569,0.996030540080866,1.014570730015277,nan,0.029141460030554178,0.029141460030554178,1,0.034318135691668195,0.02130927727516052,0.07159461323364275,1.0,1.0,0.0013020833333333333,192,0.8319269325030958,1.0,0.5119700913276158,2.8719440821885915,192,0,384,768,nan,nan
10,0.06623306000005869,0.36962445369814767,0.02045722212929452,0.30481176760027595,0.03658452631429397,nan,0.9484087364876382,1.0258695187746896,1.0257217447376723,nan,0.08197998683243746,0.11112144686299164,2,0.12479072371158875,0.029097861369317357,0.025946212128855096,0.9631607145850573,0.9970230272765823,0.0016424274576923438,1920,0.7914336430573554,0.9999999999999997,0.5039842389931859,3.6063612161867287,384,768,768,3840,nan,nan
20,0.15797486199994637,0.3593149141628533,0.004092800283535637,0.28319378282526886,0.05384840963784891,nan,0.882614733840467,1.0538024630613778,1.0635828030981553,nan,0.13158800529434256,0.2427094521573342,3,0.1108021889299765,0.022878533651052843,0.31312392212963047,0.7818468971832355,0.9781421150023606,0.0025486439074753763,3840,0.7864639019536742,1.0,0.5006174860496129,3.5089747324958998,576,1536,1152,7104,nan,nan
30,0.21657634300004247,0.3631853585665152,0.003126446866056974,0.2840614334365791,0.048308014032428986,nan,0.8227566178543527,1.083482693510808,1.0937606886348394,nan,0.11971623197222847,0.36242568412956266,4,0.08940847304610973,0.020204667624883536,0.0026262447361094666,0.8267241436508598,0.9829441587825116,0.0022130008264135363,5760,0.8817960875692171,1.0,0.5190282938810657,2.445410569155777,768,2304,1536,10368,nan,nan
40,1.2044514490000893,0.3567571831558207,0.0052250220991780375,0.2763879386887623,0.04159313968018272,nan,0.7799771694798581,1.1088153001033982,1.111207530416744,nan,0.08555889674898942,0.4479845808785521,5,0.11269384376876963,0.024023759571789965,0.15447478284637642,0.7662254715279766,0.9742424636516278,0.0022205494918882507,7680,0.8363932673494093,1.0000000000000002,0.5207181633257544,3.3373604561436148,960,3072,1920,13632,0.8808679720900419,1.0764913892272066
50,1.2562050779999936,0.34282663076633274,0.0031022726955081,0.2583985855666401,0.04249031879559114,nan,0.7362622202476653,1.1317565941629308,1.131981185589404,nan,0.08742989846438542,0.5354144793429375,6,0.09924803011516298,0.024199263129825874,0.19143821549827547,0.9121497195738475,0.991788303232091,0.0019872751379817017,9600,0.8575353875395796,1.0,0.5310145499462741,3.355043863252081,1152,3840,2304,16896,0.8808679720900419,1.0764913892272066
60,1.309100232999981,0.3181797684372666,0.00356238350447889,0.23586071137109837,0.03888050414002846,nan,0.7036183134348942,1.1492968541092496,1.147084832455856,nan,0.06528781362554192,0.6007022929684794,7,0.1003271220015933,0.028197770479413097,0.05452647245976615,0.8711148407203219,0.9882221002498757,0.0022313034367710846,11520,0.8506978701035505,1.0000000000000002,0.5177607918595598,2.911229628827124,1344,4608,2688,20160,0.8808679720900419,1.0764913892272066
70,1.3905394650000744,0.2814295634662062,0.005339879807139357,0.20694241457595414,0.03291038391669147,nan,0.6888909150269849,1.1589331041870572,1.1521759807859577,nan,0.02945479681581864,0.6301570897842981,8,0.10909738320359623,0.03490086336964514,0.12579701187744818,0.825028980226535,0.9833159357191622,0.0023180424092549045,13440,0.8730735294228712,1.0,0.5430465276211845,2.595743963776734,1536,5376,3072,23424,0.8808679720900419,1.0764913892272066
80,1.4472826950000126,0.2372820034633285,0.011615193194467183,0.17209474214986642,0.026855174963622008,nan,0.7050489287062526,1.1530013111204598,1.1419497601732875,nan,0.03231602735853534,0.6624731171428334,9,0.11531177681733171,0.04944326604871936,0.18191803047023128,0.6982225243351904,0.9678204330963065,0.003183267040589876,15360,0.7969997737903499,1.0,0.5241695425718239,4.349086431485239,1728,6144,3456,26688,0.757270342953993,1.1641167371331267
90,1.5914368549999836,0.20227477792684223,0.02810213855192928,0.14045720613924845,0.020158495338617778,nan,0.7595436221808533,1.1285719312191178,1.1118844466000293,nan,0.1089893869492009,0.7714625040920343,10,0.13685928960623256,0.09239047804478537,0.35089704654891896,0.7330027887496238,0.9734364014071496,0.003236748074413846,17280,0.8624910652844306,1.0000000000000002,0.5490669639952851,2.7158715519990357,1920,6912,3840,29952,0.757270342953993,1.1641167371331267
