id,problem,variant,seed,l2_original_budget,l2_double_budget,l2_difference,maximum_original_budget,maximum_double_budget
helmholtz__local_only__11,helmholtz,local_only,11,0.10522690033737535,0.03276192517568213,-0.07246497516169322,0.13399115509109996,0.03778908181552468
allen_cahn__global_only__11,allen_cahn,global_only,11,0.07372735836994848,0.028082492709579205,-0.04564486566036928,0.1523508269669931,0.06660965558559297
burgers__local_only__11,burgers,local_only,11,0.12176432591868475,0.1364346929781866,0.014670367059501865,0.9661556257421041,1.327081965109694
wave__full_quad__11,wave,full_quad,11,0.15713861998091438,0.040322317635861235,-0.11681630234505315,0.26727422728574746,0.06933149985130467
helmholtz__global_only__11,helmholtz,global_only,11,0.11216395293316983,0.09745641963716765,-0.014707533296002176,0.18439771442824482,0.06692689922973606
wave__full_exp__11,wave,full_exp,11,0.17233139391830915,0.04201252864437247,-0.13031886527393668,0.2797813137542404,0.05689679962261201
burgers__full_quad__11,burgers,full_quad,11,0.3243544074573941,0.3170542651102543,-0.007300142347139771,1.912800448860672,1.9019544941801318
wave__neither__11,wave,neither,11,0.2848165213672037,0.1230760607039821,-0.16174046066322162,0.5685329902983921,0.27026306833394587
burgers__full_exp__11,burgers,full_exp,11,0.6881734999924688,0.6693381247728729,-0.018835375219595885,1.9822781349187992,1.9461780221742906
helmholtz__neither__11,helmholtz,neither,11,0.13571650892895099,0.10624360439458988,-0.029472904534361105,0.1921484491781031,0.16167907597859416
allen_cahn__local_only__11,allen_cahn,local_only,11,0.06543458448409538,0.022120194109112517,-0.04331439037498286,0.09051414659784546,0.04702484897388565
allen_cahn__full_quad__11,allen_cahn,full_quad,11,0.04165868707917634,0.02009722276240167,-0.021561464316774668,0.06954300096839583,0.0408940778376059
burgers__global_only__11,burgers,global_only,11,0.24982043717919852,0.13009753671962504,-0.11972290045957348,1.432480039058937,1.4121381475534875
helmholtz__full_quad__11,helmholtz,full_quad,11,0.019103172045393822,0.02242255884644867,0.003319386801054848,0.041887963951010625,0.018863413222289318
allen_cahn__full_exp__11,allen_cahn,full_exp,11,0.04904336860304681,0.030167611698195256,-0.018875756904851555,0.0850407027555562,0.051811264109532684
helmholtz__full_exp__11,helmholtz,full_exp,11,0.04322998812473871,0.012257760558536885,-0.030972227566201826,0.04932012140357788,0.013541582057136514
allen_cahn__neither__11,allen_cahn,neither,11,0.08482535880434204,0.02594069526676324,-0.058884663537578805,0.16792692080791338,0.06962642029250994
wave__local_only__11,wave,local_only,11,0.16657543304777334,0.03995318646642804,-0.1266222465813453,0.2663024000160568,0.05038146926702199
wave__global_only__11,wave,global_only,11,0.28886925250410106,0.13886543576347118,-0.15000381674062988,0.5735390046025067,0.3209501806139682
burgers__neither__11,burgers,neither,11,0.3800406246976485,0.3773782179017298,-0.0026624067959186704,1.546426544353496,1.8208534582003493
wave__full_exp__22,wave,full_exp,22,0.2044123116367934,0.023336914876383383,-0.18107539676041,0.24851349716911092,0.030648560934291746
helmholtz__full_quad__22,helmholtz,full_quad,22,0.017058198934179054,0.02146450087840864,0.004406301944229585,0.025619522294829417,0.018238697768175494
allen_cahn__local_only__22,allen_cahn,local_only,22,0.04220228154073351,0.03544992090825058,-0.006752360632482926,0.08037622938047034,0.07430043772406714
burgers__local_only__22,burgers,local_only,22,0.385777089443559,0.3862004655485399,0.0004233761049808882,1.7613660832387885,1.857209250904607
helmholtz__global_only__22,helmholtz,global_only,22,0.10167743124794179,0.010443229063589604,-0.09123420218435219,0.21627241461956023,0.020516702577870194
wave__neither__22,wave,neither,22,0.27255171763085406,0.17188391474758552,-0.10066780288326854,0.5512155798632405,0.3512997572427454
