id,problem,variant,seed,relative_l2,max_abs_error,q95_abs_error,q99_abs_error,dense_relative_l2,dense_max_abs_error,dense_q95_abs_error,dense_q99_abs_error,steps,elapsed_seconds,model_sha256
helmholtz__local_only__11,helmholtz,local_only,11,0.03276192517568213,0.03778908181552468,0.025832288701437306,0.03150191809727766,0.03247892889100754,0.03778908181552468,0.025659140345758766,0.031281922604503826,3000,36.72524955400149,79beef78310308f6427072e0c2ff81252c7512a1f4502f4fe3b29adae73b7da3
allen_cahn__global_only__11,allen_cahn,global_only,11,0.028082492709579205,0.06660965558559297,0.028408230887505992,0.0418579991501833,0.02746598913756917,0.06660965558559297,0.0277268125689214,0.041002285294534535,1200,7.041019489999599,35ecda27a4254f3ea56f6d0937ea994d1db93f48da06c74f5e1f98798561b737
burgers__local_only__11,burgers,local_only,11,0.1364346929781866,1.327081965109694,0.07514464969607837,0.30710934654444705,0.13808210648926666,1.4026466324367384,0.07553443256974612,0.29602968938753055,5000,42.41953188700063,2034be75e6367b42e6921eed04ae3346140a1724fe084dcf91c8d9bc61840347
wave__full_quad__11,wave,full_quad,11,0.040322317635861235,0.06933149985130467,0.04108794336994305,0.04779370672011238,0.040276012422175184,0.06933149985130467,0.04096554375474026,0.0474975550672283,1200,9.49514145899957,019266c4485253488a97973652ad89262c32048ec6edbf10df274cdc470ebf6e
helmholtz__global_only__11,helmholtz,global_only,11,0.09745641963716765,0.06692689922973606,0.06209328486027382,0.06521150314559426,0.09704382424539451,0.06692689922973606,0.06208654167642397,0.06519114869848844,3000,56.26478550500178,11d2c919eec205776c7b4651fa826e639ce6e6d71963a9a23167847469934861
wave__full_exp__11,wave,full_exp,11,0.04201252864437247,0.05689679962261201,0.04341182248112843,0.050477465004441585,0.042021393951702714,0.05689679962261201,0.04337385800150845,0.05024614782878617,1200,9.876976289000595,aba99807733afeb1465236de50a59321985c6d7e0a53d2aa6c20a6d1732d4470
burgers__full_quad__11,burgers,full_quad,11,0.3170542651102543,1.9019544941801318,0.04220606656276582,1.4479838914875531,0.3180784850393797,1.922515895006201,0.04219303738510527,1.4663677990148358,5000,67.57065015899934,8b297218b45d7429053bb07f70956a794c812709f354324c2af8a04623531733
wave__neither__11,wave,neither,11,0.1230760607039821,0.27026306833394587,0.12474033012226347,0.15897769783446486,0.12249850052090674,0.27026306833394587,0.12432868247477125,0.15734429951880613,1200,7.278118204998464,141e54c407a497cdf8a4fbdc7f363ef30be3a5b21cdd91af39a520a0df120ea9
burgers__full_exp__11,burgers,full_exp,11,0.6693381247728729,1.9461780221742906,1.4707705401385593,1.8317661902630202,0.6700398007730503,1.9461780221742906,1.4778748336678005,1.8310680419640497,5000,70.27684411399969,2007b19c9a3a240eb15b18b5e2cb515f0f2f4918f43867a56ed048b28ad7ca83
helmholtz__neither__11,helmholtz,neither,11,0.10624360439458988,0.16167907597859416,0.09840860717454024,0.1354435442694435,0.10521725693763971,0.16170554977495744,0.09764483860775,0.13493366247752003,3000,36.93492242499997,38f7e3b9e56ca108fd1b0f2df87b34ed59f46b02b7f543f2ae6d818a752fbce2
allen_cahn__local_only__11,allen_cahn,local_only,11,0.022120194109112517,0.04702484897388565,0.022539947225601875,0.03746833131506654,0.02180588779143676,0.04703536910484446,0.022204806088321965,0.03686210275195276,1200,4.364590410998062,a0f60de7d818b8481bffb246ed09cee8af37ca4db4e34455a43e6c6b8e1698c8
allen_cahn__full_quad__11,allen_cahn,full_quad,11,0.02009722276240167,0.0408940778376059,0.020429844417420948,0.033018407781143594,0.019825087186542408,0.04089528272495929,0.020207325906827167,0.03253477671339777,1200,7.759301140002208,0ecfca927d223018e53ded3364b10ecbf52d5783f1a289f624ce3a484015d1ac
