problem,seed,n_success,initial_hashes_match
helmholtz,11,5,True
helmholtz,22,5,True
helmholtz,33,5,True
helmholtz,44,5,True
helmholtz,55,5,True
helmholtz,66,5,True
helmholtz,77,5,True
helmholtz,88,5,True
helmholtz,99,5,True
helmholtz,111,5,True
allen_cahn,11,5,True
allen_cahn,22,5,True
allen_cahn,33,5,True
allen_cahn,44,5,True
allen_cahn,55,5,True
allen_cahn,66,5,True
allen_cahn,77,5,True
allen_cahn,88,5,True
allen_cahn,99,5,True
allen_cahn,111,5,True
burgers,11,5,True
burgers,22,5,True
burgers,33,5,True
burgers,44,5,True
burgers,55,5,True
burgers,66,5,True
burgers,77,5,True
burgers,88,5,True
burgers,99,5,True
burgers,111,5,True
wave,11,5,True
wave,22,5,True
wave,33,5,True
wave,44,5,True
wave,55,5,True
wave,66,5,True
wave,77,5,True
wave,88,5,True
wave,99,5,True
wave,111,5,True
