step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.015085469000041485,0.8144717099968778,0.1519275171884818,0.6038265750505614,0.059819349120600725,nan,0.9840434456163153,1.000676457246614,1.0152800971370708,nan,0.031913108767369525,0.031913108767369525,1,0.021603337089816016,0.023637269106783116,0.006455125635533948,1.0,1.0,0.0009765625,256,256,0,512,1024,nan,nan
25,0.10001090700006898,0.4607424817001107,0.0023776975039332834,0.3995195595269775,0.05282272918862248,nan,0.9404122185340562,1.008700938954543,1.050886842511401,nan,0.08726245416451828,0.1191755629318878,2,0.023293608357771518,0.01222606532266591,0.2620262295586501,0.8414644272376811,0.9856395237134424,0.002187843574369971,6400,512,1024,1024,8960,nan,nan
50,0.1837595639999563,0.455266153591935,0.005085773296494693,0.3815262321663799,0.059312046396569076,nan,0.9015015510687876,1.012416889502413,1.0860815594287996,nan,0.07782133493053722,0.19699689786242502,3,0.030154472311271014,0.017752702021357123,0.07640650212976721,0.8487028508960893,0.9858253476602217,0.0017856912015200785,12800,768,2048,1536,17152,nan,nan
75,0.2680300129995885,0.44927475621218865,0.00814200941049677,0.37881643007009613,0.05095498846459838,nan,0.8670537496640396,1.0172923757312835,1.115653874604677,nan,0.0688956028094958,0.26589250067192083,4,0.04227973198810144,0.018744707413653076,0.3082925223465762,0.855611738390932,0.9862683672907775,0.0017120273136977408,19200,1024,3072,2048,25344,nan,nan
100,0.35131202999946254,0.4375383628707639,0.01465912421052329,0.36633529987923974,0.04474581195278504,nan,0.8388001113059996,1.0216056692580109,1.1395942194359896,nan,0.056507276716080024,0.32239977738800085,5,0.046881698940109726,0.01920783372212284,0.32083633470708733,0.8757676034568943,0.9884252495808322,0.001590798276531001,25600,1280,4096,2560,33536,nan,nan
125,0.43934588199954305,0.41456534440423476,0.023748747099251104,0.3400495982336652,0.04052796720869045,nan,0.8171786349101136,1.0239429516744272,1.1588784134154593,nan,0.04324295279177204,0.3656427301797729,6,0.04460954422799554,0.019253308595055602,0.23164911307144773,0.8938116659040072,0.990141865840069,0.0014471203792198988,32000,1536,5120,3072,41728,nan,nan
150,0.5230402689994662,0.3504297301264909,0.02194085231238423,0.28311258312136234,0.0363742845270896,nan,0.7983941283091466,1.0246907169143447,1.1769151547765089,nan,0.037569013201934065,0.40321174338170696,7,0.042457979338699374,0.017490966066225702,0.25258422985081747,0.9164179549826555,0.9928564964953662,0.0016149232931243936,38400,1792,6144,3584,49920,nan,nan
175,0.6072264529993845,0.21932978953261767,0.03998050144579164,0.16238956068109614,0.018373107828240393,nan,0.7937981496373515,1.021123309612762,1.1850785407498865,nan,0.016326771946755247,0.4195385153284622,8,0.04362891036003998,0.019089290409934068,0.24940226919236372,0.6631685905787357,0.9646087115160003,0.0027033651984679392,44800,2048,7168,4096,58112,nan,nan
200,1.3064116850000573,0.20821536319526943,0.12351427111598595,0.10149691810735237,0.0035645093035789,nan,0.8191147806872617,1.013650268145438,1.1672349511673004,nan,0.05063326209982044,0.47017177742828264,9,0.09540382885707904,0.08878336806796816,0.456684482337393,0.6600159898606316,0.9662466364043446,0.0028844408443181374,51200,2304,8192,4608,66304,0.5320408461443021,0.9190798677693529
225,1.3912115969997103,0.1973293492149169,0.08451995007789853,0.11941988141155015,0.005726313494703557,nan,0.830126315014495,1.0092192517990755,1.1606544331864297,nan,0.02202306865446646,0.4921948460827491,10,0.12086628457663429,0.095410032647508,0.601354125677037,0.6359783645216776,0.9625987297497451,0.003410188694814682,57600,2560,9216,5120,74496,0.5320408461443021,0.9190798677693529
