step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.011874338999405154,0.4919909218193703,0.1010077107578734,0.2919053598642376,0.0971711681208752,nan,0.9973493629827865,1.0098434298628052,0.9928072071544084,nan,0.01968685972561024,0.01968685972561024,1,0.08288097032465205,0.05458837706512229,0.03758801881521211,1.0,1.0,0.0009765625,256,256,0,512,1024,nan,nan
25,0.08897981900008745,0.34280962164462386,0.0047989412305082055,0.27877501923669257,0.04665801171041004,nan,0.9637115383952495,1.0476425588669558,0.988645902737795,nan,0.07559825800830111,0.09528511773391135,2,0.053601957932783856,0.019633511076586993,0.1360888752706041,0.7889327479338721,0.9791637117239008,0.001703751323037306,6400,512,1024,1024,8960,nan,nan
50,0.16948641999988467,0.3165123013610475,0.0028049870260162466,0.2475431048226911,0.046389075111030055,nan,0.929260489253077,1.0829812723998231,0.9877582383471,nan,0.07067742706573477,0.16596254479964612,3,0.03607692336586363,0.009925547830968303,0.08096500324137311,0.866298171395702,0.9876528301292221,0.0016510494529302126,12800,768,2048,1536,17152,nan,nan
75,0.24931563999962236,0.2480146616436898,0.007880066533769518,0.18430505570094222,0.037304951926783535,nan,0.907961685102054,1.1075942819663283,0.9844440329316176,nan,0.0492260191330105,0.21518856393265662,4,0.037414200228336504,0.012489948755154417,0.2640256569318724,0.7539313723080773,0.9753412943732834,0.002164939772532868,19200,1024,3072,2048,25344,nan,nan
100,0.32956639299936796,0.19704111148166076,0.046511647677783735,0.12350382047138324,0.017335449247030475,nan,0.9216224216237913,1.1128109410229161,0.9655666373532924,nan,0.03775479115665037,0.252943355089307,5,0.08128749959771744,0.07509837139672669,0.36475702319654385,0.7809301457286676,0.9809302237653694,0.0022348528489033043,25600,1280,4096,2560,33536,nan,nan
125,0.4097247299996525,0.19462980857678824,0.05780644692758406,0.11702049502128,0.010126502290145861,nan,0.9425827013686873,1.1161339158597527,0.9412833827715599,nan,0.048566509163465166,0.30150986425277215,6,0.12957033661660533,0.11972211971953427,0.5901732265377284,0.654021753037505,0.9648896171883208,0.00275063188726194,32000,1536,5120,3072,41728,nan,nan
150,0.48973025099985534,0.19380394318712832,0.059385453280278465,0.1139095218256492,0.010072687959540482,nan,0.9636335620244917,1.1177771826023404,0.9185892553731677,nan,0.04538825479678421,0.34689811904955636,7,0.14872046414977574,0.1463659818263685,0.7049983162348797,0.615083489659573,0.9578281174700828,0.0031721900017396606,38400,1792,6144,3584,49920,nan,nan
175,0.5749922179993519,0.18691236130867078,0.054241985330736216,0.11200490493015121,0.009081210800370873,nan,0.9830130543165901,1.1200054465185263,0.8969814991648835,nan,0.043215512416568624,0.390113631466125,8,0.14165942476030535,0.13501263745436465,0.6326695844417978,0.6402247966693709,0.9623112309318111,0.0029360091458758087,44800,2048,7168,4096,58112,nan,nan
200,1.4718187889993715,0.18079538128770464,0.0539201183870755,0.10786381344589673,0.006411380010497754,nan,1.0038532343914426,1.1223924032096741,0.8737543623988834,nan,0.04645427353200038,0.43656790499812537,9,0.1482715308056459,0.1377318898838863,0.6561650240370838,0.6673075111077852,0.9659229343382679,0.002877262033829161,51200,2304,8192,4608,66304,0.6086880685217725,0.9569955695886844
225,1.6023196790001748,0.17323271441964522,0.054381954015398894,0.10041963517297829,0.005462763792289875,nan,1.0257422880279883,1.1233093443782125,0.8509483675937994,nan,0.04561198961016799,0.48217989460829336,10,0.1332165182947478,0.11811710285271738,0.4853485115929434,0.7064703331362421,0.971003581808475,0.002693209404319244,57600,2560,9216,5120,74496,0.6086880685217725,0.9569955695886844
