step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.023542752000139444,0.5772816301174863,0.03902115726991348,0.5325896646627348,0.016979025247754055,nan,0.9994693079756749,0.9780909884015001,1.022439703622825,nan,0.04487940724564998,0.04487940724564998,1,0.005364633443867242,0.0020515328075981967,0.005903622372858522,1.0,1.0,0.0009765625,256,512,0,768,1536,nan,nan
25,0.13585627500015107,0.37951250335417025,0.0017534887795013943,0.35100446768628585,0.039298437766502624,nan,0.9611492645251675,0.9550777385883963,1.0837729968864362,nan,0.12266658652722251,0.1675459937728725,2,0.022341874682517363,0.009478580251287921,0.004124251061573808,0.8532922319738797,0.9863563324211733,0.0016441130156566704,6400,1024,1024,1536,9984,nan,nan
50,0.23467583800083958,0.3607983238711718,0.0076817670197336365,0.32719731807123753,0.043362783023891446,nan,0.9341879645178538,0.9302699915227226,1.1355420439594237,nan,0.10353809414597481,0.2710840879188473,3,0.027927404450697038,0.013202834824745293,0.20798540226321086,0.8297097812015269,0.9839446739343939,0.0017410492856409655,12800,1536,2048,2304,18688,nan,nan
75,0.34216495500004385,0.33074810039259933,0.013074336696076359,0.3085852436252043,0.0330107240020859,nan,0.9186606327427119,0.9073070431382098,1.1740323241190784,nan,0.07698056031930944,0.34806464823815675,4,0.02866680149968532,0.014354263786095185,0.14748109425480466,0.8809460115074319,0.9889871568659665,0.0015223044846431268,19200,2048,3072,3072,27392,nan,nan
100,0.43239416200049163,0.2762044224661321,0.012397908148789188,0.26192571266913084,0.02737267374012601,nan,0.9067709646302888,0.8853651388800793,1.207863896489632,nan,0.06766314474110713,0.4157277929792639,5,0.033505150464283526,0.013644992345422408,0.1679787276447993,0.8287083071033199,0.9847606743583682,0.0019422766816346887,25600,2560,4096,3840,36096,nan,nan
125,0.5443305910002891,0.19229232779810357,0.02342457149114056,0.17657519911217726,0.01509366941120733,nan,0.9094854646533199,0.8634701781283329,1.2270443572183474,nan,0.04378992150349281,0.4595177144827567,6,0.06861515496412479,0.04635600779267335,0.5143611701862131,0.7049864973567803,0.9715446222099137,0.002473331672555581,32000,3072,5120,4608,44800,nan,nan
150,0.6327990520003368,0.17675726092329644,0.062257428771366245,0.13322292982419146,0.004937455962909183,nan,0.9434709555531865,0.8408213359630106,1.2157077084838033,nan,0.06797098179973304,0.5274886962824897,7,0.14228517753369924,0.12578027881681925,0.6528960805160909,0.6355582301266571,0.9620655198698483,0.0029057381373424306,38400,3584,6144,5376,53504,nan,nan
175,0.7293211660007728,0.17176855210893688,0.05352945092987757,0.13865319274082233,0.004943299388469755,nan,0.97178931589109,0.8206060765165627,1.2076046075923477,nan,0.05663672067580694,0.5841254169582967,8,0.152758845875133,0.12660082538724618,0.8048974449655297,0.647199969994252,0.9637263085903155,0.0029578757243794197,44800,4096,7168,6144,62208,nan,nan
200,1.5682820550000542,0.15878131086880964,0.035989177313560446,0.14485404222001325,0.0056941711631494935,nan,0.9914213122642987,0.8024129497866345,1.2061657379490671,nan,0.039263992746417564,0.6233894097047142,9,0.12110445935796026,0.08833291981735975,0.7086417327299223,0.7098979033664533,0.9717348558223856,0.0026047364401308604,51200,4608,8192,6912,70912,0.6359220755677883,0.9947416042702834
225,1.6604472369999712,0.15018828726297379,0.03689979218925804,0.13546144043957062,0.005497490252557005,nan,1.0119076684070403,0.7842142857558807,1.2038780458370792,nan,0.04097271228548316,0.6643621219901974,10,0.12396074892593226,0.09305544324634102,0.6658096253375702,0.7525018121982454,0.9769016620187094,0.0024363622117591936,57600,5120,9216,7680,79616,0.6359220755677883,0.9947416042702834
