step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.011864779999996244,0.489635871999651,0.1010077107578734,0.2919053598642376,0.0971711681208752,nan,0.9961838109065358,0.9977727292403848,1.0060434598530792,nan,0.012086919706158494,0.012086919706158494,1,0.08282311583713983,0.05445265516317929,0.03737713944168604,1.0,1.0,0.0009765625,256,256,0,512,1024,nan,nan
25,0.09181238499968458,0.3359763128734976,0.0046593113434457226,0.28006794826813775,0.04557560973016636,nan,0.9603895911511452,1.0172830048492687,1.0223274039995858,nan,0.07158843951078109,0.08367535921693958,2,0.05418830056383153,0.019473350473454658,0.1347668349265814,0.7891676971741135,0.9791960557385291,0.0017040179139662223,6400,512,1024,1024,8960,nan,nan
50,0.17495151200000691,0.30740530412025235,0.002626537624747755,0.2509179487351532,0.04361193537079562,nan,0.9238600246502122,1.0343851830431081,1.0417547923066792,nan,0.07305913300186584,0.15673449221880542,3,0.03612199275567124,0.009735025844084217,0.08604369722187911,0.8652020331662706,0.9876032802515611,0.0016719455932809695,12800,768,2048,1536,17152,nan,nan
75,0.2563251980000132,0.24062310561714179,0.0070002841421016836,0.1909077971851088,0.03283821491713077,nan,0.8978392074494866,1.0457848106075776,1.0563759819429352,nan,0.05204163440145104,0.20877612662025646,4,0.03526209254180545,0.011320102464190419,0.2545366238764216,0.7588627168828851,0.9759687989909575,0.002142063684385118,19200,1024,3072,2048,25344,nan,nan
100,0.33903947699946,0.18762934028591421,0.04078236390987639,0.1290031295806015,0.014676274097647771,nan,0.9009507750336764,1.0503237899467013,1.048725435019622,nan,0.015301093846626701,0.22407722046688316,5,0.09716320567085422,0.09811351292115192,0.3352473784926814,0.7784408393001472,0.9806486893416008,0.002336538918271191,25600,1280,4096,2560,33536,nan,nan
125,0.420706476000305,0.1848541976379546,0.058337365428482224,0.116099528889764,0.009037336947662048,nan,0.9119263594933539,1.0534455651769943,1.0346280753296513,nan,0.028194719379941224,0.2522719398468244,6,0.13333804144842842,0.1460452089441825,0.5116348867390229,0.655218167781285,0.9652858879082533,0.0028910523744607374,32000,1536,5120,3072,41728,nan,nan
150,0.5094714400001976,0.18212320927442346,0.055842819874994336,0.11498534082089217,0.00902163273890191,nan,0.921035143059767,1.0563461235141813,1.022618733426051,nan,0.024018683807200403,0.2762906236540248,7,0.14911319704244508,0.15534232993599914,0.6287380557154233,0.6298620049773983,0.9602642651286734,0.0029563131170801523,38400,1792,6144,3584,49920,nan,nan
175,0.5932335099996635,0.17633589993376825,0.0546984950912419,0.11177641719862558,0.006871603554238876,nan,0.9319537448011962,1.059518955705122,1.0085272994936814,nan,0.028182867864739447,0.30447349151876424,8,0.1629493970231663,0.16315557477657183,0.6587395150731994,0.6258701884297697,0.9597922965167098,0.002977326933722756,44800,2048,7168,4096,58112,nan,nan
200,1.3330132780001804,0.16640699087187144,0.05164092455777183,0.10600988264729333,0.005403619439172445,nan,0.9511567435823668,1.055771326741306,0.9930719296763266,nan,0.0384059975623412,0.34287948908110544,9,0.09558272542426005,0.09044345835645613,0.3967996223322229,0.6740962877365309,0.9670184817388066,0.002829323130155677,51200,2304,8192,4608,66304,0.6014046356605438,0.9196420033168531
225,1.4159997300002942,0.16729047411748932,0.06311452588843619,0.09644140091001879,0.00471873619921866,nan,0.974417537463113,1.0491669015076162,0.9764155610292703,nan,0.0465215877614924,0.38940107684259784,10,0.12159009065461218,0.10534150411168057,0.4648896736910046,0.6927320203863181,0.9692068653363797,0.002750505438719829,57600,2560,9216,5120,74496,0.6014046356605438,0.9196420033168531
