step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.011704239000209782,0.4895959491105972,0.1010077107578734,0.2919053598642376,0.0971711681208752,nan,0.9966492558417378,0.9975585470876795,1.0057921970705828,nan,0.01158439414116541,0.01158439414116541,1,0.0807945078722305,0.05783423493358664,0.01691522361403504,1.0,1.0,0.0009765625,256,256,0,512,1024,nan,nan
25,0.08983046699995612,0.3359320066301318,0.004661461572160516,0.28007860356267367,0.045567694141897847,nan,0.9607318031603763,1.0171332471090913,1.0221349497305328,nan,0.07183490536272319,0.0834192995038886,2,0.057289028011083445,0.020192102771420528,0.21049931984164133,0.7891458937899652,0.9791930233409005,0.001704023121186746,6400,512,1024,1024,8960,nan,nan
50,0.19646668699988368,0.3073227857168439,0.0026446487321198724,0.2509362158989732,0.04361037776393832,nan,0.9247028540918,1.0339896894138108,1.0413074564943896,nan,0.07205789813715269,0.1554771976410413,3,0.035932101884578585,0.00957576473058875,0.07285122384485775,0.8652281627100051,0.9876064802318633,0.0016718458943311208,12800,768,2048,1536,17152,nan,nan
75,0.28141891500035854,0.24053247947534978,0.007000489672971941,0.19101135208234016,0.03279264432557426,nan,0.8993810019978229,1.0450819801155677,1.0555370178866097,nan,0.050643704187954164,0.20612090182899545,4,0.034211215226418915,0.010807835958821574,0.21240782176270329,0.7568706887717993,0.9757624609327863,0.0021599557618161265,19200,1024,3072,2048,25344,nan,nan
100,0.38663599000028626,0.188719657075855,0.04247533525312025,0.12896208265984765,0.014737368971962319,nan,0.9054970926344491,1.0452282915150761,1.049274615850475,nan,0.012524804072269191,0.21864570590126464,5,0.07557786317269011,0.0686997133024182,0.3398039316333662,0.7793405624586864,0.9807614545286277,0.0023412590222993274,25600,1280,4096,2560,33536,nan,nan
125,0.46742036100022233,0.18472783902408682,0.056096089486499294,0.11881252322011275,0.008634432133652833,nan,0.9189194389889997,1.0456806969414005,1.0353998640696,nan,0.0277495035617501,0.24639520946301474,6,0.11390266502390547,0.11040936549829065,0.489983585652979,0.6578922325462423,0.9656429559196679,0.0028675298554706593,32000,1536,5120,3072,41728,nan,nan
150,0.5501386140003888,0.18232038147481466,0.05496934290217596,0.11663827105529262,0.008979648417644459,nan,0.9305345342331506,1.0457725960709205,1.023692869695929,nan,0.023413988747341796,0.26980919821035654,7,0.12754171434965328,0.1234173575060786,0.595517710544066,0.6344376614676039,0.9612572467414651,0.0027752733339742397,38400,1792,6144,3584,49920,nan,nan
175,0.6306082989995048,0.17564226989651163,0.05395662871041966,0.11231122118520069,0.007116767958990865,nan,0.9439502263690634,1.0464189459060371,1.0096308277248998,nan,0.028124083942058786,0.2979332821524153,8,0.14449860338016263,0.12833284411492815,0.6226488623795547,0.6319687398121514,0.960962330694306,0.0030138450207726885,44800,2048,7168,4096,58112,nan,nan
200,1.3392989610001678,0.16647707254527422,0.05062300769426985,0.10735427607705383,0.005578929266878788,nan,0.9600497602012891,1.0463803994749545,0.9935698403237568,nan,0.03219906766445113,0.33013234981686645,9,0.13150753592236694,0.1171380113120524,0.5396853729571903,0.6714714501082218,0.966540522621114,0.0028998516865217216,51200,2304,8192,4608,66304,0.6030119372780325,0.9010862757911314
225,1.4297505169997748,0.16524254253913956,0.057822546586588155,0.09949252055220204,0.004866613407594933,nan,0.980185826450638,1.0434356738789337,0.9763784996704288,nan,0.04027213249869788,0.37040448231556433,10,0.1505177706892767,0.12507059932982306,0.5824596263457964,0.7010714089862626,0.9703884127859735,0.003063032444064969,57600,2560,9216,5120,74496,0.6030119372780325,0.9010862757911314
250,1.5171003329996893,0.15994563595888397,0.05097157755400866,0.10041443178627063,0.004698980779809941,nan,0.9989433499638122,1.0408454407176833,0.960211209318505,nan,0.037515047026348336,0.40791952934191267,11,0.13885604222086706,0.1099768224301772,0.5216994778400126,0.7319559264096914,0.9740955492681942,0.002638768300675654,64000,2816,10240,5632,82688,0.6030119372780325,0.9010862757911314
275,1.601567914000043,0.1584216904859602,0.05460335590272383,0.09466974321442671,0.005095604421371058,nan,1.0183319914657567,1.0351151717691702,0.9465528367650735,nan,0.03877728300388905,0.4466968123458017,12,0.1418923979340731,0.10739210139253091,0.576856323623632,0.7121832438243851,0.9716862497200703,0.0026103061351752544,70400,3072,11264,6144,90880,0.6030119372780325,0.9010862757911314
300,1.7014509419996102,0.15212458248614527,0.04416122986850107,0.09811248120892974,0.005746388657792863,nan,1.0320147786979466,1.0311222444454116,0.9368629768566423,nan,0.027365574464379705,0.4740623868101814,13,0.13120860091002234,0.10207184988154035,0.48840070896163135,0.7297321208626756,0.9729612122598686,0.0023698844467227153,76800,3328,12288,6656,99072,0.6030119372780325,0.9010862757911314
325,1.856071422000241,0.1460393418718926,0.04102422459284255,0.09498889979786596,0.006206072968395674,nan,1.0447390679187685,1.0254825504351406,0.9297783816460915,nan,0.02544857844164372,0.49951096525182515,14,0.13614917130376983,0.07697952873235078,0.5478642499902476,0.769038026751414,0.9778146970502422,0.002122024162205191,83200,3584,13312,7168,107264,0.6030119372780325,0.9010862757911314
350,1.982425274999514,0.14228298283951973,0.04006922461840963,0.09181901233200898,0.006994763866825621,nan,1.055795008756995,1.0183272144833215,0.925877776759684,nan,0.02211188167645306,0.5216228469282782,15,0.13450900129065035,0.09126990541409363,0.4847004605212143,0.7625318299355905,0.976978197708311,0.002188405027315289,89600,3840,14336,7680,115456,0.6030119372780325,0.9010862757911314
375,2.068687881999722,0.1393330346401655,0.03778551133023762,0.0917554478417773,0.006718310289232266,nan,1.0655168194790476,1.0122104413022355,0.9222727392187173,nan,0.019443621444105386,0.5410664683723836,16,0.15901552890181103,0.08694557914866853,0.5866140234487859,0.7814097105607363,0.9792347526819603,0.0023754002883619356,96000,4096,15360,8192,123648,0.6030119372780325,0.9010862757911314
400,2.154876198999773,0.1362400519128136,0.03546878206428042,0.09139642365358996,0.006686664057261613,nan,1.0743163899757755,1.006483302917637,0.9192003071065877,nan,0.017599140993455942,0.5586656093658395,17,0.14040542746206403,0.08865928670989705,0.47248635394862626,0.7803221440395043,0.9791203131175404,0.002599709245165739,102400,4352,16384,8704,131840,0.5669138136749511,0.940742338051321
425,2.253875804999552,0.13173718074567298,0.03487543974069439,0.08879145082617243,0.005530951189516172,nan,1.0846460565540619,1.0006659070276889,0.9146880364182496,nan,0.020659333156572646,0.5793249425224122,18,0.13433356438257749,0.08472994297208712,0.5183505098153032,0.7658902565213218,0.9779536162388945,0.0025325749794066106,108800,4608,17408,9216,140032,0.5669138136749511,0.940742338051321
450,2.3679633159999867,0.13283330259728723,0.03637221354547894,0.08877040268206969,0.005092485572052047,nan,1.0936082093374322,0.9960582368938001,0.9103335537687681,nan,0.017924305566740517,0.5972492480891527,19,0.1602385988029531,0.10317898570943308,0.6361125841353908,0.745256377178362,0.9758937440232719,0.002980749847775868,115200,4864,18432,9728,148224,0.5669138136749511,0.940742338051321
475,2.449197396999807,0.13049553545878623,0.031505234181513714,0.09238869959849397,0.004319686051164246,nan,1.1000257798064652,0.9950341214693512,0.9049400987241839,nan,0.012835140938066147,0.6100843890272188,20,0.16731134470659337,0.10337192357247625,0.6527304183497589,0.729697449371026,0.9739421219374995,0.003062589600615882,121600,5120,19456,10240,156416,0.5669138136749511,0.940742338051321
500,2.5329126770002404,0.1286411305663508,0.029816445890908098,0.09269025605644268,0.0038352114262494128,nan,1.1054426979781202,0.9950445777407724,0.8995127242811078,nan,0.010854748886152232,0.6209391379133711,21,0.14976578575951122,0.11748902106190495,0.5601192350698982,0.7072634912271344,0.9715714470524142,0.0036248553641793036,128000,5376,20480,10752,164608,0.5669138136749511,0.940742338051321
525,2.6187596199997643,0.12591392103538193,0.028006866219600204,0.09170813046041186,0.0040530374434079265,nan,1.1103805530602104,0.9943169308351871,0.8953025161046028,nan,0.00987571016418054,0.6308148480775516,22,0.16725293931257373,0.09719947234632498,0.6557931359785197,0.7068481388090415,0.9722198192603705,0.003431762053315443,134400,5632,21504,11264,172800,0.5669138136749511,0.940742338051321
550,2.7016870939996807,0.12709865504076914,0.03205302675410012,0.08914986879700482,0.0030058851425131066,nan,1.118353786589531,0.9936389654978073,0.888007247912662,nan,0.015946467058641223,0.6467613151361928,23,0.1643874566856077,0.1238533548761252,0.6309127930323097,0.6720927515161698,0.9679339318892153,0.004253799919080362,140800,5888,22528,11776,180992,0.5669138136749511,0.940742338051321
575,2.78335050700025,0.12340067895524713,0.028304673406836723,0.08975023092658278,0.0026458263850218516,nan,1.1263495041107148,0.9937771876943995,0.879873308194886,nan,0.01626787943555197,0.6630291945717448,24,0.170568908566474,0.10914709861578498,0.609985770462815,0.6810107660544409,0.9691629142474014,0.003860815359782056,147200,6144,23552,12288,189184,0.5669138136749511,0.940742338051321
