step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.014222571000573225,0.8144717099968778,0.1519275171884818,0.6038265750505614,0.059819349120600725,nan,0.9840434456163153,1.000676457246614,1.0152800971370708,nan,0.031913108767369525,0.031913108767369525,1,0.021603337089816016,0.023637269106783116,0.006455125635533948,1.0,1.0,0.0009765625,256,256,0,512,1024,nan,nan
25,0.10061224900073285,0.46030293350448337,0.0019102980093664596,0.3995195595269775,0.05282272918862248,nan,0.9404122185340562,1.008700938954543,1.050886842511401,nan,0.08726245416451828,0.1191755629318878,2,0.021898480569055072,0.012591213627143081,0.17482379926314384,1.0,1.0,0.0009765625,6400,512,0,1024,7936,nan,nan
50,0.1870828569999503,0.455021695791023,0.005357209534673767,0.3792577006252907,0.06118545464293941,nan,0.9017396612552252,1.0117445918637675,1.0865157468810074,nan,0.07734511455766191,0.1965206774895497,3,0.031382638583250404,0.01813218140195118,0.12859217233641201,0.8587993734573238,0.9867106769335764,0.0017378149258044033,12800,768,1024,1536,16128,nan,nan
75,0.2740361690002828,0.4481277843034021,0.008144369901943095,0.37754141407094544,0.05139742268892763,nan,0.8676329791191,1.0163096670204723,1.116057353860428,nan,0.06821336427225055,0.26473404176180027,4,0.03852535882655507,0.019030575061196875,0.1558351652208787,0.8587993734573238,0.9867106769335764,0.0017378149258044033,19200,1024,1024,2048,23296,nan,nan
100,0.35935234899989155,0.43692753105064464,0.016285766128826942,0.36492727908591316,0.04467033523879997,nan,0.8400318544826326,1.0203072059489124,1.1396609395684552,nan,0.05520224927293471,0.319936291034735,5,0.048020860365973354,0.019763810143767123,0.3111090287324572,0.8586605092695019,0.9868316359143788,0.001697947884023267,25600,1280,2048,2560,31488,nan,nan
125,0.44596700000056444,0.4150663751620529,0.025570453284259692,0.33996476330692366,0.0401296858626239,nan,0.8189570631244403,1.0225644929248183,1.1584784439507418,nan,0.042149582716384915,0.3620858737511199,6,0.04742995634702786,0.019586287056370274,0.2753703794523604,0.8586605092695019,0.9868316359143788,0.001697947884023267,32000,1536,2048,3072,38656,nan,nan
150,0.5340223420007533,0.3546311963597532,0.023833963685436006,0.28512508677342796,0.03726179166850303,nan,0.8001974340835785,1.0231072525048959,1.1766953134115261,nan,0.03751925808172363,0.3996051318328435,7,0.04855914685541368,0.017912389354626024,0.37816992457181,0.9015655940851375,0.9912619994825863,0.001643006818300176,38400,1792,3072,3584,46848,nan,nan
175,0.6177485000007437,0.2170229472441946,0.023956946982809205,0.17136450741129888,0.01949578482260023,nan,0.793575552602766,1.0205875239342372,1.185836923462997,nan,0.018283220102942033,0.41788835193578555,8,0.04105288600299742,0.04849874116269455,0.02285023312535016,0.9015655940851375,0.9912619994825863,0.001643006818300176,44800,2048,3072,4096,54016,nan,nan
200,1.324545381000462,0.2275582655754522,0.17062885119982585,0.08063598579882278,0.005037893072715552,nan,0.8239293110553465,1.0054399465608685,1.1706307423837852,nan,0.060707516905161074,0.4785958688409466,9,0.11397888979009765,0.08215906081131642,0.5355625173945002,0.5862600096034845,0.9570264209936105,0.0037664336016259067,51200,2304,4096,4608,62208,0.5220495645543667,0.9785963052856985
225,1.4065117650006869,0.18189327579702871,0.07661972561795752,0.11243098792633159,0.004363528964535891,nan,0.839903686995968,1.0004347651417196,1.1596615478623127,nan,0.03194875188124291,0.5105446207221895,10,0.05940820508531047,0.03477322370657934,0.3209241740297477,0.5862600096034845,0.9570264209936105,0.0037664336016259067,57600,2560,4096,5120,69376,0.5220495645543667,0.9785963052856985
