step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.01212326299992128,0.21194626557262877,0.0075178379286582,0.3081420738667267,0.08312697999477028,nan,2.0571327490022817,0.5248686469170339,0.4179986040806842,nan,2.1142654980045634,2.1142654980045634,1,0.008455132433534109,0.017094298350686776,0.08037053557711042,1.0,1.0,0.0009765625,256,256,0,512,1024,nan,nan
25,0.09692342000016652,0.11694105384856612,0.002317783994761353,0.3041465803424129,0.06984337040485661,nan,2.4256471837616664,0.3038976340122502,0.27045518222608356,nan,0.7370288695187691,2.8512943675233324,2,0.060327384161576125,0.03762313929375478,0.1760129194811169,0.8365765713444211,0.9850090152007887,0.0016966468966229547,6400,512,1024,1024,8960,nan,nan
50,0.18882722899979854,0.07929016322734275,0.0007319432301578416,0.31570924805669054,0.048148672866482924,nan,2.5858083477100635,0.21473537310857643,0.1994562791813601,nan,0.32032232789679427,3.1716166954201266,3,0.0633202112626402,0.0326228477957806,0.29369177770351734,0.8604740591656889,0.9871811256115959,0.00202375512657929,12800,768,2048,1536,17152,nan,nan
75,0.33051630400041176,0.05232819045023088,0.0005234239357920692,0.2999136595731785,0.04599776543973172,nan,2.711168227761105,0.1481730165938404,0.14065875564505476,nan,0.25071976010208274,3.4223364555222093,4,0.06202682185438474,0.03136562603828997,0.2973864381897574,0.8340323780212394,0.9843779647251704,0.0020122189327084973,19200,1024,3072,2048,25344,nan,nan
100,0.4540285450002557,0.03575236557561613,0.0008462140124278979,0.2853600447472609,0.03471133714175077,nan,2.792933561452846,0.10453432356100732,0.1025321149861464,nan,0.16353066738348265,3.585867122905692,5,0.06295219576142085,0.025325777396743514,0.40179073506649304,0.8330043655120403,0.9845069502388414,0.00238089500575764,25600,1280,4096,2560,33536,nan,nan
125,0.5469475210002201,0.03443708140207821,0.0010330532944533202,0.2854167771476338,0.02169949535832323,nan,2.7925373712007717,0.10257350954281412,0.10488911925641438,nan,0.004714008540535566,3.590581131446228,6,0.06771968659837502,0.01999098674523456,0.23504642161897168,0.7932597923591728,0.9805881978512532,0.00261195946627215,32000,1536,5120,3072,41728,nan,nan
150,0.6420435019999786,0.03904200768257647,0.0011015848616142477,0.2889460359808733,0.015418391351779616,nan,2.7597830617663925,0.11807988812677321,0.12213705010683443,nan,0.06550861886875832,3.6560897503149863,7,0.062394855376503966,0.015674997121365147,0.24438467138091682,0.8049717021808351,0.9814557713771331,0.002128782591840335,38400,1792,6144,3584,49920,nan,nan
175,0.725647821000166,0.039627058121789724,0.0014276776772357987,0.28264773827767786,0.014104440878490509,nan,2.755235413142811,0.12005960563787417,0.12470498121931503,nan,0.009095297247163153,3.6651850475621495,8,0.058439592536336016,0.015206872168180383,0.2707042284586055,0.8123131292666801,0.982526244445293,0.0020886718705596325,44800,2048,7168,4096,58112,nan,nan
200,1.426891164999688,0.04253197304551375,0.0013160032327165466,0.2829083203372986,0.01249660968293468,nan,2.728064994655139,0.13144240309176733,0.14049260225309387,nan,0.05434083697534399,3.7195258845374934,9,0.06136368414540475,0.014082315109484293,0.42410357806955845,0.8062931900693905,0.9817742585187422,0.0018628190439209783,51200,2304,8192,4608,66304,0.866414439787971,1.1418719781237454
225,1.5131385750000845,0.04360998699543049,0.0016670992894902634,0.27366927758696635,0.009584650096709467,nan,2.708578020863997,0.1374610144702547,0.15396096466574855,nan,0.03897394758228409,3.7584998321197776,10,0.057799709562832424,0.012727390417623849,0.23957179060391573,0.8429308865636072,0.985494982621403,0.0018193019834643138,57600,2560,9216,5120,74496,0.866414439787971,1.1418719781237454
250,1.5990577789998497,0.04464046175034934,0.0017600927309186823,0.26869673453122755,0.00721742627892835,nan,2.687582320060521,0.14400839715980518,0.1684092827796737,nan,0.041991401606951445,3.800491233726729,11,0.05340943958037618,0.011097282115587845,0.08576781071016608,0.7981375095286654,0.9812668650278261,0.0019683355199980506,64000,2816,10240,5632,82688,0.866414439787971,1.1418719781237454
