step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.019040661999497388,0.40247119172427004,0.005562028617095354,0.40741684951285856,0.004967663270856635,nan,1.015649252015131,0.9615239598463952,1.0228267881384738,nan,0.07695208030720968,0.07695208030720968,1,0.01082604106223068,0.00999731391014273,0.010635575708112525,1.0,1.0,0.0009765625,256,256,0,512,1024,nan,nan
25,0.14828222799951618,0.30846750960411395,0.004126247486973718,0.26876893659971546,0.05282430282130289,nan,0.9930473228176085,0.9185413462041471,1.0884113309782444,nan,0.1311690856795411,0.2081211659867508,2,0.0188880042430412,0.020295809546380057,0.31408957977077623,0.7677760993252908,0.9757151978431547,0.0019502891937182517,6400,512,1024,1024,8960,nan,nan
50,0.2802705269996295,0.2469971236102064,0.006442642162933343,0.2273529321052033,0.03599526455532285,nan,0.9838985834795755,0.8783975860826261,1.1377038304377984,nan,0.0985849989191081,0.3067061649058589,3,0.016218423382501634,0.02575679319120161,0.3395979854901209,0.6456065274342849,0.9544774772591358,0.0024259165380084483,12800,768,2048,1536,17152,nan,nan
75,0.3875062239994804,0.19557177387266314,0.018715732807815324,0.18725020671078935,0.016808291256427542,nan,1.0037872608521157,0.840358043333712,1.1558546958141722,nan,0.07607908549782805,0.38278525040368694,4,0.056328527062524884,0.04982779815066135,0.5963733565937654,0.5416477193143846,0.9396727182165254,0.0030683778217256335,19200,1024,3072,2048,25344,nan,nan
100,0.48045111400006135,0.17987989969941612,0.04319836019404337,0.15638853871170752,0.007734223722615743,nan,1.04907898670869,0.8036937789958656,1.1472272342954444,nan,0.09058345171314863,0.47336870211683557,5,0.12264833953098257,0.1131498020884308,0.8355154991256375,0.5041625303902928,0.9341008954194192,0.0033878628037400022,25600,1280,4096,2560,33536,nan,nan
125,0.5623894599993946,0.17186328039293852,0.04226125204184059,0.15484422681829643,0.005610807715520915,nan,1.0985081246439239,0.769063974223246,1.13242790113283,nan,0.0988582758704678,0.5722269779873034,6,0.11886651110950502,0.10687434220435955,0.7715328225873579,0.4798255792130024,0.9251963352080514,0.0036331438335068045,32000,1536,5120,3072,41728,nan,nan
150,0.6438232689997676,0.16498900172196823,0.03805565441708224,0.15643419973534747,0.005603991367143936,nan,1.1426348374899018,0.7365674826490086,1.1207976798610892,nan,0.08825342569195604,0.6604804036792594,7,0.12415170035900082,0.10389544901050508,0.9038080668145677,0.5325687057904344,0.9375641875457603,0.003524548848730706,38400,1792,6144,3584,49920,nan,nan
175,0.7245063069995012,0.15688384779763698,0.03329494584923595,0.15715866043783977,0.005911203053479022,nan,1.1845684475103027,0.7055478669993359,1.109883685490361,nan,0.08386722004080172,0.7443476237200611,8,0.07699538437880105,0.07886394326778846,0.5732350440991755,0.6128859078930057,0.95394923647808,0.0029084340785155254,44800,2048,7168,4096,58112,nan,nan
200,1.690931074999753,0.1488960513234894,0.03291823613692223,0.15311090445695058,0.0044786334278635554,nan,1.2272387797799944,0.6765554143630542,1.096205805856951,nan,0.08534066453938349,0.8296882882594446,9,0.096753491276445,0.08366835114475632,0.7420754607954592,0.6360310977351653,0.9574204051413586,0.002899535105537824,51200,2304,8192,4608,66304,0.6568864177283501,0.9611308104839466
225,1.829508471999361,0.13957575943454398,0.025633620589508643,0.15805139310741084,0.004112713577005447,nan,1.2668244662487276,0.6494430605043497,1.0837324732469225,nan,0.07917137293746623,0.9088596611969109,10,0.06333967496965684,0.06612668784731932,0.5076656398805441,0.6423624222032868,0.9585469584656937,0.002850055912089749,57600,2560,9216,5120,74496,0.6568864177283501,0.9611308104839466
250,1.9551707410000745,0.13372212484838264,0.025607842190928192,0.15257013193631316,0.004875463563236517,nan,1.3028604326989786,0.6234777421776302,1.073661825123391,nan,0.07207193290050207,0.9809315940974129,11,0.08074475371656245,0.06725075970345708,0.6627776896848457,0.6264758762532746,0.9547725193715603,0.002512872503586778,64000,2816,10240,5632,82688,0.6568864177283501,0.9611308104839466
275,2.0861814129993945,0.12644954692066773,0.02121718019124279,0.15508781343130976,0.004894231187016463,nan,1.3347361067207604,0.5990936670593635,1.0661702262198758,nan,0.06375134804356364,1.0446829421409767,12,0.07230581293763005,0.054924056347727096,0.6349450681539048,0.6483833646745925,0.9588341451348794,0.002697780737339203,70400,3072,11264,6144,90880,0.6568864177283501,0.9611308104839466
300,2.218370749999849,0.12209567699771481,0.021470844250684643,0.15063770322559952,0.0057573608146540434,nan,1.3627873847950696,0.5757127307123375,1.0614998844925925,nan,0.056102556148618477,1.100785498289595,13,0.07723521272958095,0.05905008181627096,0.6680022648452697,0.6751493402385078,0.9627562060449096,0.0027704243174042523,76800,3328,12288,6656,99072,0.6568864177283501,0.9611308104839466
325,2.336035796000033,0.1167367802177318,0.02094809310912665,0.146504519782227,0.006270946910638583,nan,1.3907928888346455,0.5527283327192207,1.0564787784461334,nan,0.056011008079151825,1.1567965063687469,14,0.056014642922994004,0.045121270781138895,0.41649590579993745,0.6818503402982212,0.963343490528625,0.002633118020590721,83200,3584,13312,7168,107264,0.6568864177283501,0.9611308104839466
350,2.449901261999912,0.11125486072744002,0.019145573264572256,0.1457216511337966,0.006374127997790666,nan,1.4131847813911484,0.531649669685013,1.055165548923838,nan,0.04478378511300596,1.2015802914817528,15,0.056169229440860204,0.052964277697531606,0.5084631112339753,0.7117306496722631,0.9674233047506444,0.002709713125678068,89600,3840,14336,7680,115456,0.6568864177283501,0.9611308104839466
375,2.5314730949994555,0.105698322652174,0.01549492557825184,0.1513032607021491,0.00568873457642671,nan,1.433159662067072,0.5121623750377949,1.0546779628951328,nan,0.0399497613518468,1.2415300528335997,16,0.0719522533074923,0.04312339509778133,0.6876638162357324,0.7221488006336206,0.9689300359776051,0.002654620490205163,96000,4096,15360,8192,123648,0.6568864177283501,0.9611308104839466
400,2.6158996619997197,0.10146491930791231,0.014411898165661316,0.15144560091445675,0.005452013825189495,nan,1.4517102788189333,0.4938691012103548,1.0544206199707116,nan,0.0371012335037228,1.2786312863373226,17,0.06248708227207612,0.03914838525670706,0.6136513146661662,0.7207177212428589,0.9683663401061877,0.0025135519383726523,102400,4352,16384,8704,131840,0.6513877327628388,0.9588944580915929
425,2.698355442999855,0.09732971430770508,0.01419795843985702,0.14848042509062184,0.005443716119701943,nan,1.469597275405423,0.4763347519447778,1.054067972649799,nan,0.03577399317297919,1.3144052795103018,18,0.06601686813979524,0.044615947190192407,0.5947196762577143,0.6941905221129689,0.9648301275542222,0.002788924681159898,108800,4608,17408,9216,140032,0.6513877327628388,0.9588944580915929
450,2.7791396610000447,0.09170937545835964,0.011707665883215191,0.15016998567720632,0.004971931180016419,nan,1.4852246849990065,0.459988962640045,1.0547863523609484,nan,0.032691578609465755,1.3470968581197675,19,0.058339713418668,0.03852645616034929,0.5822348543830762,0.7115268830685256,0.9679098753094215,0.0027076518250234265,115200,4864,18432,9728,148224,0.6513877327628388,0.9588944580915929
475,2.8603605449998213,0.08667350785606505,0.0104441495135961,0.14953295339861072,0.004261679758957698,nan,1.5029733285259486,0.44466039165997884,1.0523662798140725,nan,0.03549728705388416,1.3825941451736516,20,0.05024739098988111,0.03589664275945184,0.38082574022974564,0.690584241963082,0.9646793847089156,0.0031481822468482044,121600,5120,19456,10240,156416,0.6513877327628388,0.9588944580915929
500,2.948620613999992,0.08468262330610835,0.01249630020044689,0.14356632729167573,0.003744453670574772,nan,1.5242344467049078,0.4298998059786178,1.0458657473164743,nan,0.042522236357918464,1.4251163815315702,21,0.07006467386203924,0.037448724097730604,0.5120863332199501,0.6767671359328936,0.9642390766028405,0.003792952825364838,128000,5376,20480,10752,164608,0.6513877327628388,0.9588944580915929
