step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.04125523800030351,0.6592321215356478,0.056983868586773866,0.5907927118086921,0.02561273664699599,nan,0.9994322202680985,0.9749825113497931,1.0255852683821083,nan,0.05117053676421668,0.05117053676421668,1,0.016247574762720873,0.001957899342389654,0.0009548789807443655,1.0,1.0,0.00048828125,512,512,0,1024,2048,nan,nan
50,0.5144854650006891,0.3379832543032938,0.0071286754888117854,0.2923196973125714,0.044708163370414424,nan,0.9994322202680985,0.9749825113497931,1.0255852683821083,nan,0.0,0.05117053676421668,1,0.016247574762720873,0.001957899342389654,0.0009548789807443655,1.0,1.0,0.00048828125,25600,512,0,1024,27136,nan,nan
100,1.1622381250008402,0.1939108433581479,0.060867213365498385,0.12842182294065813,0.010632538899292963,nan,1.012768159702115,0.9435251156536977,1.0437067246441871,nan,0.0629147913921907,0.11408532815640737,2,0.0743157087346188,0.06968900084257294,0.37366348086271567,0.664846585878031,0.9691919273685848,0.0014784377022667682,51200,1024,2048,2048,56320,nan,nan
150,1.7802669110005809,0.17106898865820597,0.05509607052056721,0.11667724130382347,0.004964550857613001,nan,1.012768159702115,0.9435251156536977,1.0437067246441871,nan,0.0,0.11408532815640737,2,0.0743157087346188,0.06968900084257294,0.37366348086271567,0.664846585878031,0.9691919273685848,0.0014784377022667682,76800,1024,2048,2048,81920,nan,nan
200,2.303017352000097,0.16536657500860644,0.06401714693016441,0.10224139667434673,0.004829806697252791,nan,1.0433868146817624,0.9149000087433277,1.0417131765749097,nan,0.06123730995929488,0.17532263811570226,3,0.10798111863529317,0.06686663321782937,0.43998742945735214,0.7273605821523544,0.9760971673119911,0.0014177882842339772,102400,1536,4096,3072,111104,nan,nan
250,2.734443690000262,0.15602565695513718,0.04920353427046748,0.1075674679662437,0.006022637343806361,nan,1.0433868146817624,0.9149000087433277,1.0417131765749097,nan,0.0,0.17532263811570226,3,0.10798111863529317,0.06686663321782937,0.43998742945735214,0.7273605821523544,0.9760971673119911,0.0014177882842339772,128000,1536,4096,3072,136704,nan,nan
300,3.2930825500006904,0.14772384179148876,0.04744281184416607,0.10250123374904874,0.006153385040706726,nan,1.0591431370655533,0.8877445089202964,1.05311235401415,nan,0.05431099964606245,0.2296336377617647,4,0.1248329456043245,0.07240550979240118,0.5696211775876732,0.7572823683303989,0.978878036861521,0.0012850998442190172,153600,2048,6144,4096,165888,nan,nan
350,3.715209524000784,0.1284406806117352,0.0357487581004646,0.09633747281334873,0.004799645829275794,nan,1.0591431370655533,0.8877445089202964,1.05311235401415,nan,0.0,0.2296336377617647,4,0.1248329456043245,0.07240550979240118,0.5696211775876732,0.7572823683303989,0.978878036861521,0.0012850998442190172,179200,2048,6144,4096,191488,nan,nan
400,4.099529463000181,0.1420071454924762,0.05730437740087383,0.08868988100762099,0.0030379779339436653,nan,1.0862457231096014,0.8633382879715666,1.0504159889188318,nan,0.054205172088096165,0.2838388098498609,5,0.14973413795477644,0.07831040229675322,0.8145451987418465,0.5242134764852756,0.955360999261917,0.0035471676139648767,204800,2560,8192,5120,220672,nan,nan
450,4.458423790000779,0.11900836516594668,0.029746028642927125,0.09782965697801538,0.0021294232270095375,nan,1.0862457231096014,0.8633382879715666,1.0504159889188318,nan,0.0,0.2838388098498609,5,0.14973413795477644,0.07831040229675322,0.8145451987418465,0.5242134764852756,0.955360999261917,0.0035471676139648767,230400,2560,8192,5120,246272,nan,nan
500,5.815434650000498,0.12079875153055462,0.03680127048137144,0.09242973363818205,0.00174289043074157,nan,1.1100152566088457,0.8452686277192011,1.044716115671953,nan,0.04753906699848853,0.3313778768483494,6,0.13682024629706338,0.07446609993978222,0.6435427928234376,0.6214462438121879,0.9660688936568436,0.002455346421214602,256000,3072,10240,6144,275456,0.5333324085433924,0.9794007809051821
550,6.259411638000529,0.10858293381294946,0.027153704837169994,0.0909403159118489,0.0015055871269550848,nan,1.1100152566088457,0.8452686277192011,1.044716115671953,nan,0.0,0.3313778768483494,6,0.13682024629706338,0.07446609993978222,0.6435427928234376,0.6214462438121879,0.9660688936568436,0.002455346421214602,281600,3072,10240,6144,301056,0.5333324085433924,0.9794007809051821
600,6.684553750000305,0.10735093172731999,0.029900856159135583,0.08682884703983242,0.0014250369677343273,nan,1.1357235850071306,0.8282436264415971,1.0360327885512723,nan,0.05141665679656959,0.382794533644919,7,0.11314160730284757,0.05199624768084379,0.5125955615338708,0.6508106574236445,0.9701791051977677,0.004010688257956071,307200,3584,12288,7168,330240,0.5333324085433924,0.9794007809051821
650,7.069924351000736,0.10125443371697124,0.023472676681738667,0.08849898479646232,0.0012521235972328545,nan,1.1357235850071306,0.8282436264415971,1.0360327885512723,nan,0.0,0.382794533644919,7,0.11314160730284757,0.05199624768084379,0.5125955615338708,0.6508106574236445,0.9701791051977677,0.004010688257956071,332800,3584,12288,7168,355840,0.5333324085433924,0.9794007809051821
700,7.490024399000504,0.10018812318471858,0.025304709390957133,0.0855310726338461,0.001270270350984418,nan,1.1559225157881539,0.8140839041723088,1.0299935800395372,nan,0.04039786156204672,0.4231923952069657,8,0.1260175489997314,0.05538743165051085,0.5125072560596572,0.6203780041246937,0.9663741405095191,0.0035014464924159852,358400,4096,14336,8192,385024,0.5333324085433924,0.9794007809051821
750,7.986839986000632,0.0931668038156089,0.019006950483732073,0.08598284636487413,0.0011640757356778005,nan,1.1559225157881539,0.8140839041723088,1.0299935800395372,nan,0.0,0.4231923952069657,8,0.1260175489997314,0.05538743165051085,0.5125072560596572,0.6203780041246937,0.9663741405095191,0.0035014464924159852,384000,4096,14336,8192,410624,0.5333324085433924,0.9794007809051821
800,8.544047961000615,0.10206076803120141,0.028773713483720167,0.0838400022869108,0.000998488086863365,nan,1.1748963918368867,0.8019202969777437,1.0231833111853696,nan,0.03794775209746548,0.4611401473044312,9,0.11951891462367083,0.08182105730730935,0.5801550595314479,0.5731735561306484,0.9637404973715246,0.005574037671837049,409600,4608,16384,9216,439808,0.5333324085433924,0.9794007809051821
