step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.02567353799997818,0.44041460301811575,0.027632988555181846,0.3342106738758067,0.08079628805388095,nan,1.0174466067300914,0.994878632151381,0.9876747611185278,nan,0.03489321346018259,0.03489321346018259,1,0.038702357204353485,0.017728555051137008,0.10713332382352926,1.0,1.0,0.00048828125,512,1.0,1.0,1.0,1.0,512,0,1024,2048,nan,nan
50,0.2866854249999733,0.17169225074305683,0.044837931607103844,0.1207729880262185,0.005991430054922296,nan,1.0174466067300914,0.994878632151381,0.9876747611185278,nan,0.0,0.03489321346018259,1,0.038702357204353485,0.017728555051137008,0.10713332382352926,1.0,1.0,0.00048828125,25600,1.0,1.0,1.0,1.0,512,0,1024,27136,nan,nan
100,0.5872578639999801,0.14932886606581972,0.059708856344751655,0.08382060174189306,0.003574415408264982,nan,1.0808384499565928,0.9711783359528169,0.9479832140905904,nan,0.12678368645300298,0.16167689991318557,2,0.05008850896132792,0.04533679232140901,0.029034527606096313,0.6603106422209722,0.9687273704778696,0.0017005367444952813,51200,0.7656895347523759,1.0194113085507777,0.28713360742165067,4.854225665099711,1024,2048,2048,56320,nan,nan
150,0.8514786189999768,0.1460228534082127,0.055060047553729355,0.08540083068236798,0.0037684214989399225,nan,1.0808384499565928,0.9711783359528169,0.9479832140905904,nan,0.0,0.16167689991318557,2,0.05008850896132792,0.04533679232140901,0.029034527606096313,0.6603106422209722,0.9687273704778696,0.0017005367444952813,76800,0.7656895347523759,1.0194113085507777,0.28713360742165067,4.854225665099711,1024,2048,2048,81920,nan,nan
200,1.1410557479999852,0.14847971256521597,0.055813144798321834,0.08588147215638048,0.0036686665401766535,nan,1.1392157120109545,0.9496075876895528,0.9111767002994929,nan,0.11675452410872322,0.2784314240219088,3,0.05788282206837907,0.05026300641437059,0.048903428511032326,0.6922812856166902,0.9724610441756154,0.001490298683908701,102400,0.6878056732704734,0.9892950355056671,0.28713360742165067,4.921406013371933,1536,4096,3072,111104,nan,nan
250,1.4142246410000325,0.14385940182431425,0.0481665499444571,0.08969385613928654,0.004185077355438587,nan,1.1392157120109545,0.9496075876895528,0.9111767002994929,nan,0.0,0.2784314240219088,3,0.05788282206837907,0.05026300641437059,0.048903428511032326,0.6922812856166902,0.9724610441756154,0.001490298683908701,128000,0.6878056732704734,0.9892950355056671,0.28713360742165067,4.921406013371933,1536,4096,3072,136704,nan,nan
300,1.7069884539999975,0.13471098122066333,0.043388646385651694,0.0854482445595029,0.0039608162163340364,nan,1.1903958506216403,0.931356022421991,0.8782481269563688,nan,0.10236027722137175,0.38079170124328054,4,0.06542705045285171,0.04698391820342847,0.019201370446468843,0.6709115675886045,0.9706732293119891,0.0017778753912947895,153600,0.688133147160744,0.9306319799795917,0.28713360742165067,4.014446452134886,2048,6144,4096,165888,nan,nan
350,1.991801015999954,0.12160136443428064,0.03656102160979752,0.08045711193349084,0.0035810611751055446,nan,1.1903958506216403,0.931356022421991,0.8782481269563688,nan,0.0,0.38079170124328054,4,0.06542705045285171,0.04698391820342847,0.019201370446468843,0.6709115675886045,0.9706732293119891,0.0017778753912947895,179200,0.688133147160744,0.9306319799795917,0.28713360742165067,4.014446452134886,2048,6144,4096,191488,nan,nan
400,2.29059053200001,0.12025761636611626,0.03503953029029113,0.08150401998847664,0.00265173576176877,nan,1.2378928624631078,0.9157602739246,0.8463468636122923,nan,0.09499402368293497,0.4757857249262155,5,0.0371607873698116,0.04898909661658641,0.11473081742399772,0.6037034003368476,0.9638113592988157,0.0022882576918638394,204800,0.6182935610816441,0.9582610017503421,0.21338560413721738,4.9298049099005015,2560,8192,5120,220672,nan,nan
450,2.5833354999999756,0.11012053178066289,0.031394352797415245,0.07506473848194865,0.0029732266579755736,nan,1.2378928624631078,0.9157602739246,0.8463468636122923,nan,0.0,0.4757857249262155,5,0.0371607873698116,0.04898909661658641,0.11473081742399772,0.6037034003368476,0.9638113592988157,0.0022882576918638394,230400,0.6182935610816441,0.9582610017503421,0.21338560413721738,4.9298049099005015,2560,8192,5120,246272,nan,nan
500,3.5127678239999796,0.1084969580034424,0.03314421234036568,0.07066320480101926,0.002953837091231996,nan,1.2825722288839412,0.8996408017973182,0.8177869693187407,nan,0.08935873284166673,0.5651444577678822,6,0.04296264623307235,0.022905573796063148,0.023882593003590753,0.5410477039935961,0.9571605325916431,0.0034147117422575913,256000,0.6400744341295727,0.9743239347034469,0.14802054983094862,4.723626504304263,3072,10240,6144,275456,0.5489158393658545,1.205108199686483
