step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.021954942999968807,0.46881527941428147,0.011627349257637847,0.4687529482584078,0.005145246954656585,nan,1.0050238606514108,0.9638857806114195,1.0310903587371696,nan,0.0722284387771609,0.0722284387771609,1,0.033232127698887504,0.0012133940870308478,0.01754045713144772,1.0,1.0,0.00048828125,512,1.0,1.0,1.0,1.0,512,0,1024,2048,nan,nan
50,0.2789962929999774,0.21770256186482403,0.018595986000477138,0.17821632625800207,0.026411816615630856,nan,1.0050238606514108,0.9638857806114195,1.0310903587371696,nan,0.0,0.0722284387771609,1,0.033232127698887504,0.0012133940870308478,0.01754045713144772,1.0,1.0,0.00048828125,25600,1.0,1.0,1.0,1.0,512,0,1024,27136,nan,nan
100,0.5808124339999949,0.20063949084742239,0.09939886087201544,0.09773884972158589,0.006600752511408257,nan,1.0445269045477676,0.9206590329168532,1.034814062535379,nan,0.0864534953891325,0.1586819341662934,2,0.07270712543359975,0.06301796653661343,0.46436094808824513,0.5943885826917473,0.9601843614920095,0.001951848156924898,51200,0.6828000964454322,1.0255814143152513,0.25502386994622567,4.946034897573876,1024,2048,2048,56320,nan,nan
150,0.8489294449999534,0.1658724114978861,0.04628890646423632,0.11925495381445797,0.007469219006935396,nan,1.0445269045477676,0.9206590329168532,1.034814062535379,nan,0.0,0.1586819341662934,2,0.07270712543359975,0.06301796653661343,0.46436094808824513,0.5943885826917473,0.9601843614920095,0.001951848156924898,76800,0.6828000964454322,1.0255814143152513,0.25502386994622567,4.946034897573876,1024,2048,2048,81920,nan,nan
200,1.1400023589999364,0.15213079117821912,0.04796616161117852,0.10381852478788481,0.009337809764674385,nan,1.0616590443029903,0.8796210185265888,1.0587199371704208,nan,0.08207602878052889,0.24075796294682228,3,0.080285729294477,0.042553909714570584,0.3919918918848905,0.7791023601955362,0.9810969899345557,0.001217894078413531,102400,0.7314790020264469,0.9980198037607413,0.2642729124949671,4.496077600728924,1536,4096,3072,111104,nan,nan
250,1.4150710960000197,0.12958652400791631,0.03557674515234391,0.09682100496800015,0.006281509879866481,nan,1.0616590443029903,0.8796210185265888,1.0587199371704208,nan,0.0,0.24075796294682228,3,0.080285729294477,0.042553909714570584,0.3919918918848905,0.7791023601955362,0.9810969899345557,0.001217894078413531,128000,0.7314790020264469,0.9980198037607413,0.2642729124949671,4.496077600728924,1536,4096,3072,136704,nan,nan
300,1.7011543899999424,0.12964397250079257,0.04328873247697488,0.09440952104995626,0.002575858105826207,nan,1.0952346940466826,0.8420250613842094,1.062740244569108,nan,0.07519191428475902,0.3159498772315813,4,0.04230008163324907,0.0782884400690287,0.26245666739137485,0.649844928762622,0.9685557951503906,0.0025012171571564224,153600,0.6374187521279752,0.9785285923606706,0.22796483162848805,4.899037242358608,2048,6144,4096,165888,nan,nan
350,1.9875837439999486,0.09929553174045148,0.025064209610963117,0.08328966254739747,0.001611265391778034,nan,1.0952346940466826,0.8420250613842094,1.062740244569108,nan,0.0,0.3159498772315813,4,0.04230008163324907,0.0782884400690287,0.26245666739137485,0.649844928762622,0.9685557951503906,0.0025012171571564224,179200,0.6374187521279752,0.9785285923606706,0.22796483162848805,4.899037242358608,2048,6144,4096,191488,nan,nan
400,2.273170332999939,0.1079462713944523,0.0414775898426107,0.07396690370140763,0.0008992777118008225,nan,1.1403774018580446,0.8071132365504881,1.0525093615914676,nan,0.09028541562272385,0.40623529285430515,5,0.11346513627179917,0.09575436375850054,0.7397897235990869,0.6717380201608055,0.9724397242035282,0.0035995286542999977,204800,0.6499465401073317,0.9846537609006113,0.13565144131210044,4.899037242358608,2560,8192,5120,220672,nan,nan
450,2.5440132569999605,0.08823545248485143,0.019204329116322694,0.08142014077028535,0.000589064789232581,nan,1.1403774018580446,0.8071132365504881,1.0525093615914676,nan,0.0,0.40623529285430515,5,0.11346513627179917,0.09575436375850054,0.7397897235990869,0.6717380201608055,0.9724397242035282,0.0035995286542999977,230400,0.6499465401073317,0.9846537609006113,0.13565144131210044,4.899037242358608,2560,8192,5120,246272,nan,nan
500,3.4436720679999553,0.09118822739499953,0.025256954598519392,0.07832885232025885,0.0005479580880474765,nan,1.1803499433078182,0.7762714879603908,1.0433785687317914,nan,0.07994508289954705,0.4861803757538522,6,0.09976174947329068,0.09833711971219039,0.4878604106828547,0.6940250927487516,0.9740082450993919,0.002656627478306379,256000,0.6418802751841104,0.9441374712473642,0.13730631167883034,4.917257316463949,3072,10240,6144,275456,0.49813777116691044,0.8939403379084925
550,3.7102227729999413,0.08186996022763408,0.01761040437765741,0.07737019411934346,0.0009807032046624418,nan,1.1803499433078182,0.7762714879603908,1.0433785687317914,nan,0.0,0.4861803757538522,6,0.09976174947329068,0.09833711971219039,0.4878604106828547,0.6940250927487516,0.9740082450993919,0.002656627478306379,281600,0.6418802751841104,0.9441374712473642,0.13730631167883034,4.917257316463949,3072,10240,6144,301056,0.49813777116691044,0.8939403379084925
600,3.9981678919999695,0.12971453295190893,0.05896869642008441,0.07637867607440023,0.0006289569081487343,nan,1.2231321971985984,0.7454872318443396,1.0313805709570623,nan,0.08556450778156055,0.5717448835354128,7,0.1356358816087667,0.139178656376138,0.6225772776974039,0.4926655142110102,0.9601630654902591,0.007761515361017231,307200,0.6137443235233887,0.9873229456665427,0.06291055641691154,4.917257316463949,3584,12288,7168,330240,0.49813777116691044,0.8939403379084925
650,4.259446749999938,0.07701119017510123,0.015543795306168985,0.07701908255421828,0.0005646131343993337,nan,1.2231321971985984,0.7454872318443396,1.0313805709570623,nan,0.0,0.5717448835354128,7,0.1356358816087667,0.139178656376138,0.6225772776974039,0.4926655142110102,0.9601630654902591,0.007761515361017231,332800,0.6137443235233887,0.9873229456665427,0.06291055641691154,4.917257316463949,3584,12288,7168,355840,0.49813777116691044,0.8939403379084925
700,4.5581862039999805,0.08035806820447797,0.02071892610589436,0.07497286975786654,0.0006059692686353006,nan,1.2450257702387524,0.7193927737815532,1.035581455979695,nan,0.05218891612557308,0.6239337996609858,8,0.16410306914882733,0.10016179620718012,0.7511795864940128,0.6397285488025392,0.9691076279443129,0.00446152048179001,358400,0.6565966422443701,0.9536857786409352,0.06895696078264231,4.853893818678443,4096,14336,8192,385024,0.49813777116691044,0.8939403379084925
750,4.824220259999947,0.07321479003325672,0.012217077878905212,0.0799491676238077,0.00047254590719337684,nan,1.2450257702387524,0.7193927737815532,1.035581455979695,nan,0.0,0.6239337996609858,8,0.16410306914882733,0.10016179620718012,0.7511795864940128,0.6397285488025392,0.9691076279443129,0.00446152048179001,384000,0.6565966422443701,0.9536857786409352,0.06895696078264231,4.853893818678443,4096,14336,8192,410624,0.49813777116691044,0.8939403379084925
800,5.114543639999965,0.07759199818876877,0.01824487107695927,0.07760801996657897,0.0003923729027878844,nan,1.2688467355787014,0.6962681463482049,1.0348851180730942,nan,0.04764193067989808,0.6715757303408839,9,0.046552610692492336,0.07412510587130837,0.1184998623037153,0.6419147967015459,0.9694111516307988,0.004197557266694627,409600,0.6261126921089112,0.9782706092213909,0.11632509552025669,4.8832364410106965,4608,16384,9216,439808,0.49813777116691044,0.8939403379084925
850,5.3736771489999455,0.06700755946884418,0.010734668836969198,0.07624812578140694,0.0002877312196225561,nan,1.2688467355787014,0.6962681463482049,1.0348851180730942,nan,0.0,0.6715757303408839,9,0.046552610692492336,0.07412510587130837,0.1184998623037153,0.6419147967015459,0.9694111516307988,0.004197557266694627,435200,0.6261126921089112,0.9782706092213909,0.11632509552025669,4.8832364410106965,4608,16384,9216,465408,0.49813777116691044,0.8939403379084925
900,5.672185377999995,0.08748095411444111,0.02839774933933196,0.07455112282164662,0.0002455800749002402,nan,1.3026713318180545,0.6738553842629497,1.0234732839189964,nan,0.06764919247870615,0.7392249228195901,10,0.07758736379357217,0.08282056294958409,0.28833231298927503,0.5382098543287532,0.9617632945199974,0.008165720081514831,460800,0.5974107332379175,1.1011422782902225,0.05979647172884947,4.910314198107261,5120,18432,10240,494592,0.49813777116691044,0.8939403379084925
950,5.9353901560000395,0.06502164517837819,0.009497511297022585,0.07775096419535599,0.00025071844813549576,nan,1.3026713318180545,0.6738553842629497,1.0234732839189964,nan,0.0,0.7392249228195901,10,0.07758736379357217,0.08282056294958409,0.28833231298927503,0.5382098543287532,0.9617632945199974,0.008165720081514831,486400,0.5974107332379175,1.1011422782902225,0.05979647172884947,4.910314198107261,5120,18432,10240,520192,0.49813777116691044,0.8939403379084925
1000,6.235385472999951,0.06715265946086173,0.01284826938422352,0.07609843012710958,0.00021465540339940964,nan,1.3216230611614987,0.6564225073035296,1.0219544315349722,nan,0.03790345868688849,0.7771283815064786,11,0.1402191261949097,0.06049009092506798,0.8122492192958082,0.605695216128184,0.9639393622356763,0.0047475257158062344,512000,0.6098966685137542,0.9839331261559167,0.06832224350911541,4.8832364410106965,5632,20480,11264,549376,0.47974118907031105,0.8723241535033763
1050,6.513630540000008,0.06051816362962262,0.007780350329429036,0.0762321651549465,0.00019077584687817863,nan,1.3216230611614987,0.6564225073035296,1.0219544315349722,nan,0.0,0.7771283815064786,11,0.1402191261949097,0.06049009092506798,0.8122492192958082,0.605695216128184,0.9639393622356763,0.0047475257158062344,537600,0.6098966685137542,0.9839331261559167,0.06832224350911541,4.8832364410106965,5632,20480,11264,574976,0.47974118907031105,0.8723241535033763
1100,6.799947363999991,0.0733147655405945,0.019330855245638708,0.07391024546350558,0.0003699510392617491,nan,1.3374780037288891,0.6369993550165364,1.025522641254575,nan,0.03884630457398641,0.815974686080465,12,0.12922797674387493,0.07844232102501207,0.5180494517969556,0.6134144404237405,0.967092517797574,0.007886794302470124,563200,0.6045050885930445,0.9411004335781401,0.06191124445163627,4.8832364410106965,6144,22528,12288,604160,0.47974118907031105,0.8723241535033763
1150,7.067795470999954,0.05771168958550479,0.007371715060865215,0.07466640243320274,0.00028252194425552277,nan,1.3374780037288891,0.6369993550165364,1.025522641254575,nan,0.0,0.815974686080465,12,0.12922797674387493,0.07844232102501207,0.5180494517969556,0.6134144404237405,0.967092517797574,0.007886794302470124,588800,0.6045050885930445,0.9411004335781401,0.06191124445163627,4.8832364410106965,6144,22528,12288,629760,0.47974118907031105,0.8723241535033763
1200,7.366391356999998,0.05945741380711173,0.010174630049726295,0.07314835845477466,0.0002507580720571979,nan,1.3460062540852693,0.622071859789324,1.0319218861254074,nan,0.029854990454424857,0.8458296765348898,13,0.09579912524300065,0.04943317635029913,0.40208924217093833,0.5946762650126644,0.9636616880566469,0.005111644940546762,614400,0.5854645200615628,0.9756063924305249,0.09552331112179545,4.917461451621233,6656,24576,13312,658944,0.47974118907031105,0.8723241535033763
1250,7.63948970499996,0.05478969579757946,0.006618459597445232,0.07349019057960743,0.0001599232064927797,nan,1.3460062540852693,0.622071859789324,1.0319218861254074,nan,0.0,0.8458296765348898,13,0.09579912524300065,0.04943317635029913,0.40208924217093833,0.5946762650126644,0.9636616880566469,0.005111644940546762,640000,0.5854645200615628,0.9756063924305249,0.09552331112179545,4.917461451621233,6656,24576,13312,684544,0.47974118907031105,0.8723241535033763
1300,7.924626904999968,0.06447125127689664,0.015274424398570352,0.07155169451495336,0.0001858275579899694,nan,1.3616161080399114,0.6076979646758252,1.0306859272842641,nan,0.03121970790928419,0.877049384444174,14,0.21444021003636188,0.24057488156853363,0.9806921017743035,0.5431229415529807,0.9617855429040749,0.009074194173904196,665600,0.6154811347839109,1.0250966532762706,0.05380987453455779,4.352637115162755,7168,26624,14336,713728,0.47974118907031105,0.8723241535033763
1350,8.190483501000017,0.055446443382500946,0.00917144278946148,0.07009809913651048,0.00034926932052966404,nan,1.3616161080399114,0.6076979646758252,1.0306859272842641,nan,0.0,0.877049384444174,14,0.21444021003636188,0.24057488156853363,0.9806921017743035,0.5431229415529807,0.9617855429040749,0.009074194173904196,691200,0.6154811347839109,1.0250966532762706,0.05380987453455779,4.352637115162755,7168,26624,14336,739328,0.47974118907031105,0.8723241535033763
