step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,vrba_attention_effective_sample_fraction,vrba_multiplier_mean,vrba_multiplier_min,vrba_multiplier_max,vrba_temperature,vrba_local_updates,kde_pairwise_distance_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.03241817100024491,0.49307368396692197,0.011816582160821636,0.4761263456080055,0.005219092532514793,nan,1.0,0.999813162222527,1.0001191881128555,nan,0.00030602589032846517,0.00030602589032846517,1,0.033374510756127365,0.0013070020316454075,0.0010872809616470846,1.0,1.0,0.00048828125,512,1.0,1.0,1.0,1.0,0.9999984888637126,1.0079909619528256,1.0065662974732918,1.009,0.11185525411372335,1,0,0,0,1024,1536,nan,nan
50,0.6355928800003312,0.34012749870163683,0.04908083614568607,0.2568294150209113,0.03679797828408748,nan,1.0,0.9903586009801976,0.9971591950513704,nan,0.00033737832326796724,0.013756162284135565,50,0.033374510756127365,0.0013070020316454075,0.0010872809616470846,1.0,1.0,0.00048828125,25600,1.0,1.0,1.0,1.0,0.9958612142962675,1.1794271270327505,1.0876464276814277,1.2765059575186908,0.10912553172717411,50,0,0,0,1024,26624,nan,nan
100,1.2330019030000585,0.33514469788161166,0.13469233142035364,0.18565321430456777,0.01832095611659407,nan,1.0,0.9817458881982647,0.9927476803726224,nan,0.00018733413429017354,0.026780389744816446,100,0.13263204884859625,0.12701639710265006,0.4949873112183436,1.0,1.0,0.00048828125,51200,1.0,1.0,1.0,1.0,0.9885510866419446,1.2491612298278123,1.1452734207252298,1.698044577866557,0.17629384345554014,100,0,0,0,2048,53248,nan,nan
150,1.8263044010000158,0.36925918505619104,0.1510116408832561,0.1954299447762805,0.027840461454394394,nan,1.0,0.9751844778159161,0.9937800625900708,nan,0.00019056985705800944,0.03494048787075632,150,0.13263204884859625,0.12701639710265006,0.4949873112183436,1.0,1.0,0.00048828125,76800,1.0,1.0,1.0,1.0,0.9736817883536296,1.3130780085846194,1.1930528295773952,2.006269528823921,0.13256843903566404,150,0,0,0,2048,78848,nan,nan
200,2.427616417000081,0.36894825512339746,0.15064332642747724,0.20638035295510723,0.01805367377528455,nan,1.0,0.9702034262439011,1.0011260519281595,nan,0.00031484978824258825,0.047267528780860046,200,0.17711525179682824,0.10063584193251071,0.7831193525269377,1.0,1.0,0.00048828125,102400,1.0,1.0,1.0,1.0,0.9592979312291644,1.3774871478477486,1.2379624961307356,2.189534814023744,0.12672813095152916,200,0,0,0,3072,105472,nan,nan
250,3.005407994000052,0.3449886716352537,0.15584443753583394,0.18985857667672046,0.005532674929148313,nan,1.0,0.9665711658503099,1.0180262470596122,nan,0.0005198316944035053,0.06779998430590395,250,0.17711525179682824,0.10063584193251071,0.7831193525269377,1.0,1.0,0.00048828125,128000,1.0,1.0,1.0,1.0,0.9529639300599152,1.429468036140192,1.2804870502517736,2.2270858659551536,0.13450782037681785,250,0,0,0,3072,131072,nan,nan
300,3.590507405000153,0.33117894852579965,0.16496279305384148,0.17026328780316524,0.001993711408461043,nan,1.0,0.9639582027462487,1.0480265893470286,nan,0.0007730752975757538,0.10041328969738161,300,0.20347847316251993,0.165201656156857,0.8085213633195383,1.0,1.0,0.00048828125,153600,1.0,1.0,1.0,1.0,0.9545985700163871,1.4679997654624561,1.3187593722862605,2.2335649921109773,0.15955272974136908,300,0,0,0,4096,157696,nan,nan
350,4.150178293999943,0.33224193930933027,0.17851976574502923,0.157479712640528,0.002015528317117609,nan,1.0,0.9621252849871998,1.0949784935231353,nan,0.00116875246315562,0.14919811163253704,350,0.20347847316251993,0.165201656156857,0.8085213633195383,1.0,1.0,0.00048828125,179200,1.0,1.0,1.0,1.0,0.9561102950746218,1.5027371464253672,1.3539537797612893,2.235460826969836,0.15419718825276155,350,0,0,0,4096,183296,nan,nan
400,4.7612661570001364,0.3374081626625163,0.1502304345583288,0.19268993929803144,0.0017529993364409169,nan,1.0,0.9608019300026907,1.164211812356479,nan,0.0015020991722167754,0.21975478545039007,400,0.17419440634395772,0.15634418269974917,0.9062986255759525,1.0,1.0,0.00048828125,204800,1.0,1.0,1.0,1.0,0.954094811338575,1.5365702127325118,1.3867527021024095,2.6043347914700217,0.13202068868440203,400,0,0,0,5120,209920,nan,nan
450,5.338185712000268,0.3182991306356811,0.15658602815231787,0.16775878285616955,0.000559561458473294,nan,1.0,0.9597982991915028,1.2483133228669945,nan,0.0018885681498204132,0.3048599267720933,450,0.17419440634395772,0.15634418269974917,0.9062986255759525,1.0,1.0,0.00048828125,230400,1.0,1.0,1.0,1.0,0.9502981118687537,1.5682819513157187,1.417974668543104,2.8970411123981736,0.12369511475939525,450,0,0,0,5120,235520,nan,nan
