step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.01275851100001546,0.6166890725620444,0.1010077107578734,0.2919053598642376,0.0971711681208752,0.12717751035878028,0.9813428452131313,0.989613275470985,0.9783361714567276,1.0507077078591562,0.10141541571831236,0.10141541571831236,1,0.07643099505105594,0.052894183083062804,0.039109693804411226,1.0,1.0,0.0009765625,256,1.0,1.0,1.0,1.0,256,0,512,1024,nan,nan
25,0.09714423000002625,0.4493662122970805,0.004507503762905286,0.2655390446461982,0.06364496465095004,0.10959535430296412,0.940759831079042,0.9866390053597853,0.9578352709943619,1.1147658925668107,0.12811636941530902,0.22953178513362138,2,0.06549783499204292,0.039809549809382457,0.19898650780512894,0.7759650123107017,0.9777134013477056,0.001746423050461184,6400,0.8451556623392689,1.0072455628240249,0.5609564867845499,3.6340148379445334,512,1024,1024,8960,nan,nan
50,0.18559157899994716,0.39883849244543795,0.003542796182081011,0.230607546455456,0.05827290731623963,0.09713920987275644,0.9020142004717402,0.9829679278240777,0.9388118916414818,1.1762059800627,0.12288017499177895,0.3524119601254003,3,0.05204616935776486,0.035009468678938546,0.19293710583893994,0.8122003757159315,0.9835102156554197,0.0019224341324981587,12800,0.8416195007199498,0.9772663038278702,0.5079822936409164,3.6340148379445334,768,2048,1536,17152,nan,nan
75,0.27235749599992687,0.29207609612178015,0.01408976427056937,0.1615928411370595,0.04172346384191311,0.06807933635716341,0.876040043032569,0.9761521158547247,0.9192496962751394,1.2285581448375669,0.10470432954973341,0.45711628967513374,4,0.041423600425288115,0.03155939272426167,0.06388497798626623,0.7019758202233534,0.9711886649717539,0.0024931303962674118,19200,0.7603552714281075,0.9589809064724646,0.3933726642546085,3.8042441127083824,1024,3072,2048,25344,nan,nan
100,0.3527996369999755,0.22614067095038126,0.055651304041666655,0.11061639446506479,0.016403001900232448,0.04421181138823897,0.8745721430174271,0.9654027378280343,0.89246548022545,1.2675596389290886,0.07800298818304341,0.5351192778581771,5,0.03748060374550146,0.03095711101658921,0.04942488314693055,0.8020437722169829,0.9826410856571004,0.0022911933311113904,25600,0.7518205863034003,0.9735640991334259,0.3933726642546085,3.90504406802658,1280,4096,2560,33536,nan,nan
125,0.43013166599996566,0.205170750845093,0.055200574007743766,0.09741054460376253,0.012367266975125527,0.04078444195461211,0.8750792395639054,0.9538220361424662,0.865444907639163,1.3056538166544656,0.07720254854371034,0.6123218264018875,6,0.019979758207110912,0.0159115746389826,0.0996035120575437,0.716872857497939,0.9735214320094718,0.002485433437820997,32000,0.7524848273421892,0.9902458058101193,0.393103977758491,4.382231908608269,1536,5120,3072,41728,nan,nan
150,0.5131908219999559,0.19487938763967477,0.06538160452637465,0.08320186192953888,0.010859848406579897,0.03728599768911074,0.8804472632915303,0.9403468077587673,0.8392497671155041,1.3399561618341984,0.07934073781471551,0.691662564216603,7,0.033877606794912765,0.01849436029945503,0.00012186591423968279,0.6332080893583708,0.9621337165374123,0.003020925483362214,38400,0.6437132218678098,0.9893460680026388,0.3272694868563784,4.778061441277314,1792,6144,3584,49920,nan,nan
175,0.5917368350000061,0.190703057396107,0.07273641849234613,0.07430012568402815,0.009658330662967285,0.03603271494420225,0.8885267059186713,0.9256758890832344,0.813791230914999,1.3720061740830956,0.08025890975207617,0.7719214739686792,8,0.04420217935202116,0.028174498109008694,0.03427155670948065,0.627666753561844,0.9602256158127296,0.0028980822284082964,44800,0.6055622654431112,0.9532139592422818,0.33696852712711123,4.995931434818794,2048,7168,4096,58112,nan,nan
200,0.6712659830000121,0.18563898730930303,0.07125990955819111,0.0721244453241299,0.007853734892676052,0.035503640681981294,0.8962115132200578,0.9115445239824383,0.7885107948211368,1.4037331679763674,0.07882360238931652,0.8507450763579957,9,0.05958430392163516,0.03157649775182614,0.09919216038029881,0.6227900547314748,0.9598909108925151,0.0030203447743260264,51200,0.6064494251183552,0.9303370220367817,0.32784362022655944,4.995931434818794,2304,8192,4608,66304,0.5236029191705817,0.9488999904412084
225,0.7491498079999701,0.18414841467807458,0.07250382328670348,0.0686230809798566,0.007226048529495999,0.03591279203364553,0.9038248243200233,0.8972003597446682,0.7641968443442433,1.4347779715910656,0.07731622942932748,0.9280613057873232,10,0.05316103328677531,0.03258595971060878,0.04475601206151822,0.6271439790183064,0.9616415290569715,0.003310260189405408,57600,0.5783565700437273,0.927749507738597,0.2950107979806298,4.903629480552843,2560,9216,5120,74496,0.5236029191705817,0.9488999904412084
