step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.017552900999930898,0.8230946974254786,0.04357130885415883,0.598443616138933,0.017097603824981728,0.17770753313016435,0.9913654399291085,0.9713280116265903,1.017559510429103,1.019747038015198,0.07461309688860229,0.07461309688860229,1,0.04975873355754516,0.048049874992415295,0.0179206939518181,1.0,1.0,0.0009765625,256,1.0,1.0,1.0,1.0,256,0,512,1024,nan,nan
25,0.126589598999999,0.5654001893616067,0.004115253249915367,0.3842046084221282,0.07601329685937377,0.11595242245980228,0.9536721584139084,0.9382401058045028,1.0876168321878288,1.02047090359376,0.14156237467457533,0.21617547156317762,2,0.07889685817452735,0.059492375761723115,0.22205145108256227,0.8693914823672074,0.9881043997033396,0.0018360898681009704,6400,0.9179755053059585,0.9624098922122435,0.5390230360764896,3.0876260315864434,512,1024,1024,8960,nan,nan
50,0.24017939399993793,0.5207411807905777,0.007404469305265339,0.3545384848893884,0.06987974028352084,0.10972422648999333,0.923138380128579,0.906857996255966,1.1472653419804,1.0227382816350552,0.12383177566773262,0.34000724723091025,3,0.07466908217200843,0.057910625100971336,0.18602500577069975,0.8695793516060172,0.987973544745649,0.0017607737997490367,12800,0.8501294113027102,0.9705672051788317,0.5477767466853466,4.408611633245112,768,2048,1536,17152,nan,nan
75,0.35714895199998864,0.43776658710766747,0.013931103287576954,0.2971709648381739,0.055820341420150674,0.09547855340141453,0.9031313517373414,0.8768423705966424,1.1940028926135038,1.0260233850525124,0.10004530810112222,0.44005255533203247,4,0.07493448577056316,0.05982618254167193,0.12136372454545201,0.8780174247527558,0.9890424943495252,0.001683490073699944,19200,0.8471816627922834,0.9806750174009716,0.5477767466853466,3.8590105210045875,1024,3072,2048,25344,nan,nan
100,0.48509850300001744,0.3035576718481616,0.02661785967298955,0.2025287099641457,0.03273589807053592,0.06599553640368691,0.9008752452701827,0.847683391961176,1.2233146631077063,1.028126699660935,0.06283017020525017,0.5028827255372826,5,0.07956962458022902,0.06966657800884885,0.007009806461228582,0.751635223463103,0.9759548235643922,0.002339559303426009,25600,0.7674610229348755,0.9888305775596489,0.4238380371224526,4.337713718767733,1280,4096,2560,33536,nan,nan
125,0.6056390960000044,0.260919478405239,0.11114029391805574,0.1255425042041361,0.009520724226005682,0.04068059501503962,0.9455426213373554,0.8177900858070926,1.2138939313296093,1.022773361525943,0.08933475213434539,0.592217477671628,6,0.07018603887081859,0.057859696910570246,0.3865199691432604,0.6085629353334517,0.9572929584023665,0.0032917074881555096,32000,0.6072141412512974,1.0407160466113896,0.31877054076205513,4.539175187024104,1536,5120,3072,41728,nan,nan
150,0.7399680170000238,0.253576395583181,0.08850850591217758,0.13679760270568828,0.006209300440880882,0.049599074946845206,0.9824872257761381,0.7910666258757627,1.1990790184500209,1.0273671298980784,0.08307674562183653,0.6752942232934646,7,0.07997231664449633,0.054795242146701464,0.4208400938078009,0.6340292162807976,0.9615230743445226,0.003061594108399494,38400,0.5986115091138232,0.9714997328520086,0.31897190333649955,4.862995164323628,1792,6144,3584,49920,nan,nan
175,0.8722402559999409,0.24436281943398636,0.07609218451488525,0.14448863340107881,0.005925552512913256,0.04784759246117456,1.0132495873452043,0.7666560229051449,1.1864119163011049,1.0336824734485461,0.07415541023906769,0.7494496335325322,8,0.08367489854771362,0.06807984840200351,0.4401794765721899,0.6318583505581341,0.9616461375549812,0.0033282301263589413,44800,0.5789668968027759,1.0315157529375951,0.2934179617766852,4.417489957152716,2048,7168,4096,58112,nan,nan
200,1.0097299010000143,0.2359866466927144,0.0714064646948723,0.1432580052106402,0.005161078144873784,0.047061657036365084,1.041079942730624,0.7438610582042318,1.173291421373056,1.0417675776920883,0.07183091925792384,0.8212805527904561,9,0.08165192325117485,0.06566981589213378,0.4292427609318345,0.6809947759089412,0.9688951714391839,0.0029589663976190015,51200,0.6301138455745682,0.996466911936116,0.2934179617766852,4.165500550829271,2304,8192,4608,66304,0.5823180295636828,0.943919536821081
225,1.1365251239999452,0.2293793906118178,0.06721055507215876,0.14004947940883392,0.0046310573341760974,0.04869502781974045,1.0654945647320355,0.722301669496958,1.160004117950974,1.0521996478200328,0.06969338425871197,0.890973937049168,10,0.08546329833065415,0.056339620944579706,0.46751369287573935,0.6833736457637347,0.9688603660021108,0.0027523955789637566,57600,0.6348598300088278,1.0472724237386417,0.30151556702332466,4.8206380157287985,2560,9216,5120,74496,0.5823180295636828,0.943919536821081
250,1.2645714599999565,0.2217205571003048,0.06102542975849725,0.14239419022555921,0.004531304899451661,0.04726052022338739,1.0859015652407247,0.7022689156195607,1.1485883721964711,1.0632411469432435,0.06289699926379977,0.9538709363129678,11,0.0809773930428384,0.05344398942279044,0.42692715651649044,0.6998082596168811,0.9706391501784339,0.0027034766441703965,64000,0.6715702398947656,0.9967165374541245,0.3306118648340536,4.165500550829271,2816,10240,5632,82688,0.5823180295636828,0.943919536821081
275,1.3908557940000037,0.21465037784496338,0.058517450766588916,0.13918299541722537,0.004667607597109696,0.04626311110488138,1.10345089129981,0.6830834274480205,1.1394539710730498,1.0740117101791193,0.05663977858992275,1.0105107149028907,12,0.07730367342631198,0.05428407072575877,0.36439741010533505,0.7149370661962349,0.972233429070847,0.0026135204564436687,70400,0.6751716594954348,1.0220568722529384,0.3440205006670686,4.257272395363164,3072,11264,6144,90880,0.5823180295636828,0.943919536821081
300,1.519622819999995,0.20591013019490534,0.0536885894028062,0.1373679332808231,0.004965373170898263,0.04515737169827824,1.1170686820356777,0.6648167070759687,1.1333707278443927,1.0847438830439606,0.0486999272014178,1.0592106421043086,13,0.06376105172306913,0.05309541978458365,0.25401152834724516,0.7589477317143069,0.9769864108041482,0.002312445622686961,76800,0.6960049924245421,1.0202426176644195,0.38795755329610054,4.451207533533349,3328,12288,6656,99072,0.5823180295636828,0.943919536821081
325,1.6416959739999584,0.19735728811572234,0.05494735758128823,0.12515612719606797,0.004886823540795886,0.044578192113380655,1.1299177359984294,0.6466983968210563,1.1282404047802845,1.0951434624002292,0.04649726663804088,1.1057079087423496,14,0.08105748846508201,0.04975499656149793,0.3641448962640703,0.7493901194571279,0.9759811437535502,0.002432063073006377,83200,0.6560291705261253,1.0440431598138156,0.38917548425804716,4.451207533533349,3584,13312,7168,107264,0.5823180295636828,0.943919536821081
350,1.7798117439999714,0.19161531056979855,0.0469717552854982,0.13102812156586657,0.005393976465643535,0.04484476944477089,1.13668255945166,0.6298619560453429,1.1271025575507148,1.1063529269522816,0.035948576010566335,1.1416564847529158,15,0.0778518485443699,0.05150156365903026,0.36802145051486185,0.7762347966131133,0.9787311590051725,0.002572867871576662,89600,0.6449583293936849,1.075784036616034,0.37956185422050426,4.451207533533349,3840,14336,7680,115456,0.5823180295636828,0.943919536821081
375,1.9150678769999558,0.19133970371124134,0.050796888530464365,0.12583972287934891,0.005186831929235675,0.04493832715715722,1.1441637422259165,0.613344789529034,1.1254220174022551,1.1170694508427936,0.036395413329536996,1.1780518980824528,16,0.09618804927564946,0.05897512475080258,0.42793365441339726,0.7502889772159717,0.9762917108201425,0.002693736698906068,96000,0.7046527376129188,0.9550477404271924,0.3693370176422273,4.426418360837058,4096,15360,8192,123648,0.5823180295636828,0.943919536821081
400,2.0523355450000054,0.1821766797766372,0.043634009572996166,0.1276440857042655,0.00407090036298802,0.045163051561014286,1.14923739696492,0.5984149546364658,1.121289034405078,1.1310586139935352,0.03812563577949046,1.2161775338619432,17,0.08302343799446193,0.05471890810696988,0.2535267355795946,0.7642688420881032,0.9773484630327363,0.0028303731177989535,102400,0.7149781911197274,0.9890439357940655,0.35578351914054646,4.426418360837058,4352,16384,8704,131840,0.5470257727640992,0.9232791787280972
425,2.1788115539999353,0.17700374538400443,0.043171026302899845,0.12314977467829,0.004653529072027726,0.043887461313736276,1.1524853457173199,0.5836417697268335,1.1209994347130097,1.1428734498428361,0.03012556920340137,1.2463031030653444,18,0.09813840524018552,0.058062572971628076,0.30606685550392077,0.7447249364830507,0.9755729652544393,0.003223877653323508,108800,0.6597791872911279,1.0067898689926706,0.30291549649635674,4.890360826650366,4608,17408,9216,140032,0.5470257727640992,0.9232791787280972
450,2.3443638630000123,0.17461957447186915,0.04304344364337259,0.121149422832567,0.0040209970234383816,0.04442751684702506,1.1559009693240063,0.569638740645241,1.1184930417501313,1.1559672482806203,0.0330188440889414,1.2793219471542858,19,0.09773052427082667,0.05724724424580478,0.3486152290712186,0.7353317826838747,0.9745406579998015,0.003270814974460399,115200,0.6592968545956888,1.0055004133313568,0.2985685548174757,4.890360826650366,4864,18432,9728,148224,0.5470257727640992,0.9232791787280972
475,2.4759565389999807,0.17433924135103182,0.04200802801323386,0.12247906594336719,0.003859682226871933,0.045523564028334546,1.1578600776965042,0.5563719589353083,1.1160841788966762,1.1696837844715104,0.03135128912677587,1.3106732362810618,20,0.10152092230376511,0.05506739359569446,0.46955871380533726,0.7289342530563099,0.9738072140911814,0.0033153746615782785,121600,0.6570516202684317,0.9777090129122581,0.29455569873213333,4.779013800091522,5120,19456,10240,156416,0.5470257727640992,0.9232791787280972
500,2.6063175319999345,0.16956318171971393,0.03738759754035201,0.12752403898438264,0.003728200480944547,0.044554705153481686,1.1571487647759784,0.5442627518143424,1.1149459765114749,1.1836425068982035,0.02791744485338621,1.338590681134448,21,0.10222635968857646,0.05790350244774061,0.3556927238389145,0.7201959251443891,0.9736277984200161,0.003888261198811172,128000,0.6797662928046211,0.969274486396182,0.2633120100387121,4.638909512700593,5376,20480,10752,164608,0.5470257727640992,0.9232791787280972
525,2.742376175000004,0.16203450398497968,0.03614124130621271,0.11747070553762373,0.0031959588226058346,0.045152822424657804,1.1564329230672876,0.5324190702536432,1.1120687464070858,1.1990792602719824,0.030873506747557955,1.3694641878820057,22,0.08756398473476075,0.047410212155112805,0.3792520126764523,0.7076751251518286,0.9715080248898386,0.003688268472004123,134400,0.6495899782188529,1.0750144814502773,0.2633120100387121,4.78960399362039,5632,21504,11264,172800,0.5470257727640992,0.9232791787280972
