step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,vrba_attention_effective_sample_fraction,vrba_multiplier_mean,vrba_multiplier_min,vrba_multiplier_max,vrba_temperature,vrba_local_updates,kde_pairwise_distance_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.018014712999956828,0.9097819389673691,0.056092928223744565,0.49536283532162284,0.021997297446174326,0.3363907588470998,1.0,0.9999123852377427,1.0001068033162133,0.9999380804674574,0.00025633761101317987,0.00025633761101317987,1,0.12424625782605954,0.14563274364831313,0.04229495611185381,1.0,1.0,0.0009765625,256,1.0,1.0,1.0,1.0,0.9999963226569495,1.0078503662251683,1.005362718836004,1.009,0.24867108607715946,1,0,0,0,512,768,nan,nan
25,0.17849290999993173,0.8353586488601721,0.008884406268095418,0.44573255694240843,0.09974971529433982,0.2823689160482249,1.0,0.9976385868308677,1.0012279112993914,0.9984174222439329,0.00018392742492490122,0.005215191726432589,25,0.09159689833340545,0.12867288665149307,0.391301603129934,1.0,1.0,0.0009765625,6400,1.0,1.0,1.0,1.0,0.9973565541057977,1.1012795948857788,1.0589927537976975,1.1874228158107296,0.03987228277586169,25,0,0,0,1024,7424,nan,nan
50,0.330201162999856,0.8976866918734754,0.010835065079960664,0.4712424572460484,0.12676295727327488,0.29240302149955466,1.0,0.9946857364871707,0.9997718092992363,0.9964994325440821,0.00031364108966092097,0.011542133770135465,50,0.07880956513203359,0.12296880618509935,0.3451366061177376,1.0,1.0,0.0009765625,12800,1.0,1.0,1.0,1.0,0.9873416709643285,1.194477821876487,1.0884830719900689,1.3565965732301466,0.032871132918996106,50,0,0,0,1536,14336,nan,nan
75,0.5256302570001026,0.6122197136889055,0.0376252992049208,0.31160543946800545,0.07651654853034623,0.19064109462550854,1.0,0.9910470628274436,0.9966284961854827,0.9941203213050694,0.0004002751832078433,0.020703231782628895,75,0.08556035439924906,0.13107271303805013,0.37469599792989283,1.0,1.0,0.0009765625,19200,1.0,1.0,1.0,1.0,0.9885043722114872,1.2516498848190931,1.114610340040213,1.3914411089750593,0.08293727874119965,75,0,0,0,2048,21248,nan,nan
100,0.6647009729999809,0.46055110894293494,0.19086753555008756,0.16492313036642597,0.014528990848340802,0.09315477276270784,1.0,0.9873011575233942,0.9932308619543053,0.9921567197796796,0.000287348031774437,0.029810372843245503,100,0.09870501959327392,0.11406449115850002,0.4332485690539749,1.0,1.0,0.0009765625,25600,1.0,1.0,1.0,1.0,0.9894760214249309,1.2898001467665439,1.1406838015953378,1.4659465117443904,0.19426748709355782,100,0,0,0,2560,28160,nan,nan
125,0.8339670029999979,0.4779927596899859,0.20388471699547908,0.15618130484878695,0.022986800174029386,0.09832542392334247,1.0,0.98442523064484,0.9913299881939087,0.9923346110082499,0.00019088747699025355,0.035127827119410204,125,0.09599824453460087,0.13073193380290332,0.5267057739598023,1.0,1.0,0.0009765625,32000,1.0,1.0,1.0,1.0,0.985907920041205,1.323123283038933,1.1670115723616763,1.6767658537935808,0.190203883409578,125,0,0,0,3072,35072,nan,nan
150,0.9904440250002153,0.5079160671203633,0.22071577011520946,0.16464646779480402,0.02053036429953605,0.10573620920836041,1.0,0.9822416755441952,0.990887860327342,0.9943082567511904,0.00019826536853495558,0.03978432689653166,150,0.09642697748393853,0.14491244394685437,0.6030124489803249,1.0,1.0,0.0009765625,38400,1.0,1.0,1.0,1.0,0.9783939473502742,1.3536197173387483,1.189843249921237,1.860114095396244,0.18928819309552075,150,0,0,0,3584,41984,nan,nan
175,1.166488572000162,0.5404987363102653,0.2471717219667022,0.16593926420436012,0.019672532524837236,0.11132300336903717,1.0,0.9805997068201956,0.991946735110265,0.9979331561615478,0.00030458114915665746,0.046110069813811605,175,0.11005538609640461,0.16266744758289023,0.66139857778494,1.0,1.0,0.0009765625,44800,1.0,1.0,1.0,1.0,0.9718009740553037,1.379347202771437,1.2114137712273778,1.9593872119103592,0.20735839047021418,175,0,0,0,4096,48896,nan,nan
200,1.3136894210001628,0.5757243605140255,0.2716262932065008,0.16979810801226075,0.01833158325125682,0.11919031541601888,1.0,0.9794193268073855,0.9946709875633022,1.003106873503528,0.0004178505563680046,0.05518841962163912,200,0.12178447659010677,0.17591544718620905,0.7127104966051694,1.0,1.0,0.0009765625,51200,1.0,1.0,1.0,1.0,0.9660636907697762,1.4022196596782672,1.2321860113702876,2.0271485833992844,0.21432681546123958,200,0,0,0,4608,55808,0.4656393542284331,0.8885138234863416
225,1.464166619000025,0.6133353485946693,0.2968698932634131,0.17403290634348606,0.017685482824184192,0.1272440033321402,1.0,0.9786324046424618,0.9992371212693983,1.0097074863995947,0.0005341738420389097,0.06714208838872571,225,0.1337923531705733,0.18629138258881928,0.7649985850756185,1.0,1.0,0.0009765625,57600,1.0,1.0,1.0,1.0,0.9600306902209804,1.4236549148331783,1.2521887724479448,2.1667247215194543,0.21557009384963535,225,0,0,0,5120,62720,0.4656393542284331,0.8885138234863416
