step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.008640001999992819,0.6088245776822288,0.005829371308254986,0.4074168495128586,0.004967663270856635,0.19061069359025853,1.0,1.0,1.0,1.0,0.0,0.0,0,0.00953993116041731,0.03484002183304639,0.02886648176995795,1.0,1.0,0.0009765625,256,0.8200501555298279,0.9999999999999998,0.4907849895649945,2.8034320506114767,0,0,512,768,nan,nan
25,0.08856692699964697,0.4567381611208926,0.005382815059291186,0.23832935634563335,0.09435436114716053,0.1186716285688075,1.0,1.0,1.0,1.0,0.0,0.0,0,0.008016081518726074,0.04294591387238331,0.06635688320677462,0.9120490516028192,0.9921163873738175,0.0014303710547288022,6400,0.8494340731452701,1.0,0.4973380992006971,2.5186742672718547,0,1024,1024,8448,nan,nan
50,0.17347871299989492,0.3721882648996598,0.006724525260453571,0.20790610092397116,0.057370834534284924,0.10018680418095009,1.0,1.0,1.0,1.0,0.0,0.0,0,0.010180428136300757,0.04148377322108985,0.12862478250978915,0.7210923135288129,0.9723364637601984,0.002345200706007507,12800,0.8123727495103515,1.0,0.5024665818879014,3.1448618531949286,0,2048,1536,16384,nan,nan
75,0.25234973799979343,0.2881538212678303,0.02014951578091476,0.1546075052723837,0.04162936499909886,0.07176743521543298,1.0,1.0,1.0,1.0,0.0,0.0,0,0.020368650930643273,0.04040216276074292,0.21874256094011912,0.7487312821238227,0.9771460942025741,0.0023684037255717553,19200,0.758657703884084,0.9999999999999998,0.4977423047519883,3.690063777747852,0,3072,2048,24320,nan,nan
100,0.33214869399989766,0.24277679638887215,0.051433544117591046,0.11950790046661929,0.01972767668373334,0.052107675120928454,1.0,1.0,1.0,1.0,0.0,0.0,0,0.04714959846068066,0.0525773510998821,0.30085004220081074,0.7167982432136341,0.9742899914474571,0.0024701767204478716,25600,0.8033691603227805,1.0,0.500233290656138,3.1726103400305017,0,4096,2560,32256,nan,nan
125,0.41099939299965627,0.2453970248601075,0.09015806530766829,0.09673884936706773,0.012069911826111532,0.046430198359259975,1.0,1.0,1.0,1.0,0.0,0.0,0,0.10871355347077227,0.13339508981013126,0.5658263478294531,0.6099175012073969,0.9586379141194983,0.0030713241757025335,32000,0.8158783715802823,1.0,0.5300219592300905,3.0499739483767367,0,5120,3072,40192,nan,nan
150,0.48875898599999346,0.23753585235101876,0.07747662172340396,0.09514479072008408,0.012796164771142302,0.052118275136388385,1.0,1.0,1.0,1.0,0.0,0.0,0,0.09052237378150485,0.12266409361465924,0.4940627175125718,0.5998520976745015,0.9555842277581469,0.0032855064226081088,38400,0.7938282621423739,0.9999999999999999,0.5171176036177347,3.4651823338587713,0,6144,3584,48128,nan,nan
175,0.5728836809998938,0.23529184378055032,0.08068336875817671,0.09640588417477337,0.010359303842736232,0.04784328700486401,1.0,1.0,1.0,1.0,0.0,0.0,0,0.08217528484256066,0.12601565528218442,0.44333791939338607,0.6326277954744769,0.9610724463668723,0.0027557353924805893,44800,0.7768317152380433,1.0,0.5195465486381624,3.54490688382932,0,7168,4096,56064,nan,nan
200,0.657695536999654,0.22517492512501783,0.07032369642676016,0.09352847677584043,0.009841331393019192,0.05148142052939806,1.0,1.0,1.0,1.0,0.0,0.0,0,0.07757109363663253,0.11516098576581893,0.4119339028272299,0.6495066285581467,0.9640291994486347,0.0030299171579999543,51200,0.7933234210074819,1.0,0.5122819337318152,2.8993730251262955,0,8192,4608,64000,0.5630433729896056,0.9214332566494655
225,0.7381903469999997,0.2225170593209292,0.08573732230826964,0.08533664279546135,0.007646293220306794,0.043796800996891413,1.0,1.0,1.0,1.0,0.0,0.0,0,0.07328843266790284,0.1276761171635798,0.3690949476179433,0.6767627252178038,0.9675346655233141,0.0027425776016239594,57600,0.7865068245166338,1.0,0.5123717819315962,3.135560111968068,0,9216,5120,71936,0.5630433729896056,0.9214332566494655
250,0.8200070679999953,0.20786335653556473,0.0709480657136935,0.08382960559735315,0.008111813767711192,0.044973871456806896,1.0,1.0,1.0,1.0,0.0,0.0,0,0.08189661938983545,0.10314806261729041,0.39415615679152216,0.675713100445236,0.9679322724620345,0.002669374817380183,64000,0.8078234219302994,1.0,0.5231784494978349,3.0425011193797507,0,10240,5632,79872,0.5630433729896056,0.9214332566494655
