step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.020142671000030532,0.6050459315812408,0.1010077107578734,0.2919053598642376,0.0971711681208752,0.11293320930178617,0.9979582983430331,1.0106130448739963,0.9933577282272936,0.998070928555677,0.02122608974799256,0.02122608974799256,1,0.06851529780396387,0.06275924813494016,0.04043827460868995,1.0,1.0,0.0009765625,256,256,0,512,1024,nan,nan
25,0.15461930199944618,0.5041201418130408,0.019739411830740308,0.24199156105010372,0.11350180825688047,0.1232525894878928,0.973182332251738,1.0238494232535542,0.9972378426579225,1.0057304018367852,0.04955193218259002,0.07077802193058258,2,0.07241782057878723,0.06680659230341401,0.1187207954359156,0.7978933672759911,0.9807899632068462,0.0018098061100326006,6400,512,1024,1024,8960,nan,nan
50,0.3117145010000968,0.38920247054160745,0.020366191492177353,0.2030896014907669,0.07888461811876608,0.0793437822124233,0.9545037144196709,1.0390650543521605,0.9980861716393327,1.008345059588836,0.03735723566413429,0.10813525759471687,3,0.07188130248476346,0.0676959465634733,0.17774284692590037,0.7843235108972698,0.9799534390111856,0.0022924334645524087,12800,768,2048,1536,17152,nan,nan
75,0.48227059500004543,0.2670434292516446,0.052980904489571996,0.13171990935322142,0.03722871193151165,0.04122060575943206,0.9628464948124399,1.0473188297536384,0.98799745176776,1.0018372236661615,0.03319311158849414,0.141328369183211,4,0.061384008956358996,0.054442467064518135,0.1501781180234682,0.8687267963998787,0.9881958316313879,0.0019231845217112143,19200,1024,3072,2048,25344,nan,nan
100,0.6380304590002197,0.2453883350383128,0.08481786583638769,0.1007939273054492,0.01858719639370448,0.03809043786356083,0.9875087283139057,1.0487765928387858,0.9679986496553322,0.9957160291919761,0.05223999317322625,0.19356836235643726,5,0.056496669332959715,0.050142776849029534,0.1573507159705208,0.8139320455318443,0.9838003788814796,0.002104932365561276,25600,1280,4096,2560,33536,nan,nan
125,0.7330463660000532,0.24326875868951436,0.0876345290326862,0.09763896835907789,0.015151429239542291,0.03804671373203923,1.0125331380375375,1.0496923387746722,0.946960742630193,0.990813780557597,0.05188031131903659,0.24544867367547385,6,0.08703161929738737,0.09230188984864399,0.3438901684650368,0.745633901882106,0.9760209059288285,0.0026540766966584427,32000,1536,5120,3072,41728,nan,nan
150,0.8620763740000257,0.24305402612552873,0.08093262543953447,0.10130601785031451,0.013559615156498346,0.04076372898298499,1.033671166215174,1.0517417384743117,0.9262265316738892,0.9883605636366246,0.04637485575455225,0.2918235294300261,7,0.10596043988676605,0.12411305438318723,0.46520752220910516,0.7241927246130261,0.9719820286570906,0.002610175344691365,38400,1792,6144,3584,49920,nan,nan
175,0.9865378690001307,0.22564637194669362,0.061617426840580664,0.10434462161880709,0.012139821924722648,0.040250866804020645,1.0478447502111898,1.0570152958943073,0.9069037580696252,0.9882361958248774,0.038894282832022564,0.33071781226204866,8,0.10463399978666724,0.109387772425572,0.4325192220220234,0.7634089440818977,0.9766641775267733,0.0021856167961528577,44800,2048,7168,4096,58112,nan,nan
200,1.101511384999867,0.20824527906174162,0.055506435668424364,0.1015770529789165,0.012340058208872465,0.03077269969114713,1.06114581489658,1.063871455040797,0.890721522097729,0.9842612079648937,0.0403144476637598,0.37103225992580846,9,0.12013050776029069,0.1069716111026546,0.43352335927453006,0.8050572538612016,0.9815607692044092,0.0020501022576713632,51200,2304,8192,4608,66304,0.6092789350577068,1.0413174056157404
225,1.230260102000102,0.1915003893436917,0.051851816857520924,0.09114308802534717,0.011191360297119462,0.02909784736892234,1.0740375114069651,1.069383074494846,0.8756461858894127,0.980933228208776,0.03680663192886813,0.4078388918546766,10,0.11428109983459585,0.09868267138949216,0.33374595977136967,0.7990798917472088,0.9810190265812159,0.002306581748827045,57600,2560,9216,5120,74496,0.6092789350577068,1.0413174056157404
