step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,vrba_attention_effective_sample_fraction,vrba_multiplier_mean,vrba_multiplier_min,vrba_multiplier_max,vrba_temperature,vrba_local_updates,kde_pairwise_distance_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.023804672999631293,1.020027015522446,0.15452999006628815,0.6135759570741288,0.06066789032635577,0.19119840333866372,1.0,1.0000890218534109,1.0002164669281677,0.9999321147900387,0.0003733739915398049,0.0003733739915398049,1,0.12982396414287725,0.05098810467154323,0.023282826632690785,1.0,1.0,0.0009765625,256,1.0,1.0,1.0,1.0,0.9999992486786755,1.0084788850652615,1.0072622449395867,1.009,0.3779696121135344,1,0,0,0,512,768,nan,nan
25,0.15720360599971173,0.6366918495995213,0.008122508069993538,0.5562109778053549,0.07028095220179731,0.0008548562877635505,1.0,1.0016221538624968,1.0045791970641405,0.9982045152998723,0.0002530821064113953,0.007996835626764898,25,0.023982622320867637,0.015552998244603088,0.3165692528373284,1.0,1.0,0.0009765625,6400,1.0,1.0,1.0,1.0,0.9972697760979113,1.1077018402819219,1.0787704803008409,1.2028465983245926,0.04190976349072163,25,0,0,0,1024,7424,nan,nan
50,0.3054395099998146,0.781521872225807,0.008263093655810285,0.6856786344399872,0.07724297529778434,0.008580765142592612,1.0,1.0018268778495891,1.0069320803768327,0.9963054654980735,0.0001512373947478718,0.012635794116237276,50,0.10580513940529307,0.02387715367637489,0.5223526853686249,1.0,1.0,0.0009765625,12800,1.0,1.0,1.0,1.0,0.9891626791136169,1.172245877208342,1.1161826420887615,1.4067284603459187,0.037926327494110505,50,0,0,0,1536,14336,nan,nan
75,0.4475367019999794,0.9525457266575359,0.015184423470879286,0.8379624701029258,0.09219225146025171,0.005964732894251884,1.0,1.0007031415940622,1.0074477581260095,0.9943026572461883,0.0001616041318371897,0.016336006278911852,75,0.08064690845807804,0.02609140236528982,0.7292392278010067,1.0,1.0,0.0009765625,19200,1.0,1.0,1.0,1.0,0.9726543495585874,1.225217604960676,1.1427572920081597,1.6183886215470387,0.04312137564057948,75,0,0,0,2048,21248,nan,nan
100,0.5840628279997873,1.0918896078177776,0.04265936697377664,0.9378678707771959,0.10785752177163538,0.004282966380433616,1.0,0.9984603567377746,1.0064823553139313,0.9922233999500872,0.00025035969627262844,0.021623451243378722,100,0.09521130423901841,0.050178557501446445,0.8992112894031405,1.0,1.0,0.0009765625,25600,1.0,1.0,1.0,1.0,0.9530602516749147,1.2758167098870095,1.1686962758979642,1.8179884751555093,0.06012853662555218,100,0,0,0,2560,28160,nan,nan
125,0.7281223079999108,1.1809798959612627,0.10775465945619338,0.9525989607466914,0.12253467605891857,0.0018938329243444497,1.0,0.9954418971876408,1.00455430794316,0.9903635262075183,0.0002815642753746239,0.028429831906852665,125,0.11565641431709073,0.08686956626275684,0.9317489061701062,1.0,1.0,0.0009765625,32000,1.0,1.0,1.0,1.0,0.9359305594727356,1.329516757184582,1.1975938561988742,1.9847815134012956,0.07757455389969847,125,0,0,0,3072,35072,nan,nan
150,0.8755414309998741,1.0202223366856258,0.09051728055786173,0.8362086887499478,0.08732755901214656,0.012831059075138722,1.0,0.9919735964792183,1.0021607004626047,0.9891520222673122,0.0002896849855543726,0.03550324403603644,150,0.12273847037632922,0.07596249656823979,1.0497598612677095,1.0,1.0,0.0009765625,38400,1.0,1.0,1.0,1.0,0.9284151497580049,1.3880691758062111,1.2222526647159062,2.0636490318060328,0.08393442833632221,150,0,0,0,3584,41984,nan,nan
175,1.0210310859997662,0.6104013971483888,0.18594010782474235,0.40022666651569305,0.015050226159736679,0.014083857616174478,1.0,0.9881934720481278,0.999686100018037,0.9879685394759423,0.00028757110171651057,0.042941451703064626,175,0.21639739955587714,0.2335724590631789,0.7031655278745722,1.0,1.0,0.0009765625,44800,1.0,1.0,1.0,1.0,0.9358575598586624,1.4204518139020927,1.2452153056121866,2.0668973589356727,0.15986679129552897,175,0,0,0,4096,48896,nan,nan
200,1.1709455109998999,0.5945758741440412,0.2858295584095904,0.28898140873828965,0.01765662316158471,0.006667131574787592,1.0,0.984610967718443,0.9984887733254938,0.9872478364180021,0.00014731162245384954,0.04844198578323289,200,0.24474971871908124,0.2226490832465971,0.7683684247342568,1.0,1.0,0.0009765625,51200,1.0,1.0,1.0,1.0,0.943038216064662,1.4470058405335549,1.2653704330256628,2.0711870719266,0.20818359801664824,200,0,0,0,4608,55808,0.528823995589337,1.0778214146056855
225,1.3238690409998526,0.6150690051869754,0.27925707786678833,0.31239506799931727,0.02121839560087711,0.00812205784154696,1.0,0.9814073698007488,0.9993978099586505,0.9873713482900646,0.00021234689422466868,0.05271175742424461,225,0.24821373738631491,0.22779576624565323,0.905136599562045,1.0,1.0,0.0009765625,57600,1.0,1.0,1.0,1.0,0.9456648135814414,1.4721082542804873,1.2848365651567006,2.075027547970091,0.19093342183560771,225,0,0,0,5120,62720,0.528823995589337,1.0778214146056855
250,1.4906721799998195,0.651251636615261,0.30554081701631663,0.32315568025912556,0.026931140087168865,0.002542926237957203,1.0,0.9784653246366484,1.0026304255559677,0.9879215221495149,0.00032297761194854946,0.059436592045112646,250,0.28655877132970803,0.23031266062499128,0.9938656246307478,1.0,1.0,0.0009765625,64000,1.0,1.0,1.0,1.0,0.9447931653620436,1.4952269194199141,1.303486983598824,2.078644576635483,0.18737464040219354,250,0,0,0,5632,69632,0.528823995589337,1.0778214146056855
275,1.6313283609997598,0.6889547676150426,0.3291473531017237,0.3285248593177075,0.032896760492007446,0.006143625909365136,1.0,0.9757525961747282,1.00842354389606,0.9887584982703009,0.00042164277999945377,0.06877941496791118,275,0.25900808904282924,0.22557401718858894,1.1072427672830614,1.0,1.0,0.0009765625,70400,1.0,1.0,1.0,1.0,0.9405946188156189,1.5179120368022323,1.3215027650002549,2.1166076447605127,0.17738647750596154,275,0,0,0,6144,76544,0.528823995589337,1.0778214146056855
300,1.782842275999883,0.724552632826568,0.3412856766440002,0.344182256701604,0.04062105617343903,0.007080455837138932,1.0,0.9732124657147118,1.016634483837179,0.9897282276916566,0.0005084232056116189,0.08050021479040226,300,0.2707920780607457,0.22665964256141974,1.185831330403119,1.0,1.0,0.0009765625,76800,1.0,1.0,1.0,1.0,0.9328899412579397,1.540920353314124,1.3392181479235132,2.3113768248146647,0.162277401514634,300,0,0,0,6656,83456,0.528823995589337,1.0778214146056855
325,1.9265441969996573,0.744236060418824,0.3406148325722275,0.35495278549849635,0.05220366011351106,0.005483224651951557,1.0,0.9707998148916831,1.0267621291067168,0.9907287278706395,0.0005682617812583501,0.09404101106195162,325,0.28505394046692645,0.2274167312529792,1.2493633675050833,1.0,1.0,0.0009765625,83200,1.0,1.0,1.0,1.0,0.9216521936381744,1.5653011352914359,1.3569052130088888,2.5013404525599463,0.14151308614866664,325,0,0,0,7168,90368,0.528823995589337,1.0778214146056855
350,2.095982317999642,0.7391368414769115,0.3270843505569199,0.34782417289092027,0.06721855964345985,0.0054559297152714775,1.0,0.9684853443902794,1.0380916484895066,0.9917377868614877,0.0006032192478996334,0.10869405993699333,350,0.2924683553438285,0.2223390876746644,1.289615136482393,1.0,1.0,0.0009765625,89600,1.0,1.0,1.0,1.0,0.9073187512985333,1.5947657857298647,1.3751616678417944,2.6832242866111655,0.1161829388935638,350,0,0,0,7680,97280,0.528823995589337,1.0778214146056855
375,2.2345051419997617,0.7149087808254556,0.31343879988907597,0.3289131740761645,0.07528473749518805,0.004612735601637439,1.0,0.966263225753527,1.0503233770887814,0.992893811190819,0.0006487074986524233,0.12430393150235186,375,0.27894617918616554,0.2111389187645747,1.3308636201064163,1.0,1.0,0.0009765625,96000,1.0,1.0,1.0,1.0,0.9012253313553598,1.6249015141185525,1.3933181235752212,2.766767376413426,0.12172070213075224,375,0,0,0,8192,104192,0.528823995589337,1.0778214146056855
400,2.3780920699996386,0.6817795386266883,0.29766806512387256,0.3285560905196693,0.06233512068523574,0.0010182789509971051,1.0,0.9641578220045506,1.06390847667607,0.9945070242310265,0.0007385892103747294,0.1416076478788244,400,0.2499015051740654,0.20029085312972916,1.3790028033777761,1.0,1.0,0.0009765625,102400,1.0,1.0,1.0,1.0,0.9014093472276821,1.646706387772014,1.409704156750688,2.7816893154316826,0.13406806756167022,400,0,0,0,8704,111104,0.4607505407015081,0.9448636148137017
425,2.5308918289997564,0.6538106312882808,0.301849541290705,0.3070413006279825,0.04736690090303836,0.005389091656104101,1.0,0.9622065564975634,1.079904459828618,0.9968674179544235,0.0008883246399821187,0.16191529026175655,425,0.23211415409192407,0.18528151473326138,1.3933633037442585,1.0,1.0,0.0009765625,108800,1.0,1.0,1.0,1.0,0.9035720338238153,1.6632414167917697,1.4250829912429144,2.7749706060397594,0.15029930016174045,425,0,0,0,9216,118016,0.4607505407015081,0.9448636148137017
450,2.6776920399997834,0.6387670123815017,0.2988941897184201,0.3139010880435348,0.03277678386912317,0.0023621858041429997,1.0,0.9604210876103234,1.0993383065368318,1.000270260576612,0.0010783434922632118,0.1865374484793989,450,0.22810235160665968,0.17578161969060938,1.400048571947366,1.0,1.0,0.0009765625,115200,1.0,1.0,1.0,1.0,0.905895199737646,1.677524484111526,1.4398810920577274,2.761929591605069,0.15920767887387866,450,0,0,0,9728,124928,0.4607505407015081,0.9448636148137017
475,2.8277864359997693,0.6385318623887045,0.2950088553828636,0.330071239927555,0.024079340009783852,1.3771643079236662e-05,1.0,0.9587991850693839,1.1228353286962356,1.004781615847038,0.0012824214724721505,0.21616772845016807,475,0.27343329949589945,0.17468234725616597,1.3816373878198145,1.0,1.0,0.0009765625,121600,1.0,1.0,1.0,1.0,0.9077242986252149,1.6906779820821076,1.454237030122331,2.7464957665075502,0.15747847588607136,475,0,0,0,10240,131840,0.4607505407015081,0.9448636148137017
500,2.9799556179996216,0.6356911792352036,0.30799629830117115,0.3198787821243796,0.01773092384211454,0.0010668493625108993,1.0,0.9573236099133786,1.149961427973318,1.0099757595824632,0.0014390693781684005,0.24996354661868092,500,0.2118501812800105,0.17624874610657182,1.403319207612041,1.0,1.0,0.0009765625,128000,1.0,1.0,1.0,1.0,0.908257289059748,1.7039027630362296,1.4683367998780674,2.7304677037926415,0.14741965235667273,500,0,0,0,10752,138752,0.4607505407015081,0.9448636148137017
525,3.118227905999902,0.6326452268158066,0.31809348148962513,0.30824636452261367,0.0141307006386741,0.003140958088081765,1.0,0.9559612264103392,1.181036213829285,1.0160286734387378,0.0016315724181533708,0.28845362983396194,525,0.21319498595460554,0.1854819312148789,1.4109256489268198,1.0,1.0,0.0009765625,134400,1.0,1.0,1.0,1.0,0.9062814883324389,1.7188008374517316,1.482584406944707,2.7867119624894054,0.13022187921680073,525,0,0,0,11264,145664,0.4607505407015081,0.9448636148137017
550,3.2602303549997487,0.6352246304337797,0.3247257558106035,0.3083058554616739,0.011645364540057478,0.0019568091791763455,1.0,0.954681372842303,1.216239348217045,1.02282160113224,0.001823125893384625,0.3317295454832604,550,0.2226776134124512,0.19694277552417738,1.4228949185017619,1.0,1.0,0.0009765625,140800,1.0,1.0,1.0,1.0,0.9018303876307593,1.7355444310932961,1.497201756337023,2.9542408474973056,0.1241872277458114,550,0,0,0,11776,152576,0.4607505407015081,0.9448636148137017
